Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
A1BG	13	89	Two-sample Kolmogorov-Smirnov test	0.394122731201383	0.0590	Prostate	0.7035689463955639
A2M	13	89	Two-sample Kolmogorov-Smirnov test	0.393258426966292	0.0599	Prostate	0.7035689463955639
A2ML1	13	89	Two-sample Kolmogorov-Smirnov test	0.364736387208297	0.0978	Prostate	0.75632
A4GALT	13	89	Two-sample Kolmogorov-Smirnov test	0.263612791702679	0.4097	Prostate	0.962915344954579
A4GNT	13	89	Two-sample Kolmogorov-Smirnov test	0.296456352636128	0.2717	Prostate	0.9051566182749785
AAAS	13	89	Two-sample Kolmogorov-Smirnov test	0.598962834917891	6e-04	Prostate	0.37679999999999997
AACS	13	89	Two-sample Kolmogorov-Smirnov test	0.136560069144339	0.9840	Prostate	1
AADAC	13	89	Two-sample Kolmogorov-Smirnov test	0.139152981849611	0.9806	Prostate	1
AADAT	13	89	Two-sample Kolmogorov-Smirnov test	0.145203111495246	0.9705	Prostate	1
AAED1	13	89	Two-sample Kolmogorov-Smirnov test	0.273120138288678	0.3659	Prostate	0.9428093227310117
AAGAB	13	89	Two-sample Kolmogorov-Smirnov test	0.227312013828868	0.6010	Prostate	1
AAK1	13	89	Two-sample Kolmogorov-Smirnov test	0.292999135695765	0.2844	Prostate	0.9051566182749785
AAMDC	13	89	Two-sample Kolmogorov-Smirnov test	0.210890233362143	0.6941	Prostate	1
AAMP	13	89	Two-sample Kolmogorov-Smirnov test	0.254105445116681	0.4565	Prostate	0.9802827496757458
AANAT	13	89	Two-sample Kolmogorov-Smirnov test	0.180639585133967	0.8530	Prostate	1
AAR2	13	89	Two-sample Kolmogorov-Smirnov test	0.281763180639585	0.3288	Prostate	0.9181143285821456
AARD	13	89	Two-sample Kolmogorov-Smirnov test	0.226447709593777	0.6059	Prostate	1
AARS	13	89	Two-sample Kolmogorov-Smirnov test	0.285220397579948	0.3146	Prostate	0.9181143285821456
AARS2	13	89	Two-sample Kolmogorov-Smirnov test	0.180639585133967	0.8530	Prostate	1
AARSD1	13	89	Two-sample Kolmogorov-Smirnov test	0.209161624891962	0.7038	Prostate	1
AASDH	13	89	Two-sample Kolmogorov-Smirnov test	0.273120138288678	0.3659	Prostate	0.9428093227310117
AASDHPPT	13	89	Two-sample Kolmogorov-Smirnov test	0.499567847882455	0.0070	Prostate	0.5569993127147767
AASS	13	89	Two-sample Kolmogorov-Smirnov test	0.201382886776145	0.7471	Prostate	1
AATF	13	89	Two-sample Kolmogorov-Smirnov test	0.300777873811582	0.2563	Prostate	0.8884156071564521
AATK	13	89	Two-sample Kolmogorov-Smirnov test	0.207433016421781	0.7135	Prostate	1
ABAT	13	89	Two-sample Kolmogorov-Smirnov test	0.169403630077787	0.9007	Prostate	1
ABCA1	13	89	Two-sample Kolmogorov-Smirnov test	0.244598098530683	0.5060	Prostate	0.9950623042867941
ABCA2	13	89	Two-sample Kolmogorov-Smirnov test	0.318063958513397	0.2013	Prostate	0.8565881370826011
ABCA3	13	89	Two-sample Kolmogorov-Smirnov test	0.319792566983578	0.1963	Prostate	0.8544492351816445
ABCA4	13	89	Two-sample Kolmogorov-Smirnov test	0.214347450302507	0.6745	Prostate	1
ABCA5	13	89	Two-sample Kolmogorov-Smirnov test	0.240276577355229	0.5292	Prostate	1
ABCA6	13	89	Two-sample Kolmogorov-Smirnov test	0.235955056179775	0.5528	Prostate	1
ABCA7	13	89	Two-sample Kolmogorov-Smirnov test	0.159896283491789	0.9339	Prostate	1
ABCA8	13	89	Two-sample Kolmogorov-Smirnov test	0.372515125324114	0.0859	Prostate	0.7462843307446323
ABCA9	13	89	Two-sample Kolmogorov-Smirnov test	0.157303370786517	0.9416	Prostate	1
ABCA10	13	89	Two-sample Kolmogorov-Smirnov test	0.312013828867761	0.2194	Prostate	0.8628185705031312
ABCA12	13	89	Two-sample Kolmogorov-Smirnov test	0.276577355229041	0.3507	Prostate	0.9326735397196262
ABCA13	13	89	Two-sample Kolmogorov-Smirnov test	0.490060501296456	0.0086	Prostate	0.5569993127147767
ABCB1	13	89	Two-sample Kolmogorov-Smirnov test	0.248055315471046	0.4877	Prostate	0.9864496223900489
ABCB4	13	89	Two-sample Kolmogorov-Smirnov test	0.363007778738116	0.1006	Prostate	0.7646607679465777
ABCB5	13	89	Two-sample Kolmogorov-Smirnov test	0.223854796888505	0.6205	Prostate	1
ABCB6	13	89	Two-sample Kolmogorov-Smirnov test	0.282627484874676	0.3252	Prostate	0.9181143285821456
ABCB7	13	89	Two-sample Kolmogorov-Smirnov test	0.329299913569576	0.1708	Prostate	0.8349078085642317
ABCB8	13	89	Two-sample Kolmogorov-Smirnov test	0.282627484874676	0.3252	Prostate	0.9181143285821456
ABCB9	13	89	Two-sample Kolmogorov-Smirnov test	0.17199654278306	0.8905	Prostate	1
ABCB10	13	89	Two-sample Kolmogorov-Smirnov test	0.2523768366465	0.4653	Prostate	0.9864496223900489
ABCB11	13	89	Two-sample Kolmogorov-Smirnov test	0.201382886776145	0.7471	Prostate	1
ABCC1	13	89	Two-sample Kolmogorov-Smirnov test	0.177182368193604	0.8686	Prostate	1
ABCC2	13	89	Two-sample Kolmogorov-Smirnov test	0.18409680207433	0.8367	Prostate	1
ABCC3	13	89	Two-sample Kolmogorov-Smirnov test	0.250648228176318	0.4742	Prostate	0.9864496223900489
ABCC4	13	89	Two-sample Kolmogorov-Smirnov test	0.22990492653414	0.5864	Prostate	1
ABCC5	13	89	Two-sample Kolmogorov-Smirnov test	0.229040622299049	0.5913	Prostate	1
ABCC6	13	89	Two-sample Kolmogorov-Smirnov test	0.265341400172861	0.4015	Prostate	0.9564575539568346
ABCC8	13	89	Two-sample Kolmogorov-Smirnov test	0.302506482281763	0.2504	Prostate	0.8812144541062802
