Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
A1BG	12	236	Two-sample Kolmogorov-Smirnov test	0.259887005649718	0.4235	STAD	0.8164265904519953
A2M	12	236	Two-sample Kolmogorov-Smirnov test	0.412429378531073	0.0411	STAD	0.3431972489683631
A2ML1	12	236	Two-sample Kolmogorov-Smirnov test	0.392655367231638	0.0591	STAD	0.3892691500904159
A4GALT	12	236	Two-sample Kolmogorov-Smirnov test	0.200564971751412	0.7479	STAD	0.9856541573196324
A4GNT	12	236	Two-sample Kolmogorov-Smirnov test	0.19774011299435	0.7633	STAD	0.9911743030303031
AAAS	12	236	Two-sample Kolmogorov-Smirnov test	0.177966101694915	0.8624	STAD	1
AACS	12	236	Two-sample Kolmogorov-Smirnov test	0.364406779661017	0.0963	STAD	0.4752887804878049
AADAC	12	236	Two-sample Kolmogorov-Smirnov test	0.281073446327684	0.3277	STAD	0.747597695102092
AADAT	12	236	Two-sample Kolmogorov-Smirnov test	0.193502824858757	0.7860	STAD	0.9978830254444057
AAED1	12	236	Two-sample Kolmogorov-Smirnov test	0.336158192090395	0.1514	STAD	0.5637490901656103
AAGAB	12	236	Two-sample Kolmogorov-Smirnov test	0.299435028248588	0.2575	STAD	0.6835140650051014
AAK1	12	236	Two-sample Kolmogorov-Smirnov test	0.409604519774011	0.0433	STAD	0.35047982222222224
AAMDC	12	236	Two-sample Kolmogorov-Smirnov test	0.394067796610169	0.0576	STAD	0.38694621910734045
AAMP	12	236	Two-sample Kolmogorov-Smirnov test	0.228813559322034	0.5883	STAD	0.9169907223553578
AANAT	12	236	Two-sample Kolmogorov-Smirnov test	0.266949152542373	0.3899	STAD	0.7925065625000001
AAR2	12	236	Two-sample Kolmogorov-Smirnov test	0.134180790960452	0.9863	STAD	1
AARD	12	236	Two-sample Kolmogorov-Smirnov test	0.481638418079096	0.0100	STAD	0.21103128621089223
AARS	12	236	Two-sample Kolmogorov-Smirnov test	0.30225988700565	0.2478	STAD	0.6736727272727272
AARS2	12	236	Two-sample Kolmogorov-Smirnov test	0.221751412429379	0.6283	STAD	0.9358468634988141
AARSD1	12	236	Two-sample Kolmogorov-Smirnov test	0.299435028248588	0.2575	STAD	0.6835140650051014
AASDH	12	236	Two-sample Kolmogorov-Smirnov test	0.254237288135593	0.4516	STAD	0.8339626039342932
AASDHPPT	12	236	Two-sample Kolmogorov-Smirnov test	0.28954802259887	0.2938	STAD	0.7182128322147651
AASS	12	236	Two-sample Kolmogorov-Smirnov test	0.394067796610169	0.0576	STAD	0.38694621910734045
AATF	12	236	Two-sample Kolmogorov-Smirnov test	0.309322033898305	0.2246	STAD	0.6522747887099346
AATK	12	236	Two-sample Kolmogorov-Smirnov test	0.370056497175141	0.0876	STAD	0.4629632037144515
ABAT	12	236	Two-sample Kolmogorov-Smirnov test	0.26271186440678	0.4098	STAD	0.806753605015674
ABCA1	12	236	Two-sample Kolmogorov-Smirnov test	0.572033898305085	0.0011	STAD	0.10770537634408602
ABCA2	12	236	Two-sample Kolmogorov-Smirnov test	0.245762711864407	0.4954	STAD	0.8641150081409826
ABCA3	12	236	Two-sample Kolmogorov-Smirnov test	0.221751412429379	0.6283	STAD	0.9358468634988141
ABCA4	12	236	Two-sample Kolmogorov-Smirnov test	0.257062146892655	0.4374	STAD	0.8259127838258165
ABCA5	12	236	Two-sample Kolmogorov-Smirnov test	0.337570621468927	0.1481	STAD	0.5583103291244049
ABCA6	12	236	Two-sample Kolmogorov-Smirnov test	0.680790960451977	1e-04	STAD	0.06504285714285715
ABCA7	12	236	Two-sample Kolmogorov-Smirnov test	0.21045197740113	0.6926	STAD	0.9630196365857383
ABCA8	12	236	Two-sample Kolmogorov-Smirnov test	0.574858757062147	0.0011	STAD	0.10770537634408602
ABCA9	12	236	Two-sample Kolmogorov-Smirnov test	0.576271186440678	0.0010	STAD	0.10770537634408602
ABCA10	12	236	Two-sample Kolmogorov-Smirnov test	0.292372881355932	0.2831	STAD	0.7076334339829812
