Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
A1BG	29	159	Two-sample Kolmogorov-Smirnov test	0.248969854695294	0.0956	Stomach	1
A2M	29	159	Two-sample Kolmogorov-Smirnov test	0.176751247018	0.4277	Stomach	1
A2ML1	29	159	Two-sample Kolmogorov-Smirnov test	0.22121014964216	0.1812	Stomach	1
A4GALT	29	159	Two-sample Kolmogorov-Smirnov test	0.120147473433095	0.8708	Stomach	1
A4GNT	29	159	Two-sample Kolmogorov-Smirnov test	0.183474300585556	0.3809	Stomach	1
AAAS	29	159	Two-sample Kolmogorov-Smirnov test	0.211450878334418	0.2228	Stomach	1
AACS	29	159	Two-sample Kolmogorov-Smirnov test	0.19583604424203	0.3037	Stomach	1
AADAC	29	159	Two-sample Kolmogorov-Smirnov test	0.174582520060724	0.4434	Stomach	1
AADAT	29	159	Two-sample Kolmogorov-Smirnov test	0.152461505096508	0.6187	Stomach	1
AAED1	29	159	Two-sample Kolmogorov-Smirnov test	0.274994578182607	0.0490	Stomach	0.913318208955224
AAGAB	29	159	Two-sample Kolmogorov-Smirnov test	0.193884189980482	0.3151	Stomach	1
AAK1	29	159	Two-sample Kolmogorov-Smirnov test	0.167859466493168	0.4941	Stomach	1
AAMDC	29	159	Two-sample Kolmogorov-Smirnov test	0.290392539579267	0.0320	Stomach	0.8667316788321168
AAMP	29	159	Two-sample Kolmogorov-Smirnov test	0.15506397744524	0.5971	Stomach	1
AANAT	29	159	Two-sample Kolmogorov-Smirnov test	0.149425287356322	0.6440	Stomach	1
AAR2	29	159	Two-sample Kolmogorov-Smirnov test	0.157666449793971	0.5756	Stomach	1
AARD	29	159	Two-sample Kolmogorov-Smirnov test	0.124051181956192	0.8447	Stomach	1
AARS	29	159	Two-sample Kolmogorov-Smirnov test	0.184124918672739	0.3766	Stomach	1
AARS2	29	159	Two-sample Kolmogorov-Smirnov test	0.127087399696378	0.8231	Stomach	1
AARSD1	29	159	Two-sample Kolmogorov-Smirnov test	0.129256126653654	0.8071	Stomach	1
AASDH	29	159	Two-sample Kolmogorov-Smirnov test	0.176100628930818	0.4323	Stomach	1
AASDHPPT	29	159	Two-sample Kolmogorov-Smirnov test	0.072435480373021	0.9995	Stomach	1
AASS	29	159	Two-sample Kolmogorov-Smirnov test	0.205378442854045	0.2521	Stomach	1
AATF	29	159	Two-sample Kolmogorov-Smirnov test	0.163955757970072	0.5248	Stomach	1
AATK	29	159	Two-sample Kolmogorov-Smirnov test	0.365864237692475	0.0028	Stomach	0.435842735042735
ABAT	29	159	Two-sample Kolmogorov-Smirnov test	0.240511819561917	0.1171	Stomach	1
ABCA1	29	159	Two-sample Kolmogorov-Smirnov test	0.177184992409456	0.4245	Stomach	1
ABCA2	29	159	Two-sample Kolmogorov-Smirnov test	0.187161136412926	0.3567	Stomach	1
ABCA3	29	159	Two-sample Kolmogorov-Smirnov test	0.231403166341358	0.1446	Stomach	1
ABCA4	29	159	Two-sample Kolmogorov-Smirnov test	0.246150509650835	0.1024	Stomach	1
ABCA5	29	159	Two-sample Kolmogorov-Smirnov test	0.243764909997831	0.1084	Stomach	1
ABCA6	29	159	Two-sample Kolmogorov-Smirnov test	0.156148340923878	0.5881	Stomach	1
ABCA7	29	159	Two-sample Kolmogorov-Smirnov test	0.170895684233355	0.4709	Stomach	1
ABCA8	29	159	Two-sample Kolmogorov-Smirnov test	0.26111472565604	0.0706	Stomach	0.9603836678200692
ABCA9	29	159	Two-sample Kolmogorov-Smirnov test	0.142919106484494	0.6982	Stomach	1
ABCA10	29	159	Two-sample Kolmogorov-Smirnov test	0.170245066146172	0.4758	Stomach	1
ABCA12	29	159	Two-sample Kolmogorov-Smirnov test	0.158317067881154	0.5703	Stomach	1
ABCA13	29	159	Two-sample Kolmogorov-Smirnov test	0.151594014313598	0.6259	Stomach	1
ABCB1	29	159	Two-sample Kolmogorov-Smirnov test	0.242463673823466	0.1118	Stomach	1
ABCB4	29	159	Two-sample Kolmogorov-Smirnov test	0.0926046410756886	0.9845	Stomach	1
ABCB5	29	159	Two-sample Kolmogorov-Smirnov test	0.249620472782477	0.0941	Stomach	1
ABCB6	29	159	Two-sample Kolmogorov-Smirnov test	0.27738017783561	0.0459	Stomach	0.9008505353319057
ABCB7	29	159	Two-sample Kolmogorov-Smirnov test	0.238993710691824	0.1214	Stomach	1
ABCB8	29	159	Two-sample Kolmogorov-Smirnov test	0.180004337453915	0.4046	Stomach	1
ABCB9	29	159	Two-sample Kolmogorov-Smirnov test	0.136196052916938	0.7532	Stomach	1
ABCB10	29	159	Two-sample Kolmogorov-Smirnov test	0.157666449793971	0.5756	Stomach	1
ABCB11	29	159	Two-sample Kolmogorov-Smirnov test	0.127521145087833	0.8200	Stomach	1
ABCC1	29	159	Two-sample Kolmogorov-Smirnov test	0.248969854695294	0.0956	Stomach	1
ABCC2	29	159	Two-sample Kolmogorov-Smirnov test	0.149208414660594	0.6458	Stomach	1
ABCC3	29	159	Two-sample Kolmogorov-Smirnov test	0.136846671004121	0.7479	Stomach	1
ABCC4	29	159	Two-sample Kolmogorov-Smirnov test	0.264801561483409	0.0642	Stomach	0.9498053614947196
ABCC5	29	159	Two-sample Kolmogorov-Smirnov test	0.120364346128822	0.8694	Stomach	1
ABCC6	29	159	Two-sample Kolmogorov-Smirnov test	0.145738451528952	0.6748	Stomach	1
ABCC8	29	159	Two-sample Kolmogorov-Smirnov test	0.217523313814791	0.1962	Stomach	1
ABCC9	29	159	Two-sample Kolmogorov-Smirnov test	0.315983517675125	0.0149	Stomach	0.7141021052631579
ABCC10	29	159	Two-sample Kolmogorov-Smirnov test	0.177618737800911	0.4214	Stomach	1
ABCC11	29	159	Two-sample Kolmogorov-Smirnov test	0.170678811537627	0.4725	Stomach	1
ABCC12	29	159	Two-sample Kolmogorov-Smirnov test	0.154847104749512	0.5989	Stomach	1
ABCD1	29	159	Two-sample Kolmogorov-Smirnov test	0.154413359358057	0.6024	Stomach	1
ABCD2	29	159	Two-sample Kolmogorov-Smirnov test	0.130774235523748	0.7956	Stomach	1
ABCD3	29	159	Two-sample Kolmogorov-Smirnov test	0.214487096074604	0.2092	Stomach	1
ABCD4	29	159	Two-sample Kolmogorov-Smirnov test	0.14508783344177	0.6802	Stomach	1
ABCE1	29	159	Two-sample Kolmogorov-Smirnov test	0.135762307525482	0.7566	Stomach	1
ABCF1	29	159	Two-sample Kolmogorov-Smirnov test	0.17132942962481	0.4676	Stomach	1
ABCF2	29	159	Two-sample Kolmogorov-Smirnov test	0.0965083495987855	0.9763	Stomach	1
ABCF3	29	159	Two-sample Kolmogorov-Smirnov test	0.138364779874214	0.7356	Stomach	1
ABCG1	29	159	Two-sample Kolmogorov-Smirnov test	0.215571459553242	0.2044	Stomach	1
ABCG2	29	159	Two-sample Kolmogorov-Smirnov test	0.126219908913468	0.8294	Stomach	1
ABCG4	29	159	Two-sample Kolmogorov-Smirnov test	0.0852309694209499	0.9942	Stomach	1
ABHD1	29	159	Two-sample Kolmogorov-Smirnov test	0.141834743005856	0.7072	Stomach	1
ABHD2	29	159	Two-sample Kolmogorov-Smirnov test	0.208414660594231	0.2371	Stomach	1
ABHD3	29	159	Two-sample Kolmogorov-Smirnov test	0.265452179570592	0.0631	Stomach	0.9498053614947196
ABHD4	29	159	Two-sample Kolmogorov-Smirnov test	0.205378442854045	0.2521	Stomach	1
ABHD5	29	159	Two-sample Kolmogorov-Smirnov test	0.125786163522013	0.8325	Stomach	1
ABHD6	29	159	Two-sample Kolmogorov-Smirnov test	0.302103665148558	0.0227	Stomach	0.7859551330798479
ABHD8	29	159	Two-sample Kolmogorov-Smirnov test	0.164823248752982	0.5179	Stomach	1
ABHD10	29	159	Two-sample Kolmogorov-Smirnov test	0.148124051181956	0.6549	Stomach	1
ABHD11	29	159	Two-sample Kolmogorov-Smirnov test	0.121882454998916	0.8595	Stomach	1
ABHD12	29	159	Two-sample Kolmogorov-Smirnov test	0.268922142702234	0.0576	Stomach	0.9349140396210164
ABHD12B	29	159	Two-sample Kolmogorov-Smirnov test	0.107351984385166	0.9400	Stomach	1
ABHD13	29	159	Two-sample Kolmogorov-Smirnov test	0.141617870310128	0.7090	Stomach	1
ABHD14A	29	159	Two-sample Kolmogorov-Smirnov test	0.274343960095424	0.0498	Stomach	0.913318208955224
ABHD14A-ACY1	29	159	Two-sample Kolmogorov-Smirnov test	0.146172196920408	0.6712	Stomach	1
ABHD14B	29	159	Two-sample Kolmogorov-Smirnov test	0.138581652569941	0.7339	Stomach	1
ABHD15	29	159	Two-sample Kolmogorov-Smirnov test	0.141617870310128	0.7090	Stomach	1
ABHD16A	29	159	Two-sample Kolmogorov-Smirnov test	0.094556495337237	0.9807	Stomach	1
ABHD16B	29	159	Two-sample Kolmogorov-Smirnov test	0.143352851875949	0.6946	Stomach	1
ABHD17A	29	159	Two-sample Kolmogorov-Smirnov test	0.160919540229885	0.5491	Stomach	1
ABHD17B	29	159	Two-sample Kolmogorov-Smirnov test	0.155280850140967	0.5953	Stomach	1
ABHD17C	29	159	Two-sample Kolmogorov-Smirnov test	0.203209715896769	0.2632	Stomach	1
