Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
A1BG	497	3238	Two-sample Kolmogorov-Smirnov test	0.0413730064140246	0.4521	TCGA	0.5334399222546161
A2M	497	3238	Two-sample Kolmogorov-Smirnov test	0.151986036043314	0.0000	TCGA	0
A2ML1	497	3238	Two-sample Kolmogorov-Smirnov test	0.0557545395908496	0.1373	TCGA	0.20021679878292897
A4GALT	497	3238	Two-sample Kolmogorov-Smirnov test	0.0581145924341602	0.1089	TCGA	0.1657435066020391
A4GNT	497	3238	Two-sample Kolmogorov-Smirnov test	0.0418918700591443	0.4361	TCGA	0.5181870685718014
AAAS	497	3238	Two-sample Kolmogorov-Smirnov test	0.043102966160148	0.4001	TCGA	0.4827815013582456
AACS	497	3238	Two-sample Kolmogorov-Smirnov test	0.112259722634759	0.0000	TCGA	0
AADAC	497	3238	Two-sample Kolmogorov-Smirnov test	0.0481238263428626	0.2712	TCGA	0.35078795454545453
AADAT	497	3238	Two-sample Kolmogorov-Smirnov test	0.0552642600507306	0.1438	TCGA	0.20839385692687198
AAED1	497	3238	Two-sample Kolmogorov-Smirnov test	0.143153547598127	0.0000	TCGA	0
AAGAB	497	3238	Two-sample Kolmogorov-Smirnov test	0.0353485955883541	0.6546	TCGA	0.7188600578871202
AAK1	497	3238	Two-sample Kolmogorov-Smirnov test	0.179621894430201	0.0000	TCGA	0
AAMDC	497	3238	Two-sample Kolmogorov-Smirnov test	0.0623288837409882	0.0703	TCGA	0.11477396683101748
AAMP	497	3238	Two-sample Kolmogorov-Smirnov test	0.130912715328413	0.0000	TCGA	0
AANAT	497	3238	Two-sample Kolmogorov-Smirnov test	0.107822351030208	1e-04	TCGA	3.920775026910657e-4
AAR2	497	3238	Two-sample Kolmogorov-Smirnov test	0.0533093558261241	0.1727	TCGA	0.24210702794242164
AARD	497	3238	Two-sample Kolmogorov-Smirnov test	0.0737606615604684	0.0184	TCGA	0.03685666520017598
AARS	497	3238	Two-sample Kolmogorov-Smirnov test	0.0595332339932119	0.0943	TCGA	0.14692374026862862
AARS2	497	3238	Two-sample Kolmogorov-Smirnov test	0.088478990061431	0.0024	TCGA	0.006484023141967066
AARSD1	497	3238	Two-sample Kolmogorov-Smirnov test	0.186764813712417	0.0000	TCGA	0
AASDH	497	3238	Two-sample Kolmogorov-Smirnov test	0.0810576864522528	0.0070	TCGA	0.016262788620997577
AASDHPPT	497	3238	Two-sample Kolmogorov-Smirnov test	0.0955274575184274	8e-04	TCGA	0.0024943674028419793
AASS	497	3238	Two-sample Kolmogorov-Smirnov test	0.115930294552988	0.0000	TCGA	0
AATF	497	3238	Two-sample Kolmogorov-Smirnov test	0.0469935114081649	0.2973	TCGA	0.37868426353336126
AATK	497	3238	Two-sample Kolmogorov-Smirnov test	0.0612774857918356	0.0787	TCGA	0.12605843447669304
ABAT	497	3238	Two-sample Kolmogorov-Smirnov test	0.110677654562334	1e-04	TCGA	3.920775026910657e-4
ABCA1	497	3238	Two-sample Kolmogorov-Smirnov test	0.169768456321623	0.0000	TCGA	0
ABCA2	497	3238	Two-sample Kolmogorov-Smirnov test	0.0470208527259915	0.2966	TCGA	0.378109981800364
ABCA3	497	3238	Two-sample Kolmogorov-Smirnov test	0.0654184526554012	0.0501	TCGA	0.0860937157954331
ABCA4	497	3238	Two-sample Kolmogorov-Smirnov test	0.041999992543277	0.4328	TCGA	0.51520711157592
ABCA5	497	3238	Two-sample Kolmogorov-Smirnov test	0.0737600401668815	0.0184	TCGA	0.03685666520017598
ABCA6	497	3238	Two-sample Kolmogorov-Smirnov test	0.153914841737267	0.0000	TCGA	0
ABCA7	497	3238	Two-sample Kolmogorov-Smirnov test	0.104435134587637	2e-04	TCGA	7.376265694613203e-4
ABCA8	497	3238	Two-sample Kolmogorov-Smirnov test	0.115105705263079	0.0000	TCGA	0
