Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
A1BG	25	292	Two-sample Kolmogorov-Smirnov test	0.247123287671233	0.1201	THCA	0.8683053592695513
A2M	25	292	Two-sample Kolmogorov-Smirnov test	0.191232876712329	0.3688	THCA	1
A2ML1	25	292	Two-sample Kolmogorov-Smirnov test	0.089041095890411	0.9932	THCA	1
A4GALT	25	292	Two-sample Kolmogorov-Smirnov test	0.140684931506849	0.7522	THCA	1
A4GNT	25	292	Two-sample Kolmogorov-Smirnov test	0.229178082191781	0.1779	THCA	0.930824319822321
AAAS	25	292	Two-sample Kolmogorov-Smirnov test	0.28041095890411	0.0535	THCA	0.7581274418604651
AACS	25	292	Two-sample Kolmogorov-Smirnov test	0.0804109589041095	0.9984	THCA	1
AADAC	25	292	Two-sample Kolmogorov-Smirnov test	0.243561643835616	0.1301	THCA	0.8795030438010394
AADAT	25	292	Two-sample Kolmogorov-Smirnov test	0.102465753424658	0.9690	THCA	1
AAED1	25	292	Two-sample Kolmogorov-Smirnov test	0.201369863013699	0.3079	THCA	1
AAGAB	25	292	Two-sample Kolmogorov-Smirnov test	0.0843835616438356	0.9967	THCA	1
AAK1	25	292	Two-sample Kolmogorov-Smirnov test	0.188082191780822	0.3892	THCA	1
AAMDC	25	292	Two-sample Kolmogorov-Smirnov test	0.137260273972603	0.7784	THCA	1
AAMP	25	292	Two-sample Kolmogorov-Smirnov test	0.186575342465753	0.3992	THCA	1
AANAT	25	292	Two-sample Kolmogorov-Smirnov test	0.133835616438356	0.8039	THCA	1
AAR2	25	292	Two-sample Kolmogorov-Smirnov test	0.10986301369863	0.9438	THCA	1
AARD	25	292	Two-sample Kolmogorov-Smirnov test	0.164794520547945	0.5592	THCA	1
AARS	25	292	Two-sample Kolmogorov-Smirnov test	0.163972602739726	0.5656	THCA	1
AARS2	25	292	Two-sample Kolmogorov-Smirnov test	0.188630136986301	0.3856	THCA	1
AARSD1	25	292	Two-sample Kolmogorov-Smirnov test	0.227945205479452	0.1826	THCA	0.930824319822321
AASDH	25	292	Two-sample Kolmogorov-Smirnov test	0.105616438356164	0.9594	THCA	1
AASDHPPT	25	292	Two-sample Kolmogorov-Smirnov test	0.107123287671233	0.9542	THCA	1
AASS	25	292	Two-sample Kolmogorov-Smirnov test	0.126575342465753	0.8543	THCA	1
