Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
A1BG	43	267	Two-sample Kolmogorov-Smirnov test	0.331417123943907	6e-04	Thyroid	0.0420276923076923
A2M	43	267	Two-sample Kolmogorov-Smirnov test	0.11288215312255	0.7328	Thyroid	1
A2ML1	43	267	Two-sample Kolmogorov-Smirnov test	0.103823708736173	0.8195	Thyroid	1
A4GALT	43	267	Two-sample Kolmogorov-Smirnov test	0.125076212873443	0.6084	Thyroid	0.97734596724757
A4GNT	43	267	Two-sample Kolmogorov-Smirnov test	0.210870133263653	0.0742	Thyroid	0.48908085414404634
AAAS	43	267	Two-sample Kolmogorov-Smirnov test	0.249020120198589	0.0202	Thyroid	0.2731123979213066
AACS	43	267	Two-sample Kolmogorov-Smirnov test	0.282118282379584	0.0055	Thyroid	0.14516811594202897
AADAC	43	267	Two-sample Kolmogorov-Smirnov test	0.103649507882589	0.8211	Thyroid	1
AADAT	43	267	Two-sample Kolmogorov-Smirnov test	0.0784774845396742	0.9765	Thyroid	1
AAED1	43	267	Two-sample Kolmogorov-Smirnov test	0.259297970560056	0.0137	Thyroid	0.22744247948951687
AAGAB	43	267	Two-sample Kolmogorov-Smirnov test	0.134657259820573	0.5128	Thyroid	0.9391707160096542
AAK1	43	267	Two-sample Kolmogorov-Smirnov test	0.208866823447435	0.0790	Thyroid	0.4997887733887735
AAMDC	43	267	Two-sample Kolmogorov-Smirnov test	0.103562407455797	0.8219	Thyroid	1
AAMP	43	267	Two-sample Kolmogorov-Smirnov test	0.209563626861772	0.0773	Thyroid	0.4972757329565524
AANAT	43	267	Two-sample Kolmogorov-Smirnov test	0.127079522689661	0.5880	Thyroid	0.9710424374319913
AAR2	43	267	Two-sample Kolmogorov-Smirnov test	0.147896524692971	0.3927	Thyroid	0.8699492032599441
AARD	43	267	Two-sample Kolmogorov-Smirnov test	0.0921522515460326	0.9116	Thyroid	1
AARS	43	267	Two-sample Kolmogorov-Smirnov test	0.181952791568679	0.1721	Thyroid	0.6662926829268292
AARS2	43	267	Two-sample Kolmogorov-Smirnov test	0.1145370612316	0.7162	Thyroid	1
AARSD1	43	267	Two-sample Kolmogorov-Smirnov test	0.194408152599948	0.1217	Thyroid	0.5868150383902568
AASDH	43	267	Two-sample Kolmogorov-Smirnov test	0.178033272363035	0.1910	Thyroid	0.685809026687598
AASDHPPT	43	267	Two-sample Kolmogorov-Smirnov test	0.110007839038411	0.7613	Thyroid	1
AASS	43	267	Two-sample Kolmogorov-Smirnov test	0.139273582440554	0.4690	Thyroid	0.9199008278679711
AATF	43	267	Two-sample Kolmogorov-Smirnov test	0.100339691664489	0.8499	Thyroid	1
AATK	43	267	Two-sample Kolmogorov-Smirnov test	0.285863600731644	0.0047	Thyroid	0.13522338072669826
ABAT	43	267	Two-sample Kolmogorov-Smirnov test	0.182562494556223	0.1693	Thyroid	0.6606581529890723
ABCA1	43	267	Two-sample Kolmogorov-Smirnov test	0.128473129518335	0.5739	Thyroid	0.9625073026982226
ABCA2	43	267	Two-sample Kolmogorov-Smirnov test	0.0942426617890427	0.8973	Thyroid	1
ABCA3	43	267	Two-sample Kolmogorov-Smirnov test	0.121069593241007	0.6494	Thyroid	0.9942726187473728
ABCA4	43	267	Two-sample Kolmogorov-Smirnov test	0.140580088842435	0.4570	Thyroid	0.9118970088747672
ABCA5	43	267	Two-sample Kolmogorov-Smirnov test	0.19702116540371	0.1128	Thyroid	0.5693773835920177
ABCA6	43	267	Two-sample Kolmogorov-Smirnov test	0.279156867868653	0.0062	Thyroid	0.15425464480874315
ABCA7	43	267	Two-sample Kolmogorov-Smirnov test	0.115843567633481	0.7029	Thyroid	1
ABCA8	43	267	Two-sample Kolmogorov-Smirnov test	0.172110443341172	0.2226	Thyroid	0.7260012893982808
ABCA9	43	267	Two-sample Kolmogorov-Smirnov test	0.18116888772755	0.1757	Thyroid	0.671109144295302
ABCA10	43	267	Two-sample Kolmogorov-Smirnov test	0.237784165142409	0.0304	Thyroid	0.33738257160268126
ABCA12	43	267	Two-sample Kolmogorov-Smirnov test	0.0884069331939727	0.9343	Thyroid	1
ABCA13	43	267	Two-sample Kolmogorov-Smirnov test	0.212176639665534	0.0713	Thyroid	0.4821818046787969
ABCB1	43	267	Two-sample Kolmogorov-Smirnov test	0.170542635658915	0.2316	Thyroid	0.7358192113948238
ABCB4	43	267	Two-sample Kolmogorov-Smirnov test	0.278808466161484	0.0063	Thyroid	0.15525791610284168
ABCB5	43	267	Two-sample Kolmogorov-Smirnov test	0.0866649246581308	0.9437	Thyroid	1
ABCB6	43	267	Two-sample Kolmogorov-Smirnov test	0.0951136660569637	0.8910	Thyroid	1
ABCB7	43	267	Two-sample Kolmogorov-Smirnov test	0.208431321313474	0.0801	Thyroid	0.501299381443299
ABCB8	43	267	Two-sample Kolmogorov-Smirnov test	0.131434544029266	0.5444	Thyroid	0.9504338470374271
ABCB9	43	267	Two-sample Kolmogorov-Smirnov test	0.119675986412333	0.6637	Thyroid	1
ABCB10	43	267	Two-sample Kolmogorov-Smirnov test	0.117759777022907	0.6834	Thyroid	1
ABCB11	43	267	Two-sample Kolmogorov-Smirnov test	0.0850971169758732	0.9513	Thyroid	1
ABCC1	43	267	Two-sample Kolmogorov-Smirnov test	0.118543680864036	0.6753	Thyroid	1
ABCC2	43	267	Two-sample Kolmogorov-Smirnov test	0.151728943471823	0.3613	Thyroid	0.8519958645644868
ABCC3	43	267	Two-sample Kolmogorov-Smirnov test	0.188920825712046	0.1421	Thyroid	0.6254048332527792
ABCC4	43	267	Two-sample Kolmogorov-Smirnov test	0.250239526173678	0.0193	Thyroid	0.26628151515151516
ABCC5	43	267	Two-sample Kolmogorov-Smirnov test	0.170020033098162	0.2347	Thyroid	0.7387385196634038
ABCC6	43	267	Two-sample Kolmogorov-Smirnov test	0.211218534970821	0.0734	Thyroid	0.4873353262850894
ABCC8	43	267	Two-sample Kolmogorov-Smirnov test	0.279940771709781	0.0060	Thyroid	0.15155617198335647
ABCC9	43	267	Two-sample Kolmogorov-Smirnov test	0.214876752896089	0.0654	Thyroid	0.4650780163998438
ABCC10	43	267	Two-sample Kolmogorov-Smirnov test	0.130737740614929	0.5513	Thyroid	0.9530399240626484
ABCC11	43	267	Two-sample Kolmogorov-Smirnov test	0.137096071770752	0.4894	Thyroid	0.9288533994626988
ABCC12	43	267	Two-sample Kolmogorov-Smirnov test	0.156258165665012	0.3263	Thyroid	0.826324961842653
ABCD1	43	267	Two-sample Kolmogorov-Smirnov test	0.0850100165490811	0.9518	Thyroid	1
ABCD2	43	267	Two-sample Kolmogorov-Smirnov test	0.109311035624075	0.7681	Thyroid	1
ABCD3	43	267	Two-sample Kolmogorov-Smirnov test	0.204250500827454	0.0910	Thyroid	0.5256238503013003
ABCD4	43	267	Two-sample Kolmogorov-Smirnov test	0.194669453880324	0.1207	Thyroid	0.5856104172203029
ABCE1	43	267	Two-sample Kolmogorov-Smirnov test	0.126121417994948	0.5977	Thyroid	0.9745845878777043
ABCF1	43	267	Two-sample Kolmogorov-Smirnov test	0.287257207560317	0.0044	Thyroid	0.13072234910277325
ABCF2	43	267	Two-sample Kolmogorov-Smirnov test	0.156432366518596	0.3251	Thyroid	0.8257898371154113
ABCF3	43	267	Two-sample Kolmogorov-Smirnov test	0.12786342653079	0.5801	Thyroid	0.9669352097231105
ABCG1	43	267	Two-sample Kolmogorov-Smirnov test	0.118979182997997	0.6709	Thyroid	1
ABCG2	43	267	Two-sample Kolmogorov-Smirnov test	0.153383851580873	0.3482	Thyroid	0.8431616008509507
ABCG4	43	267	Two-sample Kolmogorov-Smirnov test	0.20033098162181	0.1023	Thyroid	0.5466806338028168
ABHD1	43	267	Two-sample Kolmogorov-Smirnov test	0.157913073774061	0.3142	Thyroid	0.816034209404745
ABHD2	43	267	Two-sample Kolmogorov-Smirnov test	0.133089452138315	0.5281	Thyroid	0.9437321596244133
