Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
A1BG	54	70	Two-sample Kolmogorov-Smirnov test	0.158730158730159	0.4262	UCEC	0.8822407819959082
A2M	54	70	Two-sample Kolmogorov-Smirnov test	0.260846560846561	0.0316	UCEC	0.4055254191817572
A2ML1	54	70	Two-sample Kolmogorov-Smirnov test	0.124338624338624	0.7336	UCEC	1
A4GALT	54	70	Two-sample Kolmogorov-Smirnov test	0.336507936507936	0.0020	UCEC	0.16631963470319636
A4GNT	54	70	Two-sample Kolmogorov-Smirnov test	0.128042328042328	0.6996	UCEC	0.9948324416530977
AAAS	54	70	Two-sample Kolmogorov-Smirnov test	0.14021164021164	0.5867	UCEC	0.953335153461813
AACS	54	70	Two-sample Kolmogorov-Smirnov test	0.232275132275132	0.0746	UCEC	0.5251701584847314
AADAC	54	70	Two-sample Kolmogorov-Smirnov test	0.236507936507937	0.0661	UCEC	0.5072959123472398
AADAT	54	70	Two-sample Kolmogorov-Smirnov test	0.0851851851851852	0.9798	UCEC	1
AAED1	54	70	Two-sample Kolmogorov-Smirnov test	0.112169312169312	0.8377	UCEC	1
AAGAB	54	70	Two-sample Kolmogorov-Smirnov test	0.114814814814815	0.8164	UCEC	1
AAK1	54	70	Two-sample Kolmogorov-Smirnov test	0.0915343915343915	0.9604	UCEC	1
AAMDC	54	70	Two-sample Kolmogorov-Smirnov test	0.17989417989418	0.2774	UCEC	0.7883908863920099
AAMP	54	70	Two-sample Kolmogorov-Smirnov test	0.111640211640212	0.8419	UCEC	1
AANAT	54	70	Two-sample Kolmogorov-Smirnov test	0.157671957671958	0.4347	UCEC	0.885444178503523
AAR2	54	70	Two-sample Kolmogorov-Smirnov test	0.15978835978836	0.4177	UCEC	0.8807632742850526
AARD	54	70	Two-sample Kolmogorov-Smirnov test	0.126455026455026	0.7143	UCEC	0.998375410590944
AARS	54	70	Two-sample Kolmogorov-Smirnov test	0.146560846560847	0.5293	UCEC	0.9310935574229692
AARS2	54	70	Two-sample Kolmogorov-Smirnov test	0.113756613756614	0.8251	UCEC	1
AARSD1	54	70	Two-sample Kolmogorov-Smirnov test	0.156084656084656	0.4476	UCEC	0.8911874057067891
AASDH	54	70	Two-sample Kolmogorov-Smirnov test	0.207407407407407	0.1452	UCEC	0.6430891050583658
AASDHPPT	54	70	Two-sample Kolmogorov-Smirnov test	0.137566137566138	0.6111	UCEC	0.9641647058823529
AASS	54	70	Two-sample Kolmogorov-Smirnov test	0.213227513227513	0.1250	UCEC	0.6136118598382749
AATF	54	70	Two-sample Kolmogorov-Smirnov test	0.115343915343915	0.8121	UCEC	1
AATK	54	70	Two-sample Kolmogorov-Smirnov test	0.142328042328042	0.5674	UCEC	0.9487351056081573
ABAT	54	70	Two-sample Kolmogorov-Smirnov test	0.152910052910053	0.4741	UCEC	0.9041161465968587
ABCA1	54	70	Two-sample Kolmogorov-Smirnov test	0.217989417989418	0.1103	UCEC	0.5983865355972594
ABCA2	54	70	Two-sample Kolmogorov-Smirnov test	0.158201058201058	0.4304	UCEC	0.8851998644833428
ABCA3	54	70	Two-sample Kolmogorov-Smirnov test	0.124338624338624	0.7336	UCEC	1
ABCA4	54	70	Two-sample Kolmogorov-Smirnov test	0.154497354497354	0.4608	UCEC	0.8981260273972602
ABCA5	54	70	Two-sample Kolmogorov-Smirnov test	0.389417989417989	2e-04	UCEC	0.07918260869565218
ABCA6	54	70	Two-sample Kolmogorov-Smirnov test	0.234391534391534	0.0702	UCEC	0.5146869565217391
ABCA7	54	70	Two-sample Kolmogorov-Smirnov test	0.108465608465608	0.8658	UCEC	1
ABCA8	54	70	Two-sample Kolmogorov-Smirnov test	0.137566137566138	0.6111	UCEC	0.9641647058823529
ABCA9	54	70	Two-sample Kolmogorov-Smirnov test	0.298412698412698	0.0088	UCEC	0.27379527027027023
ABCA10	54	70	Two-sample Kolmogorov-Smirnov test	0.383597883597884	3e-04	UCEC	0.09260338983050846
ABCA12	54	70	Two-sample Kolmogorov-Smirnov test	0.124867724867725	0.7288	UCEC	1
ABCA13	54	70	Two-sample Kolmogorov-Smirnov test	0.201587301587302	0.1678	UCEC	0.6765493911888422
ABCB1	54	70	Two-sample Kolmogorov-Smirnov test	0.252380952380952	0.0412	UCEC	0.43930585480093676
ABCB4	54	70	Two-sample Kolmogorov-Smirnov test	0.203174603174603	0.1614	UCEC	0.667442506811989
ABCB5	54	70	Two-sample Kolmogorov-Smirnov test	0.13015873015873	0.6800	UCEC	0.9902574764113226
ABCB6	54	70	Two-sample Kolmogorov-Smirnov test	0.132275132275132	0.6603	UCEC	0.9852026544322465
ABCB7	54	70	Two-sample Kolmogorov-Smirnov test	0.1	0.9207	UCEC	1
ABCB8	54	70	Two-sample Kolmogorov-Smirnov test	0.22010582010582	0.1043	UCEC	0.5841056580565805
ABCB9	54	70	Two-sample Kolmogorov-Smirnov test	0.226455026455026	0.0877	UCEC	0.55342772002772
ABCB10	54	70	Two-sample Kolmogorov-Smirnov test	0.0746031746031746	0.9958	UCEC	1
ABCB11	54	70	Two-sample Kolmogorov-Smirnov test	0.107407407407407	0.8734	UCEC	1
ABCC1	54	70	Two-sample Kolmogorov-Smirnov test	0.0862433862433863	0.9772	UCEC	1
ABCC2	54	70	Two-sample Kolmogorov-Smirnov test	0.147619047619048	0.5199	UCEC	0.9236580626280363
