Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
A1BG	8	35	Two-sample Kolmogorov-Smirnov test	0.385714285714286	0.2873	UCS	1
A2M	8	35	Two-sample Kolmogorov-Smirnov test	0.275	0.7083	UCS	1
A2ML1	8	35	Two-sample Kolmogorov-Smirnov test	0.328571428571429	0.4830	UCS	1
A4GALT	8	35	Two-sample Kolmogorov-Smirnov test	0.203571428571429	0.9501	UCS	1
A4GNT	8	35	Two-sample Kolmogorov-Smirnov test	0.396428571428571	0.2578	UCS	1
AAAS	8	35	Two-sample Kolmogorov-Smirnov test	0.539285714285714	0.0453	UCS	1
AACS	8	35	Two-sample Kolmogorov-Smirnov test	0.25	0.8104	UCS	1
AADAC	8	35	Two-sample Kolmogorov-Smirnov test	0.264285714285714	0.7533	UCS	1
AADAT	8	35	Two-sample Kolmogorov-Smirnov test	0.396428571428571	0.2578	UCS	1
AAED1	8	35	Two-sample Kolmogorov-Smirnov test	0.203571428571429	0.9501	UCS	1
AAGAB	8	35	Two-sample Kolmogorov-Smirnov test	0.3	0.6011	UCS	1
AAK1	8	35	Two-sample Kolmogorov-Smirnov test	0.292857142857143	0.6317	UCS	1
AAMDC	8	35	Two-sample Kolmogorov-Smirnov test	0.214285714285714	0.9260	UCS	1
AAMP	8	35	Two-sample Kolmogorov-Smirnov test	0.414285714285714	0.2137	UCS	1
AANAT	8	35	Two-sample Kolmogorov-Smirnov test	0.428571428571429	0.1827	UCS	1
AAR2	8	35	Two-sample Kolmogorov-Smirnov test	0.407142857142857	0.2306	UCS	1
AARD	8	35	Two-sample Kolmogorov-Smirnov test	0.357142857142857	0.3773	UCS	1
AARS	8	35	Two-sample Kolmogorov-Smirnov test	0.242857142857143	0.8371	UCS	1
AARS2	8	35	Two-sample Kolmogorov-Smirnov test	0.164285714285714	0.9947	UCS	1
AARSD1	8	35	Two-sample Kolmogorov-Smirnov test	0.171428571428571	0.9909	UCS	1
AASDH	8	35	Two-sample Kolmogorov-Smirnov test	0.346428571428571	0.4152	UCS	1
AASDHPPT	8	35	Two-sample Kolmogorov-Smirnov test	0.328571428571429	0.4830	UCS	1
AASS	8	35	Two-sample Kolmogorov-Smirnov test	0.453571428571429	0.1372	UCS	1
AATF	8	35	Two-sample Kolmogorov-Smirnov test	0.442857142857143	0.1554	UCS	1
AATK	8	35	Two-sample Kolmogorov-Smirnov test	0.221428571428571	0.9069	UCS	1
ABAT	8	35	Two-sample Kolmogorov-Smirnov test	0.264285714285714	0.6457	UCS	1
ABCA1	8	35	Two-sample Kolmogorov-Smirnov test	0.521428571428571	0.0580	UCS	1
ABCA2	8	35	Two-sample Kolmogorov-Smirnov test	0.314285714285714	0.5409	UCS	1
ABCA3	8	35	Two-sample Kolmogorov-Smirnov test	0.25	0.8104	UCS	1
ABCA4	8	35	Two-sample Kolmogorov-Smirnov test	0.457142857142857	0.1315	UCS	1
ABCA5	8	35	Two-sample Kolmogorov-Smirnov test	0.228571428571429	0.8856	UCS	1
ABCA6	8	35	Two-sample Kolmogorov-Smirnov test	0.225	0.8965	UCS	1
ABCA7	8	35	Two-sample Kolmogorov-Smirnov test	0.328571428571429	0.3960	UCS	1
ABCA8	8	35	Two-sample Kolmogorov-Smirnov test	0.257142857142857	0.7824	UCS	1
ABCA9	8	35	Two-sample Kolmogorov-Smirnov test	0.282142857142857	0.6778	UCS	1
ABCA10	8	35	Two-sample Kolmogorov-Smirnov test	0.167857142857143	0.9930	UCS	1
ABCA12	8	35	Two-sample Kolmogorov-Smirnov test	0.285714285714286	0.6624	UCS	1
ABCA13	8	35	Two-sample Kolmogorov-Smirnov test	0.314285714285714	0.5409	UCS	1
ABCB1	8	35	Two-sample Kolmogorov-Smirnov test	0.253571428571429	0.7966	UCS	1
ABCB4	8	35	Two-sample Kolmogorov-Smirnov test	0.321428571428571	0.5116	UCS	1
ABCB5	8	35	Two-sample Kolmogorov-Smirnov test	0.289285714285714	0.6471	UCS	1
ABCB6	8	35	Two-sample Kolmogorov-Smirnov test	0.435714285714286	0.1687	UCS	1
ABCB7	8	35	Two-sample Kolmogorov-Smirnov test	0.435714285714286	0.1687	UCS	1
