Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
A1BG	13	68	Two-sample Kolmogorov-Smirnov test	0.259049773755656	0.4566	Uterus	1
A2M	13	68	Two-sample Kolmogorov-Smirnov test	0.149321266968326	0.9681	Uterus	1
A2ML1	13	68	Two-sample Kolmogorov-Smirnov test	0.375565610859729	0.0920	Uterus	1
A4GALT	13	68	Two-sample Kolmogorov-Smirnov test	0.170814479638009	0.9077	Uterus	1
A4GNT	13	68	Two-sample Kolmogorov-Smirnov test	0.230769230769231	0.6064	Uterus	1
AAAS	13	68	Two-sample Kolmogorov-Smirnov test	0.298642533936652	0.2847	Uterus	1
AACS	13	68	Two-sample Kolmogorov-Smirnov test	0.27262443438914	0.3919	Uterus	1
AADAC	13	68	Two-sample Kolmogorov-Smirnov test	0.145927601809955	0.9743	Uterus	1
AADAT	13	68	Two-sample Kolmogorov-Smirnov test	0.221719457013575	0.6567	Uterus	1
AAED1	13	68	Two-sample Kolmogorov-Smirnov test	0.118778280542986	0.9979	Uterus	1
AAGAB	13	68	Two-sample Kolmogorov-Smirnov test	0.203619909502262	0.7561	Uterus	1
AAK1	13	68	Two-sample Kolmogorov-Smirnov test	0.204751131221719	0.7501	Uterus	1
AAMDC	13	68	Two-sample Kolmogorov-Smirnov test	0.235294117647059	0.5815	Uterus	1
AAMP	13	68	Two-sample Kolmogorov-Smirnov test	0.173076923076923	0.8993	Uterus	1
AANAT	13	68	Two-sample Kolmogorov-Smirnov test	0.164027149321267	0.9307	Uterus	1
AAR2	13	68	Two-sample Kolmogorov-Smirnov test	0.213800904977376	0.7007	Uterus	1
AARD	13	68	Two-sample Kolmogorov-Smirnov test	0.471719457013575	0.0155	Uterus	1
AARS	13	68	Two-sample Kolmogorov-Smirnov test	0.320135746606335	0.2133	Uterus	1
AARS2	13	68	Two-sample Kolmogorov-Smirnov test	0.123303167420814	0.9964	Uterus	1
AARSD1	13	68	Two-sample Kolmogorov-Smirnov test	0.15158371040724	0.9635	Uterus	1
AASDH	13	68	Two-sample Kolmogorov-Smirnov test	0.184389140271493	0.8520	Uterus	1
AASDHPPT	13	68	Two-sample Kolmogorov-Smirnov test	0.269230769230769	0.4075	Uterus	1
AASS	13	68	Two-sample Kolmogorov-Smirnov test	0.252262443438914	0.4909	Uterus	1
AATF	13	68	Two-sample Kolmogorov-Smirnov test	0.529411764705882	0.0044	Uterus	0.9713066666666665
AATK	13	68	Two-sample Kolmogorov-Smirnov test	0.180995475113122	0.8670	Uterus	1
ABAT	13	68	Two-sample Kolmogorov-Smirnov test	0.154977375565611	0.9558	Uterus	1
ABCA1	13	68	Two-sample Kolmogorov-Smirnov test	0.257918552036199	0.4622	Uterus	1
ABCA2	13	68	Two-sample Kolmogorov-Smirnov test	0.193438914027149	0.8088	Uterus	1
ABCA3	13	68	Two-sample Kolmogorov-Smirnov test	0.417420814479638	0.0446	Uterus	1
ABCA4	13	68	Two-sample Kolmogorov-Smirnov test	0.357466063348416	0.1229	Uterus	1
ABCA5	13	68	Two-sample Kolmogorov-Smirnov test	0.202488687782805	0.7621	Uterus	1
ABCA6	13	68	Two-sample Kolmogorov-Smirnov test	0.265837104072398	0.4235	Uterus	1
ABCA7	13	68	Two-sample Kolmogorov-Smirnov test	0.240950226244344	0.5507	Uterus	1
ABCA8	13	68	Two-sample Kolmogorov-Smirnov test	0.311085972850679	0.2415	Uterus	1
ABCA9	13	68	Two-sample Kolmogorov-Smirnov test	0.236425339366516	0.5753	Uterus	1
ABCA10	13	68	Two-sample Kolmogorov-Smirnov test	0.144796380090498	0.9761	Uterus	1
ABCA12	13	68	Two-sample Kolmogorov-Smirnov test	0.147058823529412	0.9723	Uterus	1
ABCA13	13	68	Two-sample Kolmogorov-Smirnov test	0.287330316742081	0.3285	Uterus	1
ABCB1	13	68	Two-sample Kolmogorov-Smirnov test	0.338235294117647	0.1646	Uterus	1
ABCB4	13	68	Two-sample Kolmogorov-Smirnov test	0.347285067873303	0.1437	Uterus	1
ABCB5	13	68	Two-sample Kolmogorov-Smirnov test	0.211538461538462	0.7132	Uterus	1
ABCB6	13	68	Two-sample Kolmogorov-Smirnov test	0.202488687782805	0.7621	Uterus	1
ABCB7	13	68	Two-sample Kolmogorov-Smirnov test	0.195701357466063	0.7974	Uterus	1
ABCB8	13	68	Two-sample Kolmogorov-Smirnov test	0.269230769230769	0.4075	Uterus	1
ABCB9	13	68	Two-sample Kolmogorov-Smirnov test	0.243212669683258	0.5385	Uterus	1
ABCB10	13	68	Two-sample Kolmogorov-Smirnov test	0.207013574660633	0.7379	Uterus	1
ABCB11	13	68	Two-sample Kolmogorov-Smirnov test	0.311085972850679	0.2415	Uterus	1
ABCC1	13	68	Two-sample Kolmogorov-Smirnov test	0.233031674208145	0.5939	Uterus	1
ABCC2	13	68	Two-sample Kolmogorov-Smirnov test	0.214932126696833	0.6945	Uterus	1
ABCC3	13	68	Two-sample Kolmogorov-Smirnov test	0.264705882352941	0.4289	Uterus	1
ABCC4	13	68	Two-sample Kolmogorov-Smirnov test	0.222850678733032	0.6504	Uterus	1
ABCC5	13	68	Two-sample Kolmogorov-Smirnov test	0.204751131221719	0.7501	Uterus	1
ABCC6	13	68	Two-sample Kolmogorov-Smirnov test	0.207013574660634	0.7379	Uterus	1
ABCC8	13	68	Two-sample Kolmogorov-Smirnov test	0.195701357466063	0.7974	Uterus	1
ABCC9	13	68	Two-sample Kolmogorov-Smirnov test	0.427601809954751	0.0370	Uterus	1
ABCC10	13	68	Two-sample Kolmogorov-Smirnov test	0.221719457013575	0.6567	Uterus	1
ABCC11	13	68	Two-sample Kolmogorov-Smirnov test	0.236425339366516	0.5753	Uterus	1
ABCC12	13	68	Two-sample Kolmogorov-Smirnov test	0.143665158371041	0.9779	Uterus	1
ABCD1	13	68	Two-sample Kolmogorov-Smirnov test	0.184389140271493	0.8520	Uterus	1
ABCD2	13	68	Two-sample Kolmogorov-Smirnov test	0.281674208144796	0.3520	Uterus	1
