Name	Mean(log(Black))	Mean(log(White))	logFC	M-W U test pval	Adj pval
F8A2	5.587054689366431	2.3174876241529385	3.2695670652134923	1.2282043160283251E-8	1.8640047502923217E-5
NPIPB15	8.804088126987741	5.779225880583305	3.024862246404436	3.885780586188048E-14	3.5383918017828364E-10
CRYBB2	3.6921659583845545	1.8273679081921954	1.8647980501923591	0.0	0.0
F8A3	6.985590942903948	5.230520515794955	1.7550704271089934	1.0824124951236413E-5	0.0013759248384547877
CTB-134H23.2	3.4678535358332954	1.7390816011531411	1.7287719346801542	7.37524152860658E-10	2.6863579743796605E-6
CAPN8	9.517131165849698	8.141795972609989	1.3753351932397084	1.2423717248388755E-4	0.007251946747681282
CYP3A5	9.9605518891947	8.603617047985463	1.3569348412092381	2.4285380906263754E-7	1.1057133926621887E-4
SPACA4	5.22384416253251	3.923029710400582	1.3008144521319278	2.0571252853396338E-4	0.010125504242325787
SLC6A7	4.883671279286367	3.59266423899042	1.291007040295947	7.667524901538991E-4	0.02403458924386026
AC008443.1	6.986107722907085	5.698564353799721	1.2875433691073637	9.172623041875383E-5	0.005987520101743171
COL17A1	8.581943423663436	7.331253386106354	1.2506900375570815	6.992078662702017E-4	0.022739238679487347
GSTM1	6.619658369950902	5.38204373383562	1.237614636115282	0.007868621809522969	0.09965461779904888
KLK3	4.051502382737471	2.822723066999383	1.2287793157380884	0.0013944204568705487	0.03493147917541463
FKSG63	3.616665326472898	2.3934398631084943	1.2232254633644035	0.0033771980757981712	0.060836331707652125
PPBP	5.438932458284627	4.215869025005886	1.2230634332787407	0.020569211295684786	0.16487961096699444
PDZD3	6.812601655205929	5.589986427982296	1.222615227223633	0.007082413305155022	0.09477216099447705
ANKDD1B	5.506836439522034	4.299226570784129	1.2076098687379044	1.1359909667385537E-6	3.232604294725397E-4
TBC1D3H	6.277426321949593	5.071408714419362	1.2060176075302316	1.0076279810533606E-9	3.050954501101647E-6
AC114494.1	3.97636118360473	2.7733568615310764	1.2030043220736535	2.8825211092486924E-6	5.644782198025504E-4
CCL3L3	3.876811591281928	2.674655844894124	1.2021557463878039	3.9699908846835275E-4	0.015382274016388328
AREGB	5.364071985642311	4.1869081202707745	1.1771638653715364	0.014448084490136459	0.13740392414327166
FGF20	3.1531876159841583	1.9855406035927161	1.1676470123914422	5.37036296044735E-4	0.01906531193677722
PIGY	6.16590950060817	4.998289450671244	1.167620049936926	0.025688616415039056	0.18653950643966957
ABCC3	10.220369896059427	9.069310092103734	1.1510598039556932	2.1059415021285055E-5	0.0021653263825073227
CCDC64B	8.391291667327389	7.276869253323672	1.1144224140037169	3.0437864668431125E-4	0.013012544397687033
LRRC36	6.45241362717901	5.342434394401522	1.109979232777488	9.926593678155626E-6	0.0013072494543928414
LEFTY2	3.9796618651369036	2.8725591101662746	1.107102754970629	0.005307029952184017	0.07948324793517707
SPRR1A	4.5153861921048914	3.4120269111126005	1.103359280992291	0.04927272232773261	0.26831978040435434
EPS8L3	10.817989079699837	9.727021186494857	1.0909678932049793	2.771134473136261E-4	0.012102614154618125
UGT1A10	5.265567222337175	4.17525813148393	1.0903090908532453	0.01467053160675047	0.13865060800318607
ANO9	10.461436993309997	9.372022727050371	1.0894142662596256	0.0018307087376183695	0.04111081076387885
SPINK7	2.3328122466969643	1.245423147789052	1.0873890989079122	5.239851803602313E-4	0.018711408048471635
SYTL5	4.674914925503756	3.6017460656242557	1.0731688598795	2.0481790335591388E-4	0.010125504242325787
POLR2J2	7.3824004130965974	6.3169639644435644	1.065436448653033	9.977359661794694E-6	0.0013072494543928414
HSD11B2	9.437058203223625	8.373571599178334	1.0634866040452913	0.013798489210536391	0.13359813158016415
ATP10B	8.28498398506436	7.226844498559504	1.0581394865048557	0.0018375673920173474	0.04121401150667479
MUC4	7.357805098952482	6.300339797277195	1.057465301675287	0.03213992404076105	0.21174170813295182
WDR72	6.079074639037362	5.02650042452116	1.052574214516202	3.6049386820791174E-4	0.014522003348104289
BTNL3	5.1821004787180085	4.135032270635197	1.0470682080828118	0.013462695791036539	0.1324595438932239
AP001362.1	2.812846966045744	1.785382966421968	1.0274639996237758	0.0038482721295485245	0.06519509955659324
HMGCS2	8.16852823806263	7.1447382060544715	1.0237900320081579	0.08339186913139152	0.34690103257672505
CFTR	8.280188885601063	7.259843031609063	1.0203458539920005	0.028358550333294485	0.19682390193214908
CLCA1	5.374331068741335	4.359327570191322	1.015003498550013	0.09720576983899709	0.3725402946775705
AXDND1	4.535484840697512	3.522623522778721	1.0128613179187909	0.008647717042129854	0.10499481518084594
SPDYE2	5.398114527338925	4.387367971376594	1.0107465559623314	3.495204126124918E-12	1.591366438624675E-8
RETNLB	5.635170975644984	4.629094882917287	1.0060760927276968	0.05335474782626193	0.2789826779821654
TMC4	10.150741100811976	9.1465939887813	1.004147112030676	1.182426945045556E-4	0.0069916751698602805
EVX1	4.690247289623746	3.6896484693564093	1.0005988202673364	0.0016604343110729891	0.039019135062272614
EXPH5	5.508169008717187	4.509599564731969	0.9985694439852173	3.28143770487177E-5	0.002943642608994684
KM-PA-2	4.9513071281410355	3.95925443160494	0.9920526965360956	0.19091557062147568	0.5055182279962657
NPIPA8	5.623167681906316	4.632762818144866	0.9904048637614498	0.014536703878165191	0.13795854665406174
C12orf56	2.4466897843655477	1.4629441687515559	0.9837456156139919	0.00305629909492644	0.05762041316438958
SERPINC1	2.391746449865419	1.4084084503206367	0.9833379995447824	3.141346183177518E-9	6.24181877602048E-6
CYP2C9	3.400600200209168	2.4191509936331133	0.9814492065760549	0.0038482721295485245	0.06519509955659324
PSORS1C2	4.064268628204835	3.0835307891468413	0.9807378390579937	4.150011522474628E-5	0.0034990745299679593
ADH4	3.5811720463118117	2.605063807119032	0.9761082391927798	3.0959824899712274E-4	0.013143131260455942
TBC1D3C	6.068703464426348	5.093452441732168	0.97525102269418	1.320038436780635E-6	3.5550311849754393E-4
OSBPL7	8.974444965539243	8.003035174424571	0.971409791114672	1.4712145168793711E-8	2.0610583678005465E-5
NXNL2	2.934497219737161	1.984243653924826	0.9502535658123348	4.984630490367792E-6	8.252735499143475E-4
MUC17	4.946964683813119	3.997089982067452	0.9498747017456672	0.02244705666059732	0.17314942647301923
IL33	9.182779333356514	8.234196937426418	0.9485823959300959	4.2263750049831295E-4	0.016069048348800158
RP11-6L6.2	1.745936652075569	0.8007477696376372	0.9451888824379319	0.007441716603957649	0.09701398911329756
OLFM4	10.134973039914124	9.190333051823115	0.9446399880910086	0.057280898539135316	0.28817671939081
MT-ND6	15.624074094610963	14.683457498445316	0.940616596165647	3.157173492362997E-5	0.0028888405764704375
RIPPLY2	1.7682267206114206	0.8281581011534412	0.9400686194579794	0.016069692159468962	0.1442391491415716
AC174470.1	5.343877324317693	4.412967414811772	0.930909909505921	1.0852609667777458E-4	0.0066102918819251864
TUBB8	2.1264344553291163	1.1987622967569744	0.9276721585721419	7.920787795934192E-5	0.0053825890798340865
MT-ND5	15.239074083791479	14.312872352073502	0.9262017317179776	4.6215809068606006E-8	4.6760128597636256E-5
GOLGA6L10	3.543133318272988	2.617077738362118	0.9260555799108698	7.089841394170016E-5	0.005043757479321263
MUCL1	3.5280751685726215	2.6030232464117464	0.9250519221608751	0.02244705666059732	0.17314942647301923
TFCP2L1	6.391809440248272	5.467354448133756	0.9244549921145158	0.0036505330183630447	0.06301754249329646
SAP25	6.244984111909865	5.325644230432508	0.9193398814773568	0.006116575387021372	0.08648685632642332
MT-CO1	18.67574073995505	17.757765963291103	0.9179747766639466	6.20979061560778E-6	9.424392224287408E-4
BLOC1S5-TXNDC5	2.0196008987553027	1.1040083306797748	0.9155925680755279	0.0036893255946558456	0.06356669605475143
GSTT2	7.285905347142552	6.371553169180078	0.9143521779624733	8.043517832727609E-4	0.024828567249090716
CLDN2	9.401863434103946	8.491225691253023	0.9106377428509234	0.004470232592250212	0.0719186183481103
ARHGDIG	6.336301479523512	5.431817197216161	0.9044842823073509	0.0015928831795217757	0.037970665530694475
ARHGAP40	2.1837845557465267	1.2825319510752964	0.9012526046712304	2.064826414238663E-5	0.002147187492685834
