Name	Mean(log(AA))	Mean(log(EA))	logFC	M-W U test pval	Adj pval
F8A2	6.396683877846855	2.4967004898358582	3.899983388010997	0.0	0.0
NPIPB15	7.088135212304602	4.944533531391343	2.1436016809132585	0.0	0.0
F8A3	7.988530547696698	5.897912300360068	2.0906182473366295	0.0	0.0
GSTM1	8.182755897985638	6.48996191973303	1.6927939782526078	7.105427357601002E-15	2.598474759771676E-13
CCL3L3	4.490978518167701	3.241570711487228	1.2494078066804728	0.0	0.0
TNNI3	5.667673234085538	4.446931301461679	1.2207419326238593	2.2426505097428162E-14	7.31956112606383E-13
KRT23	6.52577492985282	5.365404179127703	1.160370750725117	6.676561525864599E-10	6.936311381006622E-9
CRYBB2	3.6094616921595053	2.464151345561665	1.1453103465978405	0.0	0.0
CTB-134H23.2	2.51431513470588	1.376263328097566	1.138051806608314	0.0	0.0
ZACN	7.440431688788667	6.400148410395238	1.0402832783934288	0.0	0.0
ARHGAP40	4.771179494692728	3.739432109707193	1.0317473849855348	3.3439917501709715E-13	7.88870178162095E-12
PNMA6A	2.1660142922489958	1.1343399634699534	1.0316743287790424	0.0	0.0
HOXB9	5.223588191981285	4.233309129465284	0.9902790625160014	1.6095061949883416E-9	1.5378975248230682E-8
LEFTY1	3.9741283845294113	2.990434292845194	0.9836940916842174	4.768698547152894E-9	4.0869429619175765E-8
PROM1	7.584159130685794	6.602897488380041	0.9812616423057534	6.224546433841738E-10	6.500082548917759E-9
TUBB8	3.3218926998265315	2.3429162616197567	0.9789764382067747	0.0	0.0
B4GALNT4	7.459105083626067	6.482885988546368	0.9762190950796992	7.099876242477876E-13	1.5201363604369037E-11
GAL	5.136968557122012	4.172013195243786	0.9649553618782258	1.5893586446935615E-10	1.908068532442923E-9
MSLN	6.989619256813596	6.035711289626433	0.9539079671871633	1.0626439395089449E-8	8.428950969658931E-8
ACSM1	5.130667946753315	4.226371380057464	0.9042965666958507	1.1102230246251565E-16	6.0901752182148645E-15
WNK2	7.398883154925229	6.5102608299485905	0.8886223249766383	6.620370918142271E-12	1.0970900378635765E-10
SCGB2A1	5.833677522638418	4.9539785578622375	0.8796989647761801	9.330344545344094E-5	3.0884084852745664E-4
LCN2	9.57832691374218	8.702184855018908	0.8761420587232713	1.138404395162329E-5	4.6082731372963626E-5
KM-PA-2	4.417481708732633	3.5438422069089484	0.8736395018236847	4.212056514907303E-6	1.884302953807217E-5
EMX2	4.799317012123174	3.9292067016453207	0.8701103104778531	9.209978537705332E-6	3.81643069689851E-5
IHH	3.2321412699640395	2.3672697191319823	0.8648715508320572	7.618935748077149E-6	3.210912728831141E-5
RP11-683L23.1	3.5596945704564247	2.698837750895148	0.8608568195612767	0.0	0.0
CAPS	9.782017366187214	8.926961301257155	0.8550560649300589	2.220446049250313E-15	9.211563428006082E-14
COL9A3	6.883683253860096	6.051672329267235	0.8320109245928613	6.137645947035253E-12	1.0254936512606058E-10
HOXB8	5.387686608398225	4.560700977633702	0.8269856307645229	1.1849324721424637E-6	5.986127651222898E-6
NPIPA8	4.815533437310727	3.997078530795081	0.8184549065156457	2.7617533815416095E-9	2.4998535081826935E-8
TBC1D3C	5.813992644703169	4.998892773899014	0.815099870804155	0.0	0.0
HOXA11	4.3602830368023735	3.5493703064736417	0.8109127303287318	2.4486604965900938E-8	1.8003635431529586E-7
GOLGA6L10	2.4912822285857965	1.6824568625639706	0.8088253660218259	0.0	0.0
OLFM4	4.132809225726953	3.3273864653451293	0.8054227603818234	1.502852020679457E-4	4.7254732390563314E-4
EPS8L3	3.3742760722015555	2.5705056565102735	0.8037704156912819	8.884244770412941E-6	3.695748418427604E-5
SLC22A16	2.794822888973562	2.005926497139153	0.7888963918344087	0.0	0.0
SYT5	3.5277424734857257	2.739689695540424	0.7880527779453015	4.984901380566953E-14	1.473782856215671E-12
RP11-599B13.6	4.072051820379208	3.2889069618666156	0.7831448585125926	2.807550422589955E-6	1.3060308632492532E-5
VTCN1	6.65639577347798	5.886531416958726	0.7698643565192542	3.3837394744495874E-5	1.226361458879122E-4
CCDC78	6.757216820881235	6.0010974727105495	0.7561193481706852	1.3566925360919413E-13	3.555120067238336E-12
ROPN1	2.1358446870330994	1.3889269732371483	0.7469177137959511	2.7424888804361558E-8	1.9938605784632044E-7
GAL3ST2	2.6692434916135865	1.9244906782055915	0.744752813407995	1.1102230246251565E-16	6.0901752182148645E-15
ART3	3.4050761082600385	2.6603657993922467	0.7447103088677918	2.6409739523280962E-5	9.825825867170437E-5
C2orf70	4.831263254438688	4.0875926681548895	0.7436705862837982	1.4444001550373287E-13	3.768684186753557E-12
KIF1A	3.99552818612163	3.25316983650686	0.7423583496147699	1.2960420444296794E-5	5.177345407579145E-5
HGFAC	3.319778457419446	2.582285710222913	0.7374927471965331	5.551115123125783E-16	2.6745213921261045E-14
C2orf54	5.692900014973772	4.957009619295661	0.7358903956781111	9.293610101490657E-7	4.834482352709164E-6
COL9A1	2.8504377278261446	2.1166439683744285	0.7337937594517161	7.429099775357884E-7	3.930818277420621E-6
CALML5	4.33248065144979	3.6025338949624435	0.729946756487347	8.352174176831095E-4	0.0022076893484535257
SCXA	6.265248852017689	5.5424773878067	0.7227714642109886	0.0	0.0
ST20-MTHFS	5.149733672123839	4.432850570494756	0.7168831016290831	0.0	0.0
CTNNA2	2.045144334922378	1.3302011756671097	0.7149431592552682	9.66302986515899E-8	6.177012983653054E-7
NOTUM	3.8180429922932246	3.1034577820112124	0.7145852102820123	1.557763559900671E-5	6.112423062567664E-5
COL2A1	3.0630307837599866	2.3487677375294647	0.714263046230522	4.00266712398456E-4	0.0011415060078610526
GABRP	5.4871902931264325	4.778343092989643	0.7088472001367894	3.134324097332497E-4	9.144875113844831E-4
NOTCH2NL	9.443384703201517	8.736754649382704	0.706630053818813	0.0	0.0
NRTN	5.450397190388593	4.750065010197278	0.7003321801913147	2.531308496145357E-14	8.188310893747644E-13
SRPK3	4.662154597412028	3.9648711495762003	0.6972834478358281	1.2870030485778727E-8	1.0038072599871614E-7
ZNF695	4.76445784338143	4.067864026887952	0.6965938164934782	2.830435885670113E-11	4.0240357806263935E-10
C4BPA	4.354163481645602	3.658172014916466	0.6959914667291365	5.444818645949923E-7	2.9600752578740827E-6
C6orf100	2.630435149017743	1.938672853245964	0.6917622957717788	1.1102230246251565E-16	6.0901752182148645E-15
MUC13	4.26247755464892	3.571285916802638	0.6911916378462823	1.1216369223610023E-4	3.637978918973922E-4
PRAME	5.842665993588342	5.155676770049662	0.6869892235386796	1.5195461800032728E-4	4.7730208744773377E-4
C4orf48	8.550292711274855	7.864464576016023	0.6858281352588316	0.0	0.0
KRT81	4.858611365638289	4.1736461935662525	0.6849651720720367	0.026321588787287187	0.04724241401341029
CTXN1	8.174618311025563	7.490140703813761	0.684477607211802	3.340228094117492E-11	4.668628860327534E-10
MMP7	10.115591092106483	9.435608495901254	0.6799825962052282	8.248076905359447E-6	3.445274692669868E-5
APOC4-APOC2	3.3015799072417096	2.6238618453397042	0.6777180619020053	9.304563414525013E-6	3.852118865772438E-5
SERPINC1	2.6207845759144495	1.9448957084312286	0.6758888674832209	0.0	0.0
DNAH10	3.6703391064189153	2.9979949891618483	0.672344117257067	2.1094237467877974E-15	8.811198457912699E-14
CKS1B	3.2610016233943337	2.5895935931780856	0.6714080302162482	5.323033436255287E-8	3.603712907558976E-7
WNT6	3.577263708331358	2.906353754291013	0.6709099540403449	2.774623699686174E-7	1.6082573780612541E-6
NOXO1	4.180297304455459	3.5126956177626543	0.6676016866928052	1.6657797363706095E-10	1.9869843132685414E-9
CALML6	3.3287987054162516	2.6656326549244946	0.6631660504917569	0.0	0.0
PCSK1N	6.756195924470562	6.095482781936643	0.6607131425339192	1.5221739780080235E-5	5.993909727023161E-5
AC008443.1	4.357876904288738	3.6985873204686857	0.6592895838200525	1.5954519932970257E-5	6.240629661066459E-5
HAGHL	8.225427043400455	7.566562050395697	0.6588649930047579	0.0	0.0
RNF223	4.071676640483003	3.4197632547148333	0.6519133857681694	2.9333976359069425E-8	2.114926276529582E-7
PDIA2	3.715373817827307	3.064473643340429	0.6509001744868779	5.7225872818200685E-8	3.84574758584897E-7
P2RX5	5.619301157907625	4.971928300543725	0.6473728573638997	4.3034353858217855E-10	4.6706892280444795E-9
MRAP2	4.256113650091413	3.6119836874792486	0.6441299626121642	3.1722607873874153E-9	2.829246496567072E-8
MSX1	6.25335898177585	5.611879808202658	0.6414791735731926	7.287226388208445E-6	3.086394580977958E-5
PIF1	5.92222337409285	5.2840111594505945	0.6382122146422553	1.0507150705052481E-12	2.1452492000046614E-11
AREGB	2.962668754358659	2.3275119206048718	0.6351568337537872	6.231823254333468E-4	0.0017053939159717675
KRTAP5-1	4.04586690210851	3.4120939709456044	0.6337729311629055	2.5103252809799415E-12	4.6622060612394206E-11
PPP1R1B	7.50697961605708	6.87362242915224	0.6333571869048402	0.001046353285579893	0.002707613815996165
GPC2	5.8070279391990285	5.174169718503835	0.6328582206951934	5.806466418789569E-14	1.6811981942606618E-12
