Name	Mean(log(uterus_black))	Mean(log(uterus_white))	logFC	M-W U test pval	Adj pval
SCGB2A1	4.727691184184661	7.88235374189029	-3.1546625577056284	0.1686030287953234	0.8599493053002827
UGT2B7	1.7261505268009487	4.880297754195301	-3.1541472273943527	0.01349802609615458	0.6913183417067909
C20orf85	1.3315422808854147	3.9048511083214854	-2.5733088274360707	0.07687183221554494	0.8159621337305715
CLDN3	5.891523778856273	8.328227528083033	-2.4367037492267603	0.019530136286909694	0.726660471734614
AGR3	2.533072065246747	4.959410763986852	-2.4263386987401048	0.16078411527717162	0.8587097675741494
PIGR	4.765526052068873	7.1213227540673385	-2.3557967019984654	0.009175390756598012	0.6708021761686165
OVOL2	0.37767485416474156	2.677054147709149	-2.2993792935444075	0.026896030615646938	0.7337034768017178
FOXA2	1.6831356650842442	3.979247980026377	-2.2961123149421327	0.031152088483960894	0.7337034768017178
NDNF	4.508954366467168	6.646342582274207	-2.1373882158070394	7.847045339116621E-4	0.4691799170413635
AGR2	5.645395115435311	7.658525553926074	-2.013130438490763	0.052036858327667246	0.7729977682410081
FABP6	0.7369202326953079	2.713378769656178	-1.97645853696087	0.07687183221554494	0.8159621337305715
GSTO2	6.2169028999533635	8.178971469249275	-1.9620685692959112	1.0479013711173213E-4	0.2724747343630082
CTD-3193O13.9	3.673857733759262	5.624427465754442	-1.9505697319951798	0.008671293631125288	0.6708021761686165
ANKRD65	7.141660740846746	9.036030807025211	-1.8943700661784657	0.09696122019672704	0.81979487117949
NOTUM	2.23854580248165	4.085755691200756	-1.8472098887191062	0.01278684607862457	0.6853255902997455
PRAME	4.565966286486137	6.398294114128114	-1.8323278276419774	0.09439937229987727	0.819057345557582
CST1	0.9723068292982043	2.802646074875362	-1.8303392455771577	0.29435634181949877	0.897057847593158
XXbac-BPG181M17.5	0.5876944594835573	2.402205646179231	-1.8145111866956736	0.12574383546976098	0.8422385919732575
CTB-102L5.4	1.13770802312996	2.8874816421553247	-1.7497736190253645	0.052036858327667246	0.7729977682410081
KLK11	5.152302152547085	6.901023806638702	-1.748721654091617	0.07165590123038779	0.8090497664028657
BCMO1	2.269577009834523	3.987508792509242	-1.717931782674719	0.0027186937320673454	0.5978016835012748
C11orf53	1.4454048846941026	3.1340509788431397	-1.688646094149037	0.0536115103345165	0.7773668998504892
GLYATL2	2.05878788407216	3.719117718358553	-1.6603298342863928	0.029193966323110443	0.7337034768017178
IHH	4.693883575302765	6.344836304801923	-1.6509527294991582	0.0657833042480146	0.7997633758109758
VWDE	2.345600969871321	3.9957318400801416	-1.6501308702088204	0.01189027358624073	0.6853255902997455
SST	2.2230832326053083	3.862201348302559	-1.6391181156972507	0.07370638215106295	0.8132242648758496
TDGF1	3.5421896013318346	5.177932448526709	-1.6357428471948747	0.026896030615646938	0.7337034768017178
SLC6A2	3.737076238802273	5.365425712874412	-1.628349474072139	0.028255271520658876	0.7337034768017178
GABRP	5.306877400045055	6.919747487712367	-1.6128700876673117	0.06299921900496519	0.7961985082825875
PAX2	2.2707671246471266	3.882366594555676	-1.6115994699085494	0.27411057423506346	0.8914467460658886
GRHL2	2.904684944887056	4.515807634819986	-1.6111226899329294	0.016413603665070053	0.6993518017777718
SCGB1A1	1.715384533045525	3.319096397349308	-1.603711864303783	0.15887288073823558	0.8570476611388468
UPK1B	1.354623291363218	2.9544616681481637	-1.5998383767849458	0.0823931615775313	0.8159621337305715
FAM216B	1.3646314425138057	2.9470038551276225	-1.5823724126138168	0.05688030655274856	0.7804379723642977
FREM2	2.1232584815997066	3.6782573763645114	-1.5549988947648048	0.026896030615646938	0.7337034768017178
SOX15	6.705413798860537	8.250132976570756	-1.5447191777102187	0.028721316824991017	0.7337034768017178
FAM21B	4.662377677191236	6.199276702108841	-1.5368990249176049	0.035973601476436134	0.7337034768017178
LY6K	3.4135537272459544	4.944670818950279	-1.5311170917043242	0.013020132563348996	0.6853255902997455
C22orf31	1.6068830426335952	3.125601541719247	-1.5187184990856517	0.016127396994543464	0.6993518017777718
FAM183A	3.9538394795317924	5.441167726868066	-1.487328247336274	0.10360940418204001	0.81979487117949
TGFBR3L	4.033583028281582	5.517712264710845	-1.484129236429263	0.0028959201969740445	0.5978016835012748
WDR38	2.0092137500830036	3.488091437308214	-1.4788776872252103	0.13388987825124432	0.8445463187987361
C1orf168	2.964597557944716	4.4420299444342035	-1.4774323864894874	0.24950843609217843	0.8830251920153038
MSX1	8.252288252023174	9.729557020235717	-1.477268768212543	0.0383127611705707	0.7337034768017178
BCL2L15	3.2545786229917075	4.728364298694739	-1.4737856757030317	0.026896030615646938	0.7337034768017178
RGPD1	2.6836403258187684	4.149640778510962	-1.4660004526921937	0.012557266238190867	0.6853255902997455
AMH	2.4773302186221526	3.9193670507247704	-1.4420368321026178	0.01729916705784751	0.7032420322712474
DEGS2	5.776162213102608	7.205447637954301	-1.4292854248516935	0.002551429912978964	0.5808330196896612
GRB7	5.642288402517986	7.070143707595865	-1.4278553050778795	0.003083632778288714	0.6038615070773554
ADARB2	2.117685135682232	3.5421259709972426	-1.4244408353150106	0.003019863545031698	0.5978016835012748
STX19	2.5806451949292777	4.003263440862017	-1.422618245932739	0.01919677673284259	0.726660471734614
POSTN	9.021540233829542	10.437648547649841	-1.416108313820299	0.02602156097267372	0.7337034768017178
BEX2	8.691631213903367	10.103830943919542	-1.4121997300161748	0.11950936881681817	0.8355104126264463
RP11-529K1.3	0.7677744831860098	2.179326513587834	-1.4115520304018243	0.042717626322895774	0.744472163246486
EFNB3	6.4929236166639805	7.9009900464813745	-1.408066429817394	0.16078411527717162	0.8587097675741494
C6orf52	3.762286534997891	5.168365607802823	-1.406079072804932	0.09696122019672704	0.81979487117949
