Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	142	Hartigans' dip test for unimodality / multimodality	0.0284825312152279	0.5974	black or african american	BRCA	1
A2M	142	Hartigans' dip test for unimodality / multimodality	0.0215408336408743	0.9536	black or african american	BRCA	1
A2ML1	142	Hartigans' dip test for unimodality / multimodality	0.0226602384201795	0.9183	black or african american	BRCA	1
A4GALT	142	Hartigans' dip test for unimodality / multimodality	0.0214293490112332	0.9559	black or african american	BRCA	1
A4GNT	142	Hartigans' dip test for unimodality / multimodality	0.067018968812054	0.0000	black or african american	BRCA	0
AAAS	142	Hartigans' dip test for unimodality / multimodality	0.0199561902135734	0.9831	black or african american	BRCA	1
AACS	142	Hartigans' dip test for unimodality / multimodality	0.0204846713849102	0.9749	black or african american	BRCA	1
AADAC	142	Hartigans' dip test for unimodality / multimodality	0.0442606532520668	0.0424	black or african american	BRCA	0.4072725738396624
AADAT	142	Hartigans' dip test for unimodality / multimodality	0.0274252608718649	0.6657	black or african american	BRCA	1
AAED1	142	Hartigans' dip test for unimodality / multimodality	0.0287338396089089	0.5814	black or african american	BRCA	1
AAGAB	142	Hartigans' dip test for unimodality / multimodality	0.021946854204027	0.9424	black or african american	BRCA	1
AAK1	142	Hartigans' dip test for unimodality / multimodality	0.0311550737839253	0.4328	black or african american	BRCA	1
AAMDC	142	Hartigans' dip test for unimodality / multimodality	0.0197177728424789	0.9858	black or african american	BRCA	1
AAMP	142	Hartigans' dip test for unimodality / multimodality	0.017606476061066	0.9930	black or african american	BRCA	1
AANAT	142	Hartigans' dip test for unimodality / multimodality	0.073943661971831	0.0000	black or african american	BRCA	0
AAR2	142	Hartigans' dip test for unimodality / multimodality	0.0262331597369239	0.7399	black or african american	BRCA	1
AARD	142	Hartigans' dip test for unimodality / multimodality	0.0252329639364876	0.8002	black or african american	BRCA	1
AARS	142	Hartigans' dip test for unimodality / multimodality	0.0252340682054099	0.8002	black or african american	BRCA	1
AARS2	142	Hartigans' dip test for unimodality / multimodality	0.0279965861267155	0.6288	black or african american	BRCA	1
AARSD1	142	Hartigans' dip test for unimodality / multimodality	0.0211258951363985	0.9620	black or african american	BRCA	1
AASDH	142	Hartigans' dip test for unimodality / multimodality	0.0292134281293944	0.5509	black or african american	BRCA	1
AASDHPPT	142	Hartigans' dip test for unimodality / multimodality	0.0221819255960325	0.9344	black or african american	BRCA	1
AASS	142	Hartigans' dip test for unimodality / multimodality	0.0193728831789652	0.9896	black or african american	BRCA	1
AATF	142	Hartigans' dip test for unimodality / multimodality	0.0197834845266592	0.9850	black or african american	BRCA	1
AATK	142	Hartigans' dip test for unimodality / multimodality	0.0310791333327627	0.4373	black or african american	BRCA	1
ABAT	142	Hartigans' dip test for unimodality / multimodality	0.0378738931107002	0.1540	black or african american	BRCA	1
ABCA1	142	Hartigans' dip test for unimodality / multimodality	0.019411439539581	0.9892	black or african american	BRCA	1
ABCA2	142	Hartigans' dip test for unimodality / multimodality	0.0265389986814267	0.7214	black or african american	BRCA	1
ABCA3	142	Hartigans' dip test for unimodality / multimodality	0.0228389255807914	0.9122	black or african american	BRCA	1
ABCA4	142	Hartigans' dip test for unimodality / multimodality	0.027502412670235	0.6607	black or african american	BRCA	1
ABCA5	142	Hartigans' dip test for unimodality / multimodality	0.0216791696845716	0.9509	black or african american	BRCA	1
ABCA6	142	Hartigans' dip test for unimodality / multimodality	0.0226465916987606	0.9187	black or african american	BRCA	1
