Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	54	Hartigans' dip test for unimodality / multimodality	0.0469320266605922	0.5071	black or african american	COAD	1
A2M	54	Hartigans' dip test for unimodality / multimodality	0.0360607385047329	0.9069	black or african american	COAD	1
A2ML1	54	Hartigans' dip test for unimodality / multimodality	0.115956330375619	0.0000	black or african american	COAD	0
A4GALT	54	Hartigans' dip test for unimodality / multimodality	0.0267603741729798	0.9939	black or african american	COAD	1
A4GNT	54	Hartigans' dip test for unimodality / multimodality	0.0852650140073349	0.0032	black or african american	COAD	0.06856282352941177
AAAS	54	Hartigans' dip test for unimodality / multimodality	0.0471361599829279	0.4989	black or african american	COAD	1
AACS	54	Hartigans' dip test for unimodality / multimodality	0.03020056900064	0.9901	black or african american	COAD	1
AADAC	54	Hartigans' dip test for unimodality / multimodality	0.0387037181990993	0.8279	black or african american	COAD	1
AADAT	54	Hartigans' dip test for unimodality / multimodality	0.0277785026904082	0.9928	black or african american	COAD	1
AAED1	54	Hartigans' dip test for unimodality / multimodality	0.0284962061159562	0.9920	black or african american	COAD	1
AAGAB	54	Hartigans' dip test for unimodality / multimodality	0.0290128046375915	0.9914	black or african american	COAD	1
AAK1	54	Hartigans' dip test for unimodality / multimodality	0.0277777777777778	0.9928	black or african american	COAD	1
AAMDC	54	Hartigans' dip test for unimodality / multimodality	0.064251127864983	0.0841	black or african american	COAD	0.9084396204033215
AAMP	54	Hartigans' dip test for unimodality / multimodality	0.0370348716695077	0.8797	black or african american	COAD	1
AANAT	54	Hartigans' dip test for unimodality / multimodality	0.0833333333333333	0.0044	black or african american	COAD	0.08417310924369749
AAR2	54	Hartigans' dip test for unimodality / multimodality	0.0376160485633688	0.8617	black or african american	COAD	1
AARD	54	Hartigans' dip test for unimodality / multimodality	0.0674890298048376	0.0528	black or african american	COAD	0.6645429163787145
AARS	54	Hartigans' dip test for unimodality / multimodality	0.0363985677595859	0.8995	black or african american	COAD	1
AARS2	54	Hartigans' dip test for unimodality / multimodality	0.0537007380012394	0.2782	black or african american	COAD	1
AARSD1	54	Hartigans' dip test for unimodality / multimodality	0.0339499574349369	0.9512	black or african american	COAD	1
AASDH	54	Hartigans' dip test for unimodality / multimodality	0.0308813637833885	0.9860	black or african american	COAD	1
AASDHPPT	54	Hartigans' dip test for unimodality / multimodality	0.0323968040107093	0.9713	black or african american	COAD	1
AASS	54	Hartigans' dip test for unimodality / multimodality	0.0389405403082637	0.8206	black or african american	COAD	1
AATF	54	Hartigans' dip test for unimodality / multimodality	0.0462949285020578	0.5329	black or african american	COAD	1
AATK	54	Hartigans' dip test for unimodality / multimodality	0.0373648186402119	0.8695	black or african american	COAD	1
ABAT	54	Hartigans' dip test for unimodality / multimodality	0.0453453432460568	0.5714	black or african american	COAD	1
ABCA1	54	Hartigans' dip test for unimodality / multimodality	0.0488783372685548	0.4336	black or african american	COAD	1
ABCA2	54	Hartigans' dip test for unimodality / multimodality	0.0432064634071925	0.6590	black or african american	COAD	1
ABCA3	54	Hartigans' dip test for unimodality / multimodality	0.0473708523517181	0.4901	black or african american	COAD	1
ABCA4	54	Hartigans' dip test for unimodality / multimodality	0.036464813564551	0.8974	black or african american	COAD	1
ABCA5	54	Hartigans' dip test for unimodality / multimodality	0.0455374253023981	0.5636	black or african american	COAD	1
ABCA6	54	Hartigans' dip test for unimodality / multimodality	0.0354027974563624	0.9210	black or african american	COAD	1
ABCA7	54	Hartigans' dip test for unimodality / multimodality	0.0435752329785127	0.6438	black or african american	COAD	1
ABCA8	54	Hartigans' dip test for unimodality / multimodality	0.0297417704570207	0.9906	black or african american	COAD	1
ABCA9	54	Hartigans' dip test for unimodality / multimodality	0.0396389681178992	0.7986	black or african american	COAD	1
ABCA10	54	Hartigans' dip test for unimodality / multimodality	0.03692510309625	0.8831	black or african american	COAD	1
ABCA12	54	Hartigans' dip test for unimodality / multimodality	0.0716363539208223	0.0313	black or african american	COAD	0.4361404743687835
ABCA13	54	Hartigans' dip test for unimodality / multimodality	0.0376429067054117	0.8609	black or african american	COAD	1
ABCB1	54	Hartigans' dip test for unimodality / multimodality	0.0341246809340716	0.9483	black or african american	COAD	1
ABCB4	54	Hartigans' dip test for unimodality / multimodality	0.0472525195626526	0.4945	black or african american	COAD	1
ABCB5	54	Hartigans' dip test for unimodality / multimodality	0.063043710181032	0.0957	black or african american	COAD	0.9941365242165242
ABCB6	54	Hartigans' dip test for unimodality / multimodality	0.048852768540664	0.4345	black or african american	COAD	1
ABCB7	54	Hartigans' dip test for unimodality / multimodality	0.0467242813226409	0.5155	black or african american	COAD	1
ABCB8	54	Hartigans' dip test for unimodality / multimodality	0.038411227338146	0.8370	black or african american	COAD	1
ABCB9	54	Hartigans' dip test for unimodality / multimodality	0.0315336739324252	0.9814	black or african american	COAD	1
ABCB10	54	Hartigans' dip test for unimodality / multimodality	0.0436508794540272	0.6407	black or african american	COAD	1
ABCB11	54	Hartigans' dip test for unimodality / multimodality	0.028435370989083	0.9921	black or african american	COAD	1
ABCC1	54	Hartigans' dip test for unimodality / multimodality	0.0364939965606586	0.8965	black or african american	COAD	1
ABCC2	54	Hartigans' dip test for unimodality / multimodality	0.0356837420576623	0.9149	black or african american	COAD	1
ABCC3	54	Hartigans' dip test for unimodality / multimodality	0.0368733136657867	0.8848	black or african american	COAD	1
ABCC4	54	Hartigans' dip test for unimodality / multimodality	0.0409053653508944	0.7500	black or african american	COAD	1
ABCC5	54	Hartigans' dip test for unimodality / multimodality	0.0447533066405964	0.5954	black or african american	COAD	1
ABCC6	54	Hartigans' dip test for unimodality / multimodality	0.0414120265157066	0.7306	black or african american	COAD	1
ABCC8	54	Hartigans' dip test for unimodality / multimodality	0.0648148148148148	0.0786	black or african american	COAD	0.8628470162748645
ABCC9	54	Hartigans' dip test for unimodality / multimodality	0.0295828053596259	0.9908	black or african american	COAD	1
ABCC10	54	Hartigans' dip test for unimodality / multimodality	0.0370436160107513	0.8795	black or african american	COAD	1
ABCC11	54	Hartigans' dip test for unimodality / multimodality	0.0281543997927606	0.9924	black or african american	COAD	1
ABCC12	54	Hartigans' dip test for unimodality / multimodality	0.0106005798571582	1.0000	black or african american	COAD	1
ABCD1	54	Hartigans' dip test for unimodality / multimodality	0.0364098050997884	0.8991	black or african american	COAD	1
ABCD2	54	Hartigans' dip test for unimodality / multimodality	0.0572682360629103	0.1908	black or african american	COAD	1
ABCD3	54	Hartigans' dip test for unimodality / multimodality	0.0243059043625918	0.9966	black or african american	COAD	1
ABCD4	54	Hartigans' dip test for unimodality / multimodality	0.0347152383157616	0.9357	black or african american	COAD	1
ABCE1	54	Hartigans' dip test for unimodality / multimodality	0.0397583818008484	0.7941	black or african american	COAD	1
ABCF1	54	Hartigans' dip test for unimodality / multimodality	0.0311881497926791	0.9838	black or african american	COAD	1
ABCF2	54	Hartigans' dip test for unimodality / multimodality	0.0351845671684585	0.9256	black or african american	COAD	1
ABCF3	54	Hartigans' dip test for unimodality / multimodality	0.0509264431270096	0.3626	black or african american	COAD	1
ABCG1	54	Hartigans' dip test for unimodality / multimodality	0.0383599315677984	0.8386	black or african american	COAD	1
ABCG2	54	Hartigans' dip test for unimodality / multimodality	0.0371541186877309	0.8760	black or african american	COAD	1
ABCG4	54	Hartigans' dip test for unimodality / multimodality	0.0530238869821429	0.2957	black or african american	COAD	1
ABHD1	54	Hartigans' dip test for unimodality / multimodality	0.0409112374060459	0.7498	black or african american	COAD	1
ABHD2	54	Hartigans' dip test for unimodality / multimodality	0.0267495016023503	0.9939	black or african american	COAD	1
ABHD3	54	Hartigans' dip test for unimodality / multimodality	0.0419607292146387	0.7095	black or african american	COAD	1
ABHD4	54	Hartigans' dip test for unimodality / multimodality	0.0422432300535049	0.6986	black or african american	COAD	1
ABHD5	54	Hartigans' dip test for unimodality / multimodality	0.0378744317734502	0.8537	black or african american	COAD	1
ABHD6	54	Hartigans' dip test for unimodality / multimodality	0.0419459502174413	0.7101	black or african american	COAD	1
ABHD8	54	Hartigans' dip test for unimodality / multimodality	0.0277837648780511	0.9928	black or african american	COAD	1
ABHD10	54	Hartigans' dip test for unimodality / multimodality	0.0319841071528245	0.9767	black or african american	COAD	1
