Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	80	Hartigans' dip test for unimodality / multimodality	0.0264932140333095	0.9790	black or african american	Esophagus	1
A2M	80	Hartigans' dip test for unimodality / multimodality	0.0277616623030901	0.9595	black or african american	Esophagus	1
A2ML1	80	Hartigans' dip test for unimodality / multimodality	0.141994989683958	0.0000	black or african american	Esophagus	0
A4GALT	80	Hartigans' dip test for unimodality / multimodality	0.0469506844235182	0.2097	black or african american	Esophagus	0.7409888242142025
A4GNT	80	Hartigans' dip test for unimodality / multimodality	0.06875	0.0049	black or african american	Esophagus	0.03433582146979607
AAAS	80	Hartigans' dip test for unimodality / multimodality	0.0289055590427337	0.9363	black or african american	Esophagus	1
AACS	80	Hartigans' dip test for unimodality / multimodality	0.0907099823166522	0.0000	black or african american	Esophagus	0
AADAC	80	Hartigans' dip test for unimodality / multimodality	0.075	0.0012	black or african american	Esophagus	0.010308679245283017
AADAT	80	Hartigans' dip test for unimodality / multimodality	0.0318423679787121	0.8427	black or african american	Esophagus	1
AAED1	80	Hartigans' dip test for unimodality / multimodality	0.0395663678986128	0.4852	black or african american	Esophagus	1
AAGAB	80	Hartigans' dip test for unimodality / multimodality	0.0387525361011387	0.5236	black or african american	Esophagus	1
AAK1	80	Hartigans' dip test for unimodality / multimodality	0.0256921551444013	0.9863	black or african american	Esophagus	1
AAMDC	80	Hartigans' dip test for unimodality / multimodality	0.0965505406489829	0.0000	black or african american	Esophagus	0
AAMP	80	Hartigans' dip test for unimodality / multimodality	0.032919522272682	0.8025	black or african american	Esophagus	1
AANAT	80	Hartigans' dip test for unimodality / multimodality	0.0625	0.0177	black or african american	Esophagus	0.10262731614135626
AAR2	80	Hartigans' dip test for unimodality / multimodality	0.0649145413101656	0.0110	black or african american	Esophagus	0.06989951151430565
AARD	80	Hartigans' dip test for unimodality / multimodality	0.0432277771783136	0.3314	black or african american	Esophagus	0.9990824035755669
AARS	80	Hartigans' dip test for unimodality / multimodality	0.0379096342367399	0.5646	black or african american	Esophagus	1
AARS2	80	Hartigans' dip test for unimodality / multimodality	0.0437644968479264	0.3105	black or african american	Esophagus	0.9589640730717186
AARSD1	80	Hartigans' dip test for unimodality / multimodality	0.0512932320593307	0.1177	black or african american	Esophagus	0.4845281193490054
AASDH	80	Hartigans' dip test for unimodality / multimodality	0.0297819491498061	0.9136	black or african american	Esophagus	1
AASDHPPT	80	Hartigans' dip test for unimodality / multimodality	0.0258419002239956	0.9850	black or african american	Esophagus	1
AASS	80	Hartigans' dip test for unimodality / multimodality	0.03577155708544	0.6697	black or african american	Esophagus	1
AATF	80	Hartigans' dip test for unimodality / multimodality	0.0293847926972071	0.9239	black or african american	Esophagus	1
AATK	80	Hartigans' dip test for unimodality / multimodality	0.0502448680146986	0.1391	black or african american	Esophagus	0.5536034090909091
ABAT	80	Hartigans' dip test for unimodality / multimodality	0.0220225468706958	0.9944	black or african american	Esophagus	1
ABCA1	80	Hartigans' dip test for unimodality / multimodality	0.039416826361269	0.4919	black or african american	Esophagus	1
ABCA2	80	Hartigans' dip test for unimodality / multimodality	0.0280317981115644	0.9553	black or african american	Esophagus	1
ABCA3	80	Hartigans' dip test for unimodality / multimodality	0.0682550144499119	0.0055	black or african american	Esophagus	0.03802809415337889
ABCA4	80	Hartigans' dip test for unimodality / multimodality	0.025	0.9904	black or african american	Esophagus	1
ABCA5	80	Hartigans' dip test for unimodality / multimodality	0.0433021823883803	0.3285	black or african american	Esophagus	0.9934642975755563
ABCA6	80	Hartigans' dip test for unimodality / multimodality	0.0351999681522063	0.6979	black or african american	Esophagus	1
ABCA7	80	Hartigans' dip test for unimodality / multimodality	0.0270248543745435	0.9708	black or african american	Esophagus	1
ABCA8	80	Hartigans' dip test for unimodality / multimodality	0.0423877631236046	0.3641	black or african american	Esophagus	1
ABCA9	80	Hartigans' dip test for unimodality / multimodality	0.0362870037949877	0.6443	black or african american	Esophagus	1
ABCA10	80	Hartigans' dip test for unimodality / multimodality	0.0322330728339756	0.8281	black or african american	Esophagus	1
ABCA12	80	Hartigans' dip test for unimodality / multimodality	0.0734974095216002	0.0017	black or african american	Esophagus	0.014034632819582955
ABCA13	80	Hartigans' dip test for unimodality / multimodality	0.0803606827495558	3e-04	black or african american	Esophagus	0.0030336479733481395
ABCB1	80	Hartigans' dip test for unimodality / multimodality	0.0292967044447322	0.9262	black or african american	Esophagus	1
ABCB4	80	Hartigans' dip test for unimodality / multimodality	0.0285902113972259	0.9444	black or african american	Esophagus	1
ABCB5	80	Hartigans' dip test for unimodality / multimodality	0.0616039347825231	0.0205	black or african american	Esophagus	0.11587399130974552
ABCB6	80	Hartigans' dip test for unimodality / multimodality	0.0369167961660073	0.6132	black or african american	Esophagus	1
ABCB7	80	Hartigans' dip test for unimodality / multimodality	0.0312474893900186	0.8650	black or african american	Esophagus	1
ABCB8	80	Hartigans' dip test for unimodality / multimodality	0.0337499858732857	0.7648	black or african american	Esophagus	1
ABCB9	80	Hartigans' dip test for unimodality / multimodality	0.0289705163252956	0.9346	black or african american	Esophagus	1
ABCB10	80	Hartigans' dip test for unimodality / multimodality	0.0268178698797706	0.9740	black or african american	Esophagus	1
ABCB11	80	Hartigans' dip test for unimodality / multimodality	0.119362099284095	0.0000	black or african american	Esophagus	0
ABCC1	80	Hartigans' dip test for unimodality / multimodality	0.0374999909565909	0.5846	black or african american	Esophagus	1
