Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	49	Hartigans' dip test for unimodality / multimodality	0.0273661288452701	0.9945	black or african american	KIRP	1
A2M	49	Hartigans' dip test for unimodality / multimodality	0.0510204106505154	0.4377	black or african american	KIRP	1
A2ML1	49	Hartigans' dip test for unimodality / multimodality	0.081620151376	0.0106	black or african american	KIRP	0.25301074705111404
A4GALT	49	Hartigans' dip test for unimodality / multimodality	0.0470571888400032	0.5863	black or african american	KIRP	1
A4GNT	49	Hartigans' dip test for unimodality / multimodality	0.0359982800594375	0.9422	black or african american	KIRP	1
AAAS	49	Hartigans' dip test for unimodality / multimodality	0.0452696587329745	0.6564	black or african american	KIRP	1
AACS	49	Hartigans' dip test for unimodality / multimodality	0.0391178810434701	0.8686	black or african american	KIRP	1
AADAC	49	Hartigans' dip test for unimodality / multimodality	0.0258650110772545	0.9960	black or african american	KIRP	1
AADAT	49	Hartigans' dip test for unimodality / multimodality	0.0510398027928565	0.4370	black or african american	KIRP	1
AAED1	49	Hartigans' dip test for unimodality / multimodality	0.030632892218468	0.9911	black or african american	KIRP	1
AAGAB	49	Hartigans' dip test for unimodality / multimodality	0.0408112102465909	0.8185	black or african american	KIRP	1
AAK1	49	Hartigans' dip test for unimodality / multimodality	0.0454793300732283	0.6481	black or african american	KIRP	1
AAMDC	49	Hartigans' dip test for unimodality / multimodality	0.0382636695002858	0.8940	black or african american	KIRP	1
AAMP	49	Hartigans' dip test for unimodality / multimodality	0.0459162131686082	0.6310	black or african american	KIRP	1
AANAT	49	Hartigans' dip test for unimodality / multimodality	0.0365333487294662	0.9312	black or african american	KIRP	1
AAR2	49	Hartigans' dip test for unimodality / multimodality	0.0514698944603643	0.4216	black or african american	KIRP	1
AARD	49	Hartigans' dip test for unimodality / multimodality	0.05753057750277	0.2448	black or african american	KIRP	1
AARS	49	Hartigans' dip test for unimodality / multimodality	0.0440035881990909	0.7057	black or african american	KIRP	1
AARS2	49	Hartigans' dip test for unimodality / multimodality	0.0285718865370937	0.9932	black or african american	KIRP	1
AARSD1	49	Hartigans' dip test for unimodality / multimodality	0.0413398228714878	0.8028	black or african american	KIRP	1
AASDH	49	Hartigans' dip test for unimodality / multimodality	0.0360132816729855	0.9419	black or african american	KIRP	1
AASDHPPT	49	Hartigans' dip test for unimodality / multimodality	0.0319943804910334	0.9881	black or african american	KIRP	1
AASS	49	Hartigans' dip test for unimodality / multimodality	0.0549040922404282	0.3122	black or african american	KIRP	1
AATF	49	Hartigans' dip test for unimodality / multimodality	0.0364397969310487	0.9332	black or african american	KIRP	1
AATK	49	Hartigans' dip test for unimodality / multimodality	0.038406052091413	0.8897	black or african american	KIRP	1
ABAT	49	Hartigans' dip test for unimodality / multimodality	0.0354445904903256	0.9521	black or african american	KIRP	1
ABCA1	49	Hartigans' dip test for unimodality / multimodality	0.0818398195560452	0.0101	black or african american	KIRP	0.25301074705111404
ABCA2	49	Hartigans' dip test for unimodality / multimodality	0.0301322949690712	0.9916	black or african american	KIRP	1
ABCA3	49	Hartigans' dip test for unimodality / multimodality	0.0555515736992779	0.2937	black or african american	KIRP	1
ABCA4	49	Hartigans' dip test for unimodality / multimodality	0.061932017066392	0.1578	black or african american	KIRP	1
ABCA5	49	Hartigans' dip test for unimodality / multimodality	0.05482298134808	0.3147	black or african american	KIRP	1
ABCA6	49	Hartigans' dip test for unimodality / multimodality	0.0352309112250734	0.9548	black or african american	KIRP	1
ABCA7	49	Hartigans' dip test for unimodality / multimodality	0.0466743853050601	0.6012	black or african american	KIRP	1
ABCA8	49	Hartigans' dip test for unimodality / multimodality	0.0353245643938278	0.9536	black or african american	KIRP	1
ABCA9	49	Hartigans' dip test for unimodality / multimodality	0.0303504083340466	0.9914	black or african american	KIRP	1
ABCA10	49	Hartigans' dip test for unimodality / multimodality	0.0334124625993139	0.9773	black or african american	KIRP	1
ABCA12	49	Hartigans' dip test for unimodality / multimodality	0.0515043210189009	0.4203	black or african american	KIRP	1
ABCA13	49	Hartigans' dip test for unimodality / multimodality	0.0694000291020764	0.0638	black or african american	KIRP	0.951618018018018
ABCB1	49	Hartigans' dip test for unimodality / multimodality	0.0447405816439903	0.6772	black or african american	KIRP	1
ABCB4	49	Hartigans' dip test for unimodality / multimodality	0.0523314998261936	0.3919	black or african american	KIRP	1
ABCB5	49	Hartigans' dip test for unimodality / multimodality	0.0417085589945418	0.7899	black or african american	KIRP	1
ABCB6	49	Hartigans' dip test for unimodality / multimodality	0.0588707541238805	0.2116	black or african american	KIRP	1
ABCB7	49	Hartigans' dip test for unimodality / multimodality	0.0492657928770095	0.5007	black or african american	KIRP	1
ABCB8	49	Hartigans' dip test for unimodality / multimodality	0.0331619970417738	0.9802	black or african american	KIRP	1
ABCB9	49	Hartigans' dip test for unimodality / multimodality	0.0354830628114031	0.9517	black or african american	KIRP	1
ABCB10	49	Hartigans' dip test for unimodality / multimodality	0.0326594128544885	0.9836	black or african american	KIRP	1
ABCB11	49	Hartigans' dip test for unimodality / multimodality	0.088213261560016	0.0037	black or african american	KIRP	0.12054454382826477
ABCC1	49	Hartigans' dip test for unimodality / multimodality	0.0477349874762158	0.5600	black or african american	KIRP	1
ABCC2	49	Hartigans' dip test for unimodality / multimodality	0.0363198779625755	0.9356	black or african american	KIRP	1
ABCC3	49	Hartigans' dip test for unimodality / multimodality	0.0328520124465007	0.9823	black or african american	KIRP	1
ABCC4	49	Hartigans' dip test for unimodality / multimodality	0.0333961165502943	0.9775	black or african american	KIRP	1
ABCC5	49	Hartigans' dip test for unimodality / multimodality	0.0434928788492459	0.7245	black or african american	KIRP	1
ABCC6	49	Hartigans' dip test for unimodality / multimodality	0.0478233084686165	0.5566	black or african american	KIRP	1
ABCC8	49	Hartigans' dip test for unimodality / multimodality	0.0918367346938776	0.0018	black or african american	KIRP	0.06703803680981596
ABCC9	49	Hartigans' dip test for unimodality / multimodality	0.055084837761395	0.3066	black or african american	KIRP	1
ABCC10	49	Hartigans' dip test for unimodality / multimodality	0.0382579224927268	0.8941	black or african american	KIRP	1
ABCC11	49	Hartigans' dip test for unimodality / multimodality	0.0276706458652955	0.9942	black or african american	KIRP	1
ABCC12	49	Hartigans' dip test for unimodality / multimodality	0.0130075825364565	1.0000	black or african american	KIRP	1
ABCD1	49	Hartigans' dip test for unimodality / multimodality	0.0382001630786299	0.8958	black or african american	KIRP	1
ABCD2	49	Hartigans' dip test for unimodality / multimodality	0.0398111480544704	0.8481	black or african american	KIRP	1
ABCD3	49	Hartigans' dip test for unimodality / multimodality	0.044215327623692	0.6978	black or african american	KIRP	1
