Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	39	Hartigans' dip test for unimodality / multimodality	0.0377879879935454	0.9685	black or african american	Lung	1
A2M	39	Hartigans' dip test for unimodality / multimodality	0.0347985448094845	0.9903	black or african american	Lung	1
A2ML1	39	Hartigans' dip test for unimodality / multimodality	0.0453286825939688	0.8139	black or african american	Lung	1
A4GALT	39	Hartigans' dip test for unimodality / multimodality	0.0468933051298417	0.7656	black or african american	Lung	1
A4GNT	39	Hartigans' dip test for unimodality / multimodality	0.0512820512820513	0.6146	black or african american	Lung	1
AAAS	39	Hartigans' dip test for unimodality / multimodality	0.0541337550765789	0.5141	black or african american	Lung	1
AACS	39	Hartigans' dip test for unimodality / multimodality	0.0769279065498674	0.0618	black or african american	Lung	1
AADAC	39	Hartigans' dip test for unimodality / multimodality	0.033780712652813	0.9912	black or african american	Lung	1
AADAT	39	Hartigans' dip test for unimodality / multimodality	0.0551255602470957	0.4808	black or african american	Lung	1
AAED1	39	Hartigans' dip test for unimodality / multimodality	0.0384615384615385	0.9609	black or african american	Lung	1
AAGAB	39	Hartigans' dip test for unimodality / multimodality	0.0603961319035492	0.3218	black or african american	Lung	1
AAK1	39	Hartigans' dip test for unimodality / multimodality	0.0354114674949605	0.9882	black or african american	Lung	1
AAMDC	39	Hartigans' dip test for unimodality / multimodality	0.0497745450364593	0.6683	black or african american	Lung	1
AAMP	39	Hartigans' dip test for unimodality / multimodality	0.0534934576188659	0.5366	black or african american	Lung	1
AANAT	39	Hartigans' dip test for unimodality / multimodality	0.0477448837051571	0.7375	black or african american	Lung	1
AAR2	39	Hartigans' dip test for unimodality / multimodality	0.045580157179133	0.8072	black or african american	Lung	1
AARD	39	Hartigans' dip test for unimodality / multimodality	0.046966472878348	0.7632	black or african american	Lung	1
AARS	39	Hartigans' dip test for unimodality / multimodality	0.0406908645505103	0.9263	black or african american	Lung	1
AARS2	39	Hartigans' dip test for unimodality / multimodality	0.062310199614924	0.2745	black or african american	Lung	1
AARSD1	39	Hartigans' dip test for unimodality / multimodality	0.0419539376691343	0.9025	black or african american	Lung	1
AASDH	39	Hartigans' dip test for unimodality / multimodality	0.0370738522530958	0.9765	black or african american	Lung	1
AASDHPPT	39	Hartigans' dip test for unimodality / multimodality	0.0857947699747325	0.0192	black or african american	Lung	0.5363042944785276
AASS	39	Hartigans' dip test for unimodality / multimodality	0.0592030723588593	0.3553	black or african american	Lung	1
AATF	39	Hartigans' dip test for unimodality / multimodality	0.0429677901070488	0.8766	black or african american	Lung	1
AATK	39	Hartigans' dip test for unimodality / multimodality	0.0656370886525365	0.1999	black or african american	Lung	1
ABAT	39	Hartigans' dip test for unimodality / multimodality	0.0417454343946836	0.9064	black or african american	Lung	1
ABCA1	39	Hartigans' dip test for unimodality / multimodality	0.0421202409764158	0.8991	black or african american	Lung	1
ABCA2	39	Hartigans' dip test for unimodality / multimodality	0.0666670441859044	0.1847	black or african american	Lung	1
ABCA3	39	Hartigans' dip test for unimodality / multimodality	0.0454972631327695	0.8094	black or african american	Lung	1
ABCA4	39	Hartigans' dip test for unimodality / multimodality	0.0666087739093049	0.1855	black or african american	Lung	1
ABCA5	39	Hartigans' dip test for unimodality / multimodality	0.0541374191974182	0.5140	black or african american	Lung	1
ABCA6	39	Hartigans' dip test for unimodality / multimodality	0.0496292509933134	0.6734	black or african american	Lung	1
ABCA7	39	Hartigans' dip test for unimodality / multimodality	0.0601107931743286	0.3298	black or african american	Lung	1
ABCA8	39	Hartigans' dip test for unimodality / multimodality	0.0489496524036044	0.6976	black or african american	Lung	1
ABCA9	39	Hartigans' dip test for unimodality / multimodality	0.0569200627940598	0.4225	black or african american	Lung	1
ABCA10	39	Hartigans' dip test for unimodality / multimodality	0.0403841162825931	0.9320	black or african american	Lung	1
ABCA12	39	Hartigans' dip test for unimodality / multimodality	0.166666666666667	0.0000	black or african american	Lung	0
ABCA13	39	Hartigans' dip test for unimodality / multimodality	0.0701354197563113	0.1333	black or african american	Lung	1
ABCB1	39	Hartigans' dip test for unimodality / multimodality	0.0438591426393119	0.8529	black or african american	Lung	1
ABCB4	39	Hartigans' dip test for unimodality / multimodality	0.0631710614354992	0.2552	black or african american	Lung	1
ABCB5	39	Hartigans' dip test for unimodality / multimodality	0.0897435897435897	0.0112	black or african american	Lung	0.3528968858131488
ABCB6	39	Hartigans' dip test for unimodality / multimodality	0.040217114167273	0.9352	black or african american	Lung	1
ABCB7	39	Hartigans' dip test for unimodality / multimodality	0.0572843225245877	0.4107	black or african american	Lung	1
ABCB8	39	Hartigans' dip test for unimodality / multimodality	0.0291383131697604	0.9953	black or african american	Lung	1
ABCB9	39	Hartigans' dip test for unimodality / multimodality	0.0522793873154202	0.5794	black or african american	Lung	1
ABCB10	39	Hartigans' dip test for unimodality / multimodality	0.0535605792911167	0.5343	black or african american	Lung	1
ABCB11	39	Hartigans' dip test for unimodality / multimodality	0.0824106986166525	0.0327	black or african american	Lung	0.8146818057455539
ABCC1	39	Hartigans' dip test for unimodality / multimodality	0.0593315292839334	0.3517	black or african american	Lung	1
ABCC2	39	Hartigans' dip test for unimodality / multimodality	0.0511295873128004	0.6201	black or african american	Lung	1
ABCC3	39	Hartigans' dip test for unimodality / multimodality	0.0460693850115246	0.7928	black or african american	Lung	1
ABCC4	39	Hartigans' dip test for unimodality / multimodality	0.0410827487824101	0.9189	black or african american	Lung	1
ABCC5	39	Hartigans' dip test for unimodality / multimodality	0.0468223655935257	0.7679	black or african american	Lung	1
ABCC6	39	Hartigans' dip test for unimodality / multimodality	0.0358667934306594	0.9854	black or african american	Lung	1
ABCC8	39	Hartigans' dip test for unimodality / multimodality	0.0679126548492191	0.1662	black or african american	Lung	1
ABCC9	39	Hartigans' dip test for unimodality / multimodality	0.0447707304452485	0.8287	black or african american	Lung	1
ABCC10	39	Hartigans' dip test for unimodality / multimodality	0.0446786199969417	0.8311	black or african american	Lung	1
ABCC11	39	Hartigans' dip test for unimodality / multimodality	0.0484334244198478	0.7148	black or african american	Lung	1
ABCC12	39	Hartigans' dip test for unimodality / multimodality	0.102564102564103	0.0015	black or african american	Lung	0.07782905982905984
ABCD1	39	Hartigans' dip test for unimodality / multimodality	0.0313868707477874	0.9933	black or african american	Lung	1
ABCD2	39	Hartigans' dip test for unimodality / multimodality	0.0671229239208925	0.1779	black or african american	Lung	1
ABCD3	39	Hartigans' dip test for unimodality / multimodality	0.0467015790398546	0.7719	black or african american	Lung	1
ABCD4	39	Hartigans' dip test for unimodality / multimodality	0.0368244681157869	0.9793	black or african american	Lung	1
ABCE1	39	Hartigans' dip test for unimodality / multimodality	0.0396309399991403	0.9462	black or african american	Lung	1
ABCF1	39	Hartigans' dip test for unimodality / multimodality	0.0641026811176308	0.2343	black or african american	Lung	1
ABCF2	39	Hartigans' dip test for unimodality / multimodality	0.0552595823455003	0.4764	black or african american	Lung	1
ABCF3	39	Hartigans' dip test for unimodality / multimodality	0.0348999764005061	0.9902	black or african american	Lung	1
ABCG1	39	Hartigans' dip test for unimodality / multimodality	0.0435145784004943	0.8621	black or african american	Lung	1
ABCG2	39	Hartigans' dip test for unimodality / multimodality	0.0468913865280932	0.7657	black or african american	Lung	1
ABCG4	39	Hartigans' dip test for unimodality / multimodality	0.0355302276969349	0.9875	black or african american	Lung	1
ABHD1	39	Hartigans' dip test for unimodality / multimodality	0.0359777982058822	0.9848	black or african american	Lung	1
ABHD2	39	Hartigans' dip test for unimodality / multimodality	0.0564324442592057	0.4383	black or african american	Lung	1
ABHD3	39	Hartigans' dip test for unimodality / multimodality	0.0566783324687651	0.4304	black or african american	Lung	1
ABHD4	39	Hartigans' dip test for unimodality / multimodality	0.0428457115391621	0.8799	black or african american	Lung	1
ABHD5	39	Hartigans' dip test for unimodality / multimodality	0.0458419072389702	0.8002	black or african american	Lung	1
ABHD6	39	Hartigans' dip test for unimodality / multimodality	0.0482208550499652	0.7218	black or african american	Lung	1
ABHD8	39	Hartigans' dip test for unimodality / multimodality	0.0544937615347667	0.5014	black or african american	Lung	1
ABHD10	39	Hartigans' dip test for unimodality / multimodality	0.0341981213219935	0.9908	black or african american	Lung	1
ABHD11	39	Hartigans' dip test for unimodality / multimodality	0.0411895290109912	0.9169	black or african american	Lung	1
ABHD12	39	Hartigans' dip test for unimodality / multimodality	0.0524527040349402	0.5733	black or african american	Lung	1
ABHD12B	39	Hartigans' dip test for unimodality / multimodality	0.041101789735638	0.9185	black or african american	Lung	1
ABHD13	39	Hartigans' dip test for unimodality / multimodality	0.0566265794722576	0.4320	black or african american	Lung	1
ABHD14A	39	Hartigans' dip test for unimodality / multimodality	0.0384627019007256	0.9609	black or african american	Lung	1
ABHD14A-ACY1	39	Hartigans' dip test for unimodality / multimodality	0.0364979696169587	0.9816	black or african american	Lung	1
ABHD14B	39	Hartigans' dip test for unimodality / multimodality	0.0450197063112686	0.8221	black or african american	Lung	1
ABHD15	39	Hartigans' dip test for unimodality / multimodality	0.0384615384615385	0.9609	black or african american	Lung	1
ABHD16A	39	Hartigans' dip test for unimodality / multimodality	0.0433919977712522	0.8653	black or african american	Lung	1
ABHD16B	39	Hartigans' dip test for unimodality / multimodality	0.0449877790706016	0.8229	black or african american	Lung	1
ABHD17A	39	Hartigans' dip test for unimodality / multimodality	0.0493088515995868	0.6849	black or african american	Lung	1
ABHD17B	39	Hartigans' dip test for unimodality / multimodality	0.0403853101966259	0.9320	black or african american	Lung	1
ABHD17C	39	Hartigans' dip test for unimodality / multimodality	0.0588904048933099	0.3641	black or african american	Lung	1
ABI1	39	Hartigans' dip test for unimodality / multimodality	0.0461506487511922	0.7901	black or african american	Lung	1
ABI2	39	Hartigans' dip test for unimodality / multimodality	0.0489546236220582	0.6975	black or african american	Lung	1
ABI3	39	Hartigans' dip test for unimodality / multimodality	0.0498195658421299	0.6667	black or african american	Lung	1
ABI3BP	39	Hartigans' dip test for unimodality / multimodality	0.0509861752379589	0.6252	black or african american	Lung	1
ABL1	39	Hartigans' dip test for unimodality / multimodality	0.0532505490295616	0.5452	black or african american	Lung	1
ABL2	39	Hartigans' dip test for unimodality / multimodality	0.0402934781377553	0.9337	black or african american	Lung	1
ABLIM1	39	Hartigans' dip test for unimodality / multimodality	0.0430781924319971	0.8737	black or african american	Lung	1
ABLIM2	39	Hartigans' dip test for unimodality / multimodality	0.0360229074054991	0.9845	black or african american	Lung	1
ABLIM3	39	Hartigans' dip test for unimodality / multimodality	0.0481563290562884	0.7240	black or african american	Lung	1
ABR	39	Hartigans' dip test for unimodality / multimodality	0.0445348911758928	0.8350	black or african american	Lung	1
ABRA	39	Hartigans' dip test for unimodality / multimodality	0.0524844435514385	0.5721	black or african american	Lung	1
ABRACL	39	Hartigans' dip test for unimodality / multimodality	0.0362128344601575	0.9833	black or african american	Lung	1
ABT1	39	Hartigans' dip test for unimodality / multimodality	0.0384700024635773	0.9608	black or african american	Lung	1
ABTB1	39	Hartigans' dip test for unimodality / multimodality	0.0439563121776625	0.8503	black or african american	Lung	1
ABTB2	39	Hartigans' dip test for unimodality / multimodality	0.045467004045997	0.8102	black or african american	Lung	1
AC002310.13	39	Hartigans' dip test for unimodality / multimodality	0.0250901024772977	0.9989	black or african american	Lung	1
AC002365.1	39	Hartigans' dip test for unimodality / multimodality	0.145805522406886	0.0000	black or african american	Lung	0
