Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	12	Hartigans' dip test for unimodality / multimodality	0.105295167171016	0.2561	black or african american	STAD	1
A2M	12	Hartigans' dip test for unimodality / multimodality	0.0809179823331353	0.7368	black or african american	STAD	1
A2ML1	12	Hartigans' dip test for unimodality / multimodality	0.0817989198870418	0.7196	black or african american	STAD	1
A4GALT	12	Hartigans' dip test for unimodality / multimodality	0.0804321792063338	0.7462	black or african american	STAD	1
A4GNT	12	Hartigans' dip test for unimodality / multimodality	0.122746295874931	0.0884	black or african american	STAD	1
AAAS	12	Hartigans' dip test for unimodality / multimodality	0.112498870517692	0.1743	black or african american	STAD	1
AACS	12	Hartigans' dip test for unimodality / multimodality	0.0511343063173777	0.9944	black or african american	STAD	1
AADAC	12	Hartigans' dip test for unimodality / multimodality	0.0833333333333333	0.6877	black or african american	STAD	1
AADAT	12	Hartigans' dip test for unimodality / multimodality	0.106380209636155	0.2422	black or african american	STAD	1
AAED1	12	Hartigans' dip test for unimodality / multimodality	0.0681688793883804	0.9340	black or african american	STAD	1
AAGAB	12	Hartigans' dip test for unimodality / multimodality	0.0571407938626031	0.9905	black or african american	STAD	1
AAK1	12	Hartigans' dip test for unimodality / multimodality	0.0735571385087059	0.8661	black or african american	STAD	1
AAMDC	12	Hartigans' dip test for unimodality / multimodality	0.0807315418737101	0.7404	black or african american	STAD	1
AAMP	12	Hartigans' dip test for unimodality / multimodality	0.0833322501875236	0.6878	black or african american	STAD	1
AANAT	12	Hartigans' dip test for unimodality / multimodality	0.0833333333333333	0.6877	black or african american	STAD	1
AAR2	12	Hartigans' dip test for unimodality / multimodality	0.0757592199395732	0.8307	black or african american	STAD	1
AARD	12	Hartigans' dip test for unimodality / multimodality	0.132755030512878	0.0411	black or african american	STAD	1
AARS	12	Hartigans' dip test for unimodality / multimodality	0.0819445202411959	0.7168	black or african american	STAD	1
AARS2	12	Hartigans' dip test for unimodality / multimodality	0.0823132748092685	0.7096	black or african american	STAD	1
AARSD1	12	Hartigans' dip test for unimodality / multimodality	0.08750110887893	0.5893	black or african american	STAD	1
AASDH	12	Hartigans' dip test for unimodality / multimodality	0.0875012824707394	0.5893	black or african american	STAD	1
AASDHPPT	12	Hartigans' dip test for unimodality / multimodality	0.0815222439781407	0.7250	black or african american	STAD	1
AASS	12	Hartigans' dip test for unimodality / multimodality	0.0737449822009119	0.8630	black or african american	STAD	1
AATF	12	Hartigans' dip test for unimodality / multimodality	0.0892856025226951	0.5432	black or african american	STAD	1
AATK	12	Hartigans' dip test for unimodality / multimodality	0.103272680465705	0.2821	black or african american	STAD	1
ABAT	12	Hartigans' dip test for unimodality / multimodality	0.0786407273426363	0.7811	black or african american	STAD	1
ABCA1	12	Hartigans' dip test for unimodality / multimodality	0.119255225917656	0.1130	black or african american	STAD	1
ABCA2	12	Hartigans' dip test for unimodality / multimodality	0.100693989363724	0.3182	black or african american	STAD	1
ABCA3	12	Hartigans' dip test for unimodality / multimodality	0.0800311024812788	0.7540	black or african american	STAD	1
ABCA4	12	Hartigans' dip test for unimodality / multimodality	0.0557813287736333	0.9914	black or african american	STAD	1
ABCA5	12	Hartigans' dip test for unimodality / multimodality	0.0928928772152391	0.4561	black or african american	STAD	1
ABCA6	12	Hartigans' dip test for unimodality / multimodality	0.0798603001592777	0.7574	black or african american	STAD	1
ABCA7	12	Hartigans' dip test for unimodality / multimodality	0.0732208251071009	0.8715	black or african american	STAD	1
ABCA8	12	Hartigans' dip test for unimodality / multimodality	0.0801942951709974	0.7509	black or african american	STAD	1
ABCA9	12	Hartigans' dip test for unimodality / multimodality	0.115889318447627	0.1436	black or african american	STAD	1
ABCA10	12	Hartigans' dip test for unimodality / multimodality	0.11552000215294	0.1469	black or african american	STAD	1
ABCA12	12	Hartigans' dip test for unimodality / multimodality	0.0973907309029778	0.3690	black or african american	STAD	1
ABCA13	12	Hartigans' dip test for unimodality / multimodality	0.0871274595756754	0.5990	black or african american	STAD	1
ABCB1	12	Hartigans' dip test for unimodality / multimodality	0.0843225217640953	0.6646	black or african american	STAD	1
ABCB4	12	Hartigans' dip test for unimodality / multimodality	0.0901293755538393	0.5213	black or african american	STAD	1
ABCB5	12	Hartigans' dip test for unimodality / multimodality	0.0996897914087965	0.3336	black or african american	STAD	1
ABCB6	12	Hartigans' dip test for unimodality / multimodality	0.0751372235206994	0.8407	black or african american	STAD	1
ABCB7	12	Hartigans' dip test for unimodality / multimodality	0.0588285245839805	0.9871	black or african american	STAD	1
ABCB8	12	Hartigans' dip test for unimodality / multimodality	0.0789427654247431	0.7752	black or african american	STAD	1
ABCB9	12	Hartigans' dip test for unimodality / multimodality	0.108874305646242	0.2102	black or african american	STAD	1
ABCB10	12	Hartigans' dip test for unimodality / multimodality	0.0833333333333333	0.6877	black or african american	STAD	1
ABCB11	12	Hartigans' dip test for unimodality / multimodality	0.115029803795366	0.1513	black or african american	STAD	1
ABCC1	12	Hartigans' dip test for unimodality / multimodality	0.0777755427978324	0.7979	black or african american	STAD	1
ABCC2	12	Hartigans' dip test for unimodality / multimodality	0.0931510390313995	0.4503	black or african american	STAD	1
ABCC3	12	Hartigans' dip test for unimodality / multimodality	0.110389666128996	0.1934	black or african american	STAD	1
ABCC4	12	Hartigans' dip test for unimodality / multimodality	0.0700070829388418	0.9149	black or african american	STAD	1
ABCC5	12	Hartigans' dip test for unimodality / multimodality	0.098303389978115	0.3549	black or african american	STAD	1
ABCC6	12	Hartigans' dip test for unimodality / multimodality	0.0657925083420502	0.9547	black or african american	STAD	1
ABCC8	12	Hartigans' dip test for unimodality / multimodality	0.0609275335359497	0.9810	black or african american	STAD	1
ABCC9	12	Hartigans' dip test for unimodality / multimodality	0.120727391379426	0.0998	black or african american	STAD	1
ABCC10	12	Hartigans' dip test for unimodality / multimodality	0.134056986960965	0.0375	black or african american	STAD	1
ABCC11	12	Hartigans' dip test for unimodality / multimodality	0.077508036243334	0.8026	black or african american	STAD	1
ABCC12	12	Hartigans' dip test for unimodality / multimodality	0.0700143851571773	0.9148	black or african american	STAD	1
ABCD1	12	Hartigans' dip test for unimodality / multimodality	0.0899542434535709	0.5259	black or african american	STAD	1
ABCD2	12	Hartigans' dip test for unimodality / multimodality	0.0886913110844301	0.5585	black or african american	STAD	1
ABCD3	12	Hartigans' dip test for unimodality / multimodality	0.0857568311571695	0.6311	black or african american	STAD	1
ABCD4	12	Hartigans' dip test for unimodality / multimodality	0.0754514416154179	0.8356	black or african american	STAD	1
ABCE1	12	Hartigans' dip test for unimodality / multimodality	0.0698176622197561	0.9169	black or african american	STAD	1
ABCF1	12	Hartigans' dip test for unimodality / multimodality	0.0579721182622113	0.9896	black or african american	STAD	1
ABCF2	12	Hartigans' dip test for unimodality / multimodality	0.0929874107057095	0.4540	black or african american	STAD	1
