Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	29	Hartigans' dip test for unimodality / multimodality	0.0800825779524749	0.1337	black or african american	Stomach	1
A2M	29	Hartigans' dip test for unimodality / multimodality	0.04287672631749	0.9716	black or african american	Stomach	1
A2ML1	29	Hartigans' dip test for unimodality / multimodality	0.0596630403573495	0.5831	black or african american	Stomach	1
A4GALT	29	Hartigans' dip test for unimodality / multimodality	0.0543036772771507	0.7466	black or african american	Stomach	1
A4GNT	29	Hartigans' dip test for unimodality / multimodality	0.0609913608897669	0.5419	black or african american	Stomach	1
AAAS	29	Hartigans' dip test for unimodality / multimodality	0.0517246513326363	0.8166	black or african american	Stomach	1
AACS	29	Hartigans' dip test for unimodality / multimodality	0.0894780409887063	0.0499	black or african american	Stomach	0.792924891587164
AADAC	29	Hartigans' dip test for unimodality / multimodality	0.0729559830570226	0.2404	black or african american	Stomach	1
AADAT	29	Hartigans' dip test for unimodality / multimodality	0.0489606220890133	0.8803	black or african american	Stomach	1
AAED1	29	Hartigans' dip test for unimodality / multimodality	0.0755287815644908	0.1932	black or african american	Stomach	1
AAGAB	29	Hartigans' dip test for unimodality / multimodality	0.0502893802133417	0.8497	black or african american	Stomach	1
AAK1	29	Hartigans' dip test for unimodality / multimodality	0.0784589722722331	0.1549	black or african american	Stomach	1
AAMDC	29	Hartigans' dip test for unimodality / multimodality	0.0557007450198728	0.7064	black or african american	Stomach	1
AAMP	29	Hartigans' dip test for unimodality / multimodality	0.0462800893439263	0.9300	black or african american	Stomach	1
AANAT	29	Hartigans' dip test for unimodality / multimodality	0.0521963827054146	0.8057	black or african american	Stomach	1
AAR2	29	Hartigans' dip test for unimodality / multimodality	0.054098464648264	0.7525	black or african american	Stomach	1
AARD	29	Hartigans' dip test for unimodality / multimodality	0.0614188520540019	0.5287	black or african american	Stomach	1
AARS	29	Hartigans' dip test for unimodality / multimodality	0.0603430527589261	0.5620	black or african american	Stomach	1
AARS2	29	Hartigans' dip test for unimodality / multimodality	0.0621140131256762	0.5071	black or african american	Stomach	1
AARSD1	29	Hartigans' dip test for unimodality / multimodality	0.0591160949738232	0.6001	black or african american	Stomach	1
AASDH	29	Hartigans' dip test for unimodality / multimodality	0.0498317957671606	0.8602	black or african american	Stomach	1
AASDHPPT	29	Hartigans' dip test for unimodality / multimodality	0.0484225361395966	0.8927	black or african american	Stomach	1
AASS	29	Hartigans' dip test for unimodality / multimodality	0.0553605849259281	0.7162	black or african american	Stomach	1
AATF	29	Hartigans' dip test for unimodality / multimodality	0.0404750631865042	0.9884	black or african american	Stomach	1
