Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	43	Hartigans' dip test for unimodality / multimodality	0.0366067141816298	0.9633	black or african american	Thyroid	1
A2M	43	Hartigans' dip test for unimodality / multimodality	0.0569157121295257	0.3484	black or african american	Thyroid	1
A2ML1	43	Hartigans' dip test for unimodality / multimodality	0.0568620664302357	0.3500	black or african american	Thyroid	1
A4GALT	43	Hartigans' dip test for unimodality / multimodality	0.0389439138105206	0.9265	black or african american	Thyroid	1
A4GNT	43	Hartigans' dip test for unimodality / multimodality	0.0533849166372264	0.4600	black or african american	Thyroid	1
AAAS	43	Hartigans' dip test for unimodality / multimodality	0.0418575747546166	0.8566	black or african american	Thyroid	1
AACS	43	Hartigans' dip test for unimodality / multimodality	0.0359294371297839	0.9712	black or african american	Thyroid	1
AADAC	43	Hartigans' dip test for unimodality / multimodality	0.0581395348837209	0.3125	black or african american	Thyroid	1
AADAT	43	Hartigans' dip test for unimodality / multimodality	0.0395000300628518	0.9156	black or african american	Thyroid	1
AAED1	43	Hartigans' dip test for unimodality / multimodality	0.0414173156964274	0.8689	black or african american	Thyroid	1
AAGAB	43	Hartigans' dip test for unimodality / multimodality	0.0604616984132717	0.2557	black or african american	Thyroid	1
AAK1	43	Hartigans' dip test for unimodality / multimodality	0.0633988367771894	0.1914	black or african american	Thyroid	1
AAMDC	43	Hartigans' dip test for unimodality / multimodality	0.0376165503662932	0.9514	black or african american	Thyroid	1
AAMP	43	Hartigans' dip test for unimodality / multimodality	0.0445744798534186	0.7764	black or african american	Thyroid	1
AANAT	43	Hartigans' dip test for unimodality / multimodality	0.038593009584053	0.9333	black or african american	Thyroid	1
AAR2	43	Hartigans' dip test for unimodality / multimodality	0.0385576329350566	0.9340	black or african american	Thyroid	1
AARD	43	Hartigans' dip test for unimodality / multimodality	0.109326454743358	2e-04	black or african american	Thyroid	0.011173006134969327
AARS	43	Hartigans' dip test for unimodality / multimodality	0.0486256922003285	0.6318	black or african american	Thyroid	1
AARS2	43	Hartigans' dip test for unimodality / multimodality	0.0379380960580664	0.9461	black or african american	Thyroid	1
