Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	188	Hartigans' dip test for unimodality / multimodality	0.0192573878765018	0.9424	white	COAD	1
A2M	188	Hartigans' dip test for unimodality / multimodality	0.0168635888653558	0.9902	white	COAD	1
A2ML1	188	Hartigans' dip test for unimodality / multimodality	0.105960305071569	0.0000	white	COAD	0
A4GALT	188	Hartigans' dip test for unimodality / multimodality	0.0312357787923134	0.2212	white	COAD	1
A4GNT	188	Hartigans' dip test for unimodality / multimodality	0.0727976859756995	0.0000	white	COAD	0
AAAS	188	Hartigans' dip test for unimodality / multimodality	0.0192814421463298	0.9415	white	COAD	1
AACS	188	Hartigans' dip test for unimodality / multimodality	0.0202839012754229	0.9030	white	COAD	1
AADAC	188	Hartigans' dip test for unimodality / multimodality	0.0194374853264286	0.9355	white	COAD	1
AADAT	188	Hartigans' dip test for unimodality / multimodality	0.0164213062791202	0.9910	white	COAD	1
AAED1	188	Hartigans' dip test for unimodality / multimodality	0.0179526394572006	0.9755	white	COAD	1
AAGAB	188	Hartigans' dip test for unimodality / multimodality	0.0234349557330643	0.7107	white	COAD	1
AAK1	188	Hartigans' dip test for unimodality / multimodality	0.0252649057732382	0.5769	white	COAD	1
AAMDC	188	Hartigans' dip test for unimodality / multimodality	0.0241417085248288	0.6593	white	COAD	1
AAMP	188	Hartigans' dip test for unimodality / multimodality	0.0231390829651132	0.7312	white	COAD	1
AANAT	188	Hartigans' dip test for unimodality / multimodality	0.091941649735551	0.0000	white	COAD	0
AAR2	188	Hartigans' dip test for unimodality / multimodality	0.0202400338378683	0.9047	white	COAD	1
AARD	188	Hartigans' dip test for unimodality / multimodality	0.050531914893617	0.0013	white	COAD	0.012804542996214169
AARS	188	Hartigans' dip test for unimodality / multimodality	0.0188575909243148	0.9547	white	COAD	1
AARS2	188	Hartigans' dip test for unimodality / multimodality	0.0166908921085471	0.9905	white	COAD	1
AARSD1	188	Hartigans' dip test for unimodality / multimodality	0.027190934685945	0.4417	white	COAD	1
AASDH	188	Hartigans' dip test for unimodality / multimodality	0.0217879671419098	0.8200	white	COAD	1
AASDHPPT	188	Hartigans' dip test for unimodality / multimodality	0.0196163124260135	0.9286	white	COAD	1
AASS	188	Hartigans' dip test for unimodality / multimodality	0.0205836668262896	0.8876	white	COAD	1
AATF	188	Hartigans' dip test for unimodality / multimodality	0.019233966985735	0.9433	white	COAD	1
AATK	188	Hartigans' dip test for unimodality / multimodality	0.0245007484058255	0.6328	white	COAD	1
ABAT	188	Hartigans' dip test for unimodality / multimodality	0.0232129940909774	0.7261	white	COAD	1
ABCA1	188	Hartigans' dip test for unimodality / multimodality	0.0202865069818528	0.9029	white	COAD	1
ABCA2	188	Hartigans' dip test for unimodality / multimodality	0.016955226062321	0.9900	white	COAD	1
ABCA3	188	Hartigans' dip test for unimodality / multimodality	0.0169918709546783	0.9898	white	COAD	1
ABCA4	188	Hartigans' dip test for unimodality / multimodality	0.0319148936170213	0.1933	white	COAD	1
ABCA5	188	Hartigans' dip test for unimodality / multimodality	0.0196329253774184	0.9280	white	COAD	1
ABCA6	188	Hartigans' dip test for unimodality / multimodality	0.0260210710838374	0.5221	white	COAD	1
ABCA7	188	Hartigans' dip test for unimodality / multimodality	0.0153220066921948	0.9930	white	COAD	1
ABCA8	188	Hartigans' dip test for unimodality / multimodality	0.0372340425531915	0.0616	white	COAD	0.4489232492997199
ABCA9	188	Hartigans' dip test for unimodality / multimodality	0.0239069179090514	0.6766	white	COAD	1
ABCA10	188	Hartigans' dip test for unimodality / multimodality	0.0187811331325904	0.9564	white	COAD	1
ABCA12	188	Hartigans' dip test for unimodality / multimodality	0.0838561687213566	0.0000	white	COAD	0
ABCA13	188	Hartigans' dip test for unimodality / multimodality	0.0349185140741021	0.1020	white	COAD	0.7057841945288753
ABCB1	188	Hartigans' dip test for unimodality / multimodality	0.0163281283464065	0.9912	white	COAD	1
ABCB4	188	Hartigans' dip test for unimodality / multimodality	0.0261865348189325	0.5101	white	COAD	1
