Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	25	Hartigans' dip test for unimodality / multimodality	0.0686400611738484	0.4429	white	Kidney	1
A2M	25	Hartigans' dip test for unimodality / multimodality	0.0443479754274497	0.9818	white	Kidney	1
A2ML1	25	Hartigans' dip test for unimodality / multimodality	0.0508985618354062	0.9066	white	Kidney	1
A4GALT	25	Hartigans' dip test for unimodality / multimodality	0.0625438420992232	0.6154	white	Kidney	1
A4GNT	25	Hartigans' dip test for unimodality / multimodality	0.0705373030590183	0.3941	white	Kidney	1
AAAS	25	Hartigans' dip test for unimodality / multimodality	0.0488137373514867	0.9370	white	Kidney	1
AACS	25	Hartigans' dip test for unimodality / multimodality	0.0484191086240627	0.9428	white	Kidney	1
AADAC	25	Hartigans' dip test for unimodality / multimodality	0.0513877801383005	0.8993	white	Kidney	1
AADAT	25	Hartigans' dip test for unimodality / multimodality	0.0565830464853262	0.7850	white	Kidney	1
AAED1	25	Hartigans' dip test for unimodality / multimodality	0.0538441063841649	0.8468	white	Kidney	1
AAGAB	25	Hartigans' dip test for unimodality / multimodality	0.0450019294337455	0.9769	white	Kidney	1
AAK1	25	Hartigans' dip test for unimodality / multimodality	0.0460487956780559	0.9672	white	Kidney	1
AAMDC	25	Hartigans' dip test for unimodality / multimodality	0.0600002913737126	0.6912	white	Kidney	1
AAMP	25	Hartigans' dip test for unimodality / multimodality	0.058571970665056	0.7309	white	Kidney	1
AANAT	25	Hartigans' dip test for unimodality / multimodality	0.0668146046795443	0.4907	white	Kidney	1
AAR2	25	Hartigans' dip test for unimodality / multimodality	0.0609510103226919	0.6629	white	Kidney	1
AARD	25	Hartigans' dip test for unimodality / multimodality	0.0541763610092543	0.8397	white	Kidney	1
AARS	25	Hartigans' dip test for unimodality / multimodality	0.0505878036576474	0.9112	white	Kidney	1
AARS2	25	Hartigans' dip test for unimodality / multimodality	0.0638199988005171	0.5777	white	Kidney	1
AARSD1	25	Hartigans' dip test for unimodality / multimodality	0.0631956438928991	0.5961	white	Kidney	1
AASDH	25	Hartigans' dip test for unimodality / multimodality	0.0485845253107216	0.9403	white	Kidney	1
AASDHPPT	25	Hartigans' dip test for unimodality / multimodality	0.0589466703318747	0.7207	white	Kidney	1
AASS	25	Hartigans' dip test for unimodality / multimodality	0.0464197221018399	0.9638	white	Kidney	1
AATF	25	Hartigans' dip test for unimodality / multimodality	0.0666705365284835	0.4945	white	Kidney	1
AATK	25	Hartigans' dip test for unimodality / multimodality	0.0665686723204122	0.4971	white	Kidney	1
ABAT	25	Hartigans' dip test for unimodality / multimodality	0.0503927560833131	0.9140	white	Kidney	1
ABCA1	25	Hartigans' dip test for unimodality / multimodality	0.0578334319902131	0.7510	white	Kidney	1
ABCA2	25	Hartigans' dip test for unimodality / multimodality	0.0524133001720074	0.8774	white	Kidney	1
ABCA3	25	Hartigans' dip test for unimodality / multimodality	0.040679372300817	0.9917	white	Kidney	1
ABCA4	25	Hartigans' dip test for unimodality / multimodality	0.0657127241494584	0.5220	white	Kidney	1
ABCA5	25	Hartigans' dip test for unimodality / multimodality	0.0666658641177569	0.4946	white	Kidney	1
ABCA6	25	Hartigans' dip test for unimodality / multimodality	0.0729268832580661	0.3391	white	Kidney	1
ABCA7	25	Hartigans' dip test for unimodality / multimodality	0.0412505355035277	0.9912	white	Kidney	1
ABCA8	25	Hartigans' dip test for unimodality / multimodality	0.0817770986100073	0.1781	white	Kidney	1
ABCA9	25	Hartigans' dip test for unimodality / multimodality	0.0488018164331556	0.9372	white	Kidney	1
ABCA10	25	Hartigans' dip test for unimodality / multimodality	0.0566579817370748	0.7830	white	Kidney	1
ABCA12	25	Hartigans' dip test for unimodality / multimodality	0.0758055969364212	0.2780	white	Kidney	1
ABCA13	25	Hartigans' dip test for unimodality / multimodality	0.0829034890661419	0.1642	white	Kidney	1
ABCB1	25	Hartigans' dip test for unimodality / multimodality	0.0698508773004866	0.4112	white	Kidney	1
ABCB4	25	Hartigans' dip test for unimodality / multimodality	0.0440528139595336	0.9834	white	Kidney	1
ABCB5	25	Hartigans' dip test for unimodality / multimodality	0.0400244715152701	0.9921	white	Kidney	1
ABCB6	25	Hartigans' dip test for unimodality / multimodality	0.0816216334296514	0.1800	white	Kidney	1
ABCB7	25	Hartigans' dip test for unimodality / multimodality	0.0514979940717397	0.8969	white	Kidney	1
ABCB8	25	Hartigans' dip test for unimodality / multimodality	0.0541821561901522	0.8396	white	Kidney	1
ABCB9	25	Hartigans' dip test for unimodality / multimodality	0.0504140619523184	0.9137	white	Kidney	1
ABCB10	25	Hartigans' dip test for unimodality / multimodality	0.0653881910376224	0.5315	white	Kidney	1
ABCB11	25	Hartigans' dip test for unimodality / multimodality	0.0717552192396044	0.3660	white	Kidney	1
ABCC1	25	Hartigans' dip test for unimodality / multimodality	0.0509040839399703	0.9066	white	Kidney	1
ABCC2	25	Hartigans' dip test for unimodality / multimodality	0.0634984331242212	0.5871	white	Kidney	1
ABCC3	25	Hartigans' dip test for unimodality / multimodality	0.068020040605346	0.4591	white	Kidney	1
ABCC4	25	Hartigans' dip test for unimodality / multimodality	0.0543439525451298	0.8361	white	Kidney	1
ABCC5	25	Hartigans' dip test for unimodality / multimodality	0.0451346162452686	0.9756	white	Kidney	1
ABCC6	25	Hartigans' dip test for unimodality / multimodality	0.0911110222236105	0.0792	white	Kidney	1
ABCC8	25	Hartigans' dip test for unimodality / multimodality	0.0614786328137238	0.6472	white	Kidney	1
ABCC9	25	Hartigans' dip test for unimodality / multimodality	0.075781428925654	0.2785	white	Kidney	1
ABCC10	25	Hartigans' dip test for unimodality / multimodality	0.0714294353193662	0.3735	white	Kidney	1
ABCC11	25	Hartigans' dip test for unimodality / multimodality	0.0558337780271436	0.8043	white	Kidney	1
ABCC12	25	Hartigans' dip test for unimodality / multimodality	0.0574932617779178	0.7602	white	Kidney	1
ABCD1	25	Hartigans' dip test for unimodality / multimodality	0.0579363096794737	0.7482	white	Kidney	1
ABCD2	25	Hartigans' dip test for unimodality / multimodality	0.0548726469045367	0.8248	white	Kidney	1
ABCD3	25	Hartigans' dip test for unimodality / multimodality	0.0595491619166696	0.7042	white	Kidney	1
ABCD4	25	Hartigans' dip test for unimodality / multimodality	0.0679066168127792	0.4621	white	Kidney	1
ABCE1	25	Hartigans' dip test for unimodality / multimodality	0.0552917617189978	0.8158	white	Kidney	1
ABCF1	25	Hartigans' dip test for unimodality / multimodality	0.0670609974318787	0.4842	white	Kidney	1
ABCF2	25	Hartigans' dip test for unimodality / multimodality	0.047999159371175	0.9489	white	Kidney	1
ABCF3	25	Hartigans' dip test for unimodality / multimodality	0.0428577966776257	0.9900	white	Kidney	1
ABCG1	25	Hartigans' dip test for unimodality / multimodality	0.0611185944273174	0.6579	white	Kidney	1
ABCG2	25	Hartigans' dip test for unimodality / multimodality	0.0470948527446059	0.9576	white	Kidney	1
ABCG4	25	Hartigans' dip test for unimodality / multimodality	0.0590761388656738	0.7171	white	Kidney	1
ABHD1	25	Hartigans' dip test for unimodality / multimodality	0.0663533343370671	0.5031	white	Kidney	1
ABHD2	25	Hartigans' dip test for unimodality / multimodality	0.0751341492502491	0.2905	white	Kidney	1
ABHD3	25	Hartigans' dip test for unimodality / multimodality	0.0584610289009147	0.7339	white	Kidney	1
ABHD4	25	Hartigans' dip test for unimodality / multimodality	0.0733312510063816	0.3298	white	Kidney	1
ABHD5	25	Hartigans' dip test for unimodality / multimodality	0.0636369783054199	0.5831	white	Kidney	1
ABHD6	25	Hartigans' dip test for unimodality / multimodality	0.0595503225154527	0.7042	white	Kidney	1
ABHD8	25	Hartigans' dip test for unimodality / multimodality	0.0676893082913438	0.4678	white	Kidney	1
ABHD10	25	Hartigans' dip test for unimodality / multimodality	0.0495801284507515	0.9258	white	Kidney	1
ABHD11	25	Hartigans' dip test for unimodality / multimodality	0.0399987754858513	0.9922	white	Kidney	1
ABHD12	25	Hartigans' dip test for unimodality / multimodality	0.0450004620121229	0.9769	white	Kidney	1
ABHD12B	25	Hartigans' dip test for unimodality / multimodality	0.0637112773557036	0.5809	white	Kidney	1
ABHD13	25	Hartigans' dip test for unimodality / multimodality	0.04	0.9922	white	Kidney	1
ABHD14A	25	Hartigans' dip test for unimodality / multimodality	0.053270783251045	0.8590	white	Kidney	1
ABHD14A-ACY1	25	Hartigans' dip test for unimodality / multimodality	0.0672709171448887	0.4787	white	Kidney	1
ABHD14B	25	Hartigans' dip test for unimodality / multimodality	0.0432251269133059	0.9881	white	Kidney	1
ABHD15	25	Hartigans' dip test for unimodality / multimodality	0.0515704303708817	0.8954	white	Kidney	1
ABHD16A	25	Hartigans' dip test for unimodality / multimodality	0.0527323827073872	0.8705	white	Kidney	1
ABHD16B	25	Hartigans' dip test for unimodality / multimodality	0.0501704079374804	0.9172	white	Kidney	1
ABHD17A	25	Hartigans' dip test for unimodality / multimodality	0.0555551431587056	0.8102	white	Kidney	1
ABHD17B	25	Hartigans' dip test for unimodality / multimodality	0.052183730804201	0.8823	white	Kidney	1
ABHD17C	25	Hartigans' dip test for unimodality / multimodality	0.0509363852650331	0.9061	white	Kidney	1
ABI1	25	Hartigans' dip test for unimodality / multimodality	0.063528569963003	0.5863	white	Kidney	1
ABI2	25	Hartigans' dip test for unimodality / multimodality	0.0786891075825479	0.2244	white	Kidney	1
ABI3	25	Hartigans' dip test for unimodality / multimodality	0.0832051195804121	0.1605	white	Kidney	1
ABI3BP	25	Hartigans' dip test for unimodality / multimodality	0.0569475042997746	0.7751	white	Kidney	1
ABL1	25	Hartigans' dip test for unimodality / multimodality	0.0511636785391388	0.9028	white	Kidney	1
ABL2	25	Hartigans' dip test for unimodality / multimodality	0.0499854759574999	0.9199	white	Kidney	1
ABLIM1	25	Hartigans' dip test for unimodality / multimodality	0.0657148699292385	0.5219	white	Kidney	1
ABLIM2	25	Hartigans' dip test for unimodality / multimodality	0.0657188647322492	0.5218	white	Kidney	1
ABLIM3	25	Hartigans' dip test for unimodality / multimodality	0.0536306666899529	0.8513	white	Kidney	1
ABR	25	Hartigans' dip test for unimodality / multimodality	0.0753148557966706	0.2871	white	Kidney	1
ABRA	25	Hartigans' dip test for unimodality / multimodality	0.112487200514069	0.0073	white	Kidney	0.37136201117318435
ABRACL	25	Hartigans' dip test for unimodality / multimodality	0.0380002085053471	0.9936	white	Kidney	1
ABT1	25	Hartigans' dip test for unimodality / multimodality	0.0682341531570991	0.4535	white	Kidney	1
ABTB1	25	Hartigans' dip test for unimodality / multimodality	0.0600011160843612	0.6912	white	Kidney	1
ABTB2	25	Hartigans' dip test for unimodality / multimodality	0.0600030041939219	0.6911	white	Kidney	1
AC002310.13	25	Hartigans' dip test for unimodality / multimodality	0.02	1.0000	white	Kidney	1
AC002365.1	25	Hartigans' dip test for unimodality / multimodality	0.133382904389239	3e-04	white	Kidney	0.03847605633802817
AC002398.9	25	Hartigans' dip test for unimodality / multimodality	0.06	0.6912	white	Kidney	1
AC002985.3	25	Hartigans' dip test for unimodality / multimodality	0.0758219583276278	0.2777	white	Kidney	1
AC003002.4	25	Hartigans' dip test for unimodality / multimodality	0.02	1.0000	white	Kidney	1
AC003002.6	25	Hartigans' dip test for unimodality / multimodality	0.1	0.0333	white	Kidney	0.9520558869701727
AC003005.4	25	Hartigans' dip test for unimodality / multimodality	0.02	1.0000	white	Kidney	1
AC003006.7	25	Hartigans' dip test for unimodality / multimodality	0.153691561641223	0.0000	white	Kidney	0
AC003101.1	25	Hartigans' dip test for unimodality / multimodality	0.0391190422881231	0.9928	white	Kidney	1
AC003102.1	25	Hartigans' dip test for unimodality / multimodality	0.0468734411320265	0.9596	white	Kidney	1
AC004017.1	25	Hartigans' dip test for unimodality / multimodality	0.1	0.0333	white	Kidney	0.9520558869701727
AC004076.7	25	Hartigans' dip test for unimodality / multimodality	0.0446212908407289	0.9802	white	Kidney	1
AC004076.9	25	Hartigans' dip test for unimodality / multimodality	0.1	0.0333	white	Kidney	0.9520558869701727
AC004381.6	25	Hartigans' dip test for unimodality / multimodality	0.0880211819116776	0.1011	white	Kidney	1
AC004466.1	25	Hartigans' dip test for unimodality / multimodality	0.0669787137944958	0.4864	white	Kidney	1
AC005003.1	25	Hartigans' dip test for unimodality / multimodality	0.0508178584242306	0.9078	white	Kidney	1
AC005082.1	25	Hartigans' dip test for unimodality / multimodality	0.02	1.0000	white	Kidney	1
AC005481.5	25	Hartigans' dip test for unimodality / multimodality	0.0924339224580233	0.0700	white	Kidney	1
AC005544.1	25	Hartigans' dip test for unimodality / multimodality	0.0541462082735144	0.8403	white	Kidney	1
AC005609.1	25	Hartigans' dip test for unimodality / multimodality	0.12	0.0027	white	Kidney	0.1768791366906475
AC005779.2	25	Hartigans' dip test for unimodality / multimodality	0.0628164480782597	0.6073	white	Kidney	1
AC005841.1	25	Hartigans' dip test for unimodality / multimodality	0.068919589343232	0.4356	white	Kidney	1
AC006116.20	25	Hartigans' dip test for unimodality / multimodality	0.0901268570111967	0.0860	white	Kidney	1
AC006126.3	25	Hartigans' dip test for unimodality / multimodality	0.0870655054457446	0.1129	white	Kidney	1
AC006132.1	25	Hartigans' dip test for unimodality / multimodality	0.06	0.6912	white	Kidney	1
AC006449.1	25	Hartigans' dip test for unimodality / multimodality	0.0576953566239726	0.7547	white	Kidney	1
AC006486.1	25	Hartigans' dip test for unimodality / multimodality	0.0605334027138709	0.6753	white	Kidney	1
AC006486.9	25	Hartigans' dip test for unimodality / multimodality	0.02	1.0000	white	Kidney	1
AC006538.4	25	Hartigans' dip test for unimodality / multimodality	0.02	1.0000	white	Kidney	1
AC006547.14	25	Hartigans' dip test for unimodality / multimodality	0.0697477651218119	0.4139	white	Kidney	1
AC007040.11	25	Hartigans' dip test for unimodality / multimodality	0.0711294469923787	0.3805	white	Kidney	1
AC007382.1	25	Hartigans' dip test for unimodality / multimodality	0.216793650959726	0.0000	white	Kidney	0
AC007390.5	25	Hartigans' dip test for unimodality / multimodality	0.0537099276157377	0.8497	white	Kidney	1
AC007401.2	25	Hartigans' dip test for unimodality / multimodality	0.12	0.0027	white	Kidney	0.1768791366906475
AC007405.2	25	Hartigans' dip test for unimodality / multimodality	0.0497834508593326	0.9229	white	Kidney	1
AC007461.1	25	Hartigans' dip test for unimodality / multimodality	0.08394405548148	0.1514	white	Kidney	1
AC007557.1	25	Hartigans' dip test for unimodality / multimodality	0.0782076862572946	0.2333	white	Kidney	1
AC007773.3	25	Hartigans' dip test for unimodality / multimodality	0.0770760815393425	0.2544	white	Kidney	1
AC007919.2	25	Hartigans' dip test for unimodality / multimodality	0.0489538732762191	0.9350	white	Kidney	1
AC007952.5	25	Hartigans' dip test for unimodality / multimodality	0.0655265381528619	0.5274	white	Kidney	1
AC007952.6	25	Hartigans' dip test for unimodality / multimodality	0.0612494061630858	0.6540	white	Kidney	1
AC007956.1	25	Hartigans' dip test for unimodality / multimodality	0.0723341188384543	0.3527	white	Kidney	1
AC008132.13	25	Hartigans' dip test for unimodality / multimodality	0.0733259348858053	0.3299	white	Kidney	1
AC008443.1	25	Hartigans' dip test for unimodality / multimodality	0.0918997729223775	0.0737	white	Kidney	1
AC008948.1	25	Hartigans' dip test for unimodality / multimodality	0.0611762196253278	0.6562	white	Kidney	1
AC008964.1	25	Hartigans' dip test for unimodality / multimodality	0.0706981198886131	0.3904	white	Kidney	1
AC009060.1	25	Hartigans' dip test for unimodality / multimodality	0.1	0.0333	white	Kidney	0.9520558869701727
AC009065.1	25	Hartigans' dip test for unimodality / multimodality	0.02	1.0000	white	Kidney	1
AC009403.2	25	Hartigans' dip test for unimodality / multimodality	0.0641994561613688	0.5665	white	Kidney	1
AC010327.2	25	Hartigans' dip test for unimodality / multimodality	0.08	0.2000	white	Kidney	1
AC010336.1	25	Hartigans' dip test for unimodality / multimodality	0.1	0.0333	white	Kidney	0.9520558869701727
AC010441.1	25	Hartigans' dip test for unimodality / multimodality	0.0699422267949339	0.4089	white	Kidney	1
AC010536.1	25	Hartigans' dip test for unimodality / multimodality	0.0496448444758026	0.9249	white	Kidney	1
AC010547.9	25	Hartigans' dip test for unimodality / multimodality	0.0662495844472231	0.5061	white	Kidney	1
AC010642.1	25	Hartigans' dip test for unimodality / multimodality	0.0458773245877914	0.9688	white	Kidney	1
AC010646.3	25	Hartigans' dip test for unimodality / multimodality	0.02	1.0000	white	Kidney	1
AC011239.1	25	Hartigans' dip test for unimodality / multimodality	0.16	0.0000	white	Kidney	0
AC011298.1	25	Hartigans' dip test for unimodality / multimodality	0.0395318118050112	0.9925	white	Kidney	1
AC011484.1	25	Hartigans' dip test for unimodality / multimodality	0.0565038110941273	0.7872	white	Kidney	1
AC011530.4	25	Hartigans' dip test for unimodality / multimodality	0.14	1e-04	white	Kidney	0.01597543859649123
AC011551.3	25	Hartigans' dip test for unimodality / multimodality	0.179274584534245	0.0000	white	Kidney	0
AC011897.1	25	Hartigans' dip test for unimodality / multimodality	0.0782706517369082	0.2322	white	Kidney	1
AC011997.1	25	Hartigans' dip test for unimodality / multimodality	0.0372703384473749	0.9942	white	Kidney	1
AC012215.1	25	Hartigans' dip test for unimodality / multimodality	0.06	0.6912	white	Kidney	1
AC012414.1	25	Hartigans' dip test for unimodality / multimodality	0.0277204206175632	1.0000	white	Kidney	1
AC013449.1	25	Hartigans' dip test for unimodality / multimodality	0.160516344431092	0.0000	white	Kidney	0
AC015688.3	25	Hartigans' dip test for unimodality / multimodality	0.0727043754373381	0.3442	white	Kidney	1
AC015987.2	25	Hartigans' dip test for unimodality / multimodality	0.0707003605962609	0.3903	white	Kidney	1
AC016251.1	25	Hartigans' dip test for unimodality / multimodality	0.0551877642143277	0.8181	white	Kidney	1
AC016559.1	25	Hartigans' dip test for unimodality / multimodality	0.02	1.0000	white	Kidney	1
AC016586.1	25	Hartigans' dip test for unimodality / multimodality	0.08	0.2000	white	Kidney	1
AC016722.1	25	Hartigans' dip test for unimodality / multimodality	0.08	0.2000	white	Kidney	1
AC016722.2	25	Hartigans' dip test for unimodality / multimodality	0.0421570270157886	0.9906	white	Kidney	1
AC016745.1	25	Hartigans' dip test for unimodality / multimodality	0.0640566676562698	0.5707	white	Kidney	1
AC016757.3	25	Hartigans' dip test for unimodality / multimodality	0.0615207226973913	0.6459	white	Kidney	1
AC016885.1	25	Hartigans' dip test for unimodality / multimodality	0.0642042120261062	0.5664	white	Kidney	1
AC017028.1	25	Hartigans' dip test for unimodality / multimodality	0.0374167008134818	0.9941	white	Kidney	1
AC017081.1	25	Hartigans' dip test for unimodality / multimodality	0.067816330067344	0.4645	white	Kidney	1
AC017104.2	25	Hartigans' dip test for unimodality / multimodality	0.02	1.0000	white	Kidney	1
AC018445.1	25	Hartigans' dip test for unimodality / multimodality	0.02	1.0000	white	Kidney	1
AC018755.1	25	Hartigans' dip test for unimodality / multimodality	0.0435034459362132	0.9866	white	Kidney	1
AC018816.3	25	Hartigans' dip test for unimodality / multimodality	0.0738259858172405	0.3184	white	Kidney	1
AC018867.2	25	Hartigans' dip test for unimodality / multimodality	0.0763985019457746	0.2670	white	Kidney	1
