Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	267	Hartigans' dip test for unimodality / multimodality	0.017475516241494	0.8815	white	Thyroid	1
A2M	267	Hartigans' dip test for unimodality / multimodality	0.0192772997925149	0.7527	white	Thyroid	1
A2ML1	267	Hartigans' dip test for unimodality / multimodality	0.0355805243445693	0.0172	white	Thyroid	0.15038233317330774
A4GALT	267	Hartigans' dip test for unimodality / multimodality	0.0134558696214365	0.9919	white	Thyroid	1
A4GNT	267	Hartigans' dip test for unimodality / multimodality	0.0262172284644195	0.2296	white	Thyroid	1
AAAS	267	Hartigans' dip test for unimodality / multimodality	0.0157793224981028	0.9588	white	Thyroid	1
AACS	267	Hartigans' dip test for unimodality / multimodality	0.0171769894816902	0.9010	white	Thyroid	1
AADAC	267	Hartigans' dip test for unimodality / multimodality	0.0299625468164794	0.0915	white	Thyroid	0.7007560975609756
AADAT	267	Hartigans' dip test for unimodality / multimodality	0.0136013389377499	0.9916	white	Thyroid	1
AAED1	267	Hartigans' dip test for unimodality / multimodality	0.0195720835184087	0.7285	white	Thyroid	1
AAGAB	267	Hartigans' dip test for unimodality / multimodality	0.0198200614607257	0.7082	white	Thyroid	1
AAK1	267	Hartigans' dip test for unimodality / multimodality	0.0212481551140741	0.5841	white	Thyroid	1
AAMDC	267	Hartigans' dip test for unimodality / multimodality	0.0159164274245666	0.9550	white	Thyroid	1
AAMP	267	Hartigans' dip test for unimodality / multimodality	0.0245337134137878	0.3271	white	Thyroid	1
AANAT	267	Hartigans' dip test for unimodality / multimodality	0.0167436971942823	0.9207	white	Thyroid	1
AAR2	267	Hartigans' dip test for unimodality / multimodality	0.0176551722631211	0.8696	white	Thyroid	1
AARD	267	Hartigans' dip test for unimodality / multimodality	0.0912863502161548	0.0000	white	Thyroid	0
AARS	267	Hartigans' dip test for unimodality / multimodality	0.0155527808530819	0.9650	white	Thyroid	1
AARS2	267	Hartigans' dip test for unimodality / multimodality	0.0187255391216834	0.7980	white	Thyroid	1
AARSD1	267	Hartigans' dip test for unimodality / multimodality	0.0204327855441052	0.6551	white	Thyroid	1
AASDH	267	Hartigans' dip test for unimodality / multimodality	0.0171463768685804	0.9023	white	Thyroid	1
AASDHPPT	267	Hartigans' dip test for unimodality / multimodality	0.0197798784263545	0.7115	white	Thyroid	1
AASS	267	Hartigans' dip test for unimodality / multimodality	0.011608202978257	0.9960	white	Thyroid	1
AATF	267	Hartigans' dip test for unimodality / multimodality	0.0203349457803261	0.6637	white	Thyroid	1
AATK	267	Hartigans' dip test for unimodality / multimodality	0.0123118764284239	0.9945	white	Thyroid	1
ABAT	267	Hartigans' dip test for unimodality / multimodality	0.0194067587867421	0.7421	white	Thyroid	1
ABCA1	267	Hartigans' dip test for unimodality / multimodality	0.0147156158508129	0.9844	white	Thyroid	1
ABCA2	267	Hartigans' dip test for unimodality / multimodality	0.0202480341091819	0.6713	white	Thyroid	1
ABCA3	267	Hartigans' dip test for unimodality / multimodality	0.0129785678235341	0.9930	white	Thyroid	1
ABCA4	267	Hartigans' dip test for unimodality / multimodality	0.0165309750623911	0.9304	white	Thyroid	1
ABCA5	267	Hartigans' dip test for unimodality / multimodality	0.0250061902113762	0.2956	white	Thyroid	1
ABCA6	267	Hartigans' dip test for unimodality / multimodality	0.0129894389004395	0.9930	white	Thyroid	1
ABCA7	267	Hartigans' dip test for unimodality / multimodality	0.0135984667662327	0.9916	white	Thyroid	1
ABCA8	267	Hartigans' dip test for unimodality / multimodality	0.0153065863548412	0.9717	white	Thyroid	1
