Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	35	Hartigans' dip test for unimodality / multimodality	0.0386233114772347	0.9799	white	UCS	1
A2M	35	Hartigans' dip test for unimodality / multimodality	0.0462686169840388	0.8474	white	UCS	1
A2ML1	35	Hartigans' dip test for unimodality / multimodality	0.0517169944633311	0.6873	white	UCS	1
A4GALT	35	Hartigans' dip test for unimodality / multimodality	0.049713264647265	0.7510	white	UCS	1
A4GNT	35	Hartigans' dip test for unimodality / multimodality	0.132849029048875	0.0000	white	UCS	0
AAAS	35	Hartigans' dip test for unimodality / multimodality	0.04353758455431	0.9117	white	UCS	1
AACS	35	Hartigans' dip test for unimodality / multimodality	0.0510166100494931	0.7102	white	UCS	1
AADAC	35	Hartigans' dip test for unimodality / multimodality	0.0874703416773201	0.0287	white	UCS	0.8283429477020602
AADAT	35	Hartigans' dip test for unimodality / multimodality	0.0428709171328638	0.9237	white	UCS	1
AAED1	35	Hartigans' dip test for unimodality / multimodality	0.0658282954570742	0.2659	white	UCS	1
AAGAB	35	Hartigans' dip test for unimodality / multimodality	0.0661624821352351	0.2587	white	UCS	1
AAK1	35	Hartigans' dip test for unimodality / multimodality	0.0452439808535605	0.8733	white	UCS	1
AAMDC	35	Hartigans' dip test for unimodality / multimodality	0.0563688559266943	0.5302	white	UCS	1
AAMP	35	Hartigans' dip test for unimodality / multimodality	0.0541352176845849	0.6052	white	UCS	1
AANAT	35	Hartigans' dip test for unimodality / multimodality	0.0656945368567472	0.2687	white	UCS	1
AAR2	35	Hartigans' dip test for unimodality / multimodality	0.0428567891618603	0.9239	white	UCS	1
AARD	35	Hartigans' dip test for unimodality / multimodality	0.0441848563364632	0.9000	white	UCS	1
AARS	35	Hartigans' dip test for unimodality / multimodality	0.0431204799509132	0.9192	white	UCS	1
AARS2	35	Hartigans' dip test for unimodality / multimodality	0.0580651076779482	0.4753	white	UCS	1
AARSD1	35	Hartigans' dip test for unimodality / multimodality	0.0431079264528178	0.9194	white	UCS	1
AASDH	35	Hartigans' dip test for unimodality / multimodality	0.04781248842108	0.8085	white	UCS	1
AASDHPPT	35	Hartigans' dip test for unimodality / multimodality	0.0538453460136939	0.6151	white	UCS	1
AASS	35	Hartigans' dip test for unimodality / multimodality	0.0599935744936138	0.4156	white	UCS	1
AATF	35	Hartigans' dip test for unimodality / multimodality	0.0433172915952792	0.9157	white	UCS	1
AATK	35	Hartigans' dip test for unimodality / multimodality	0.0374690319119771	0.9866	white	UCS	1
ABAT	35	Hartigans' dip test for unimodality / multimodality	0.0408147252826035	0.9564	white	UCS	1
ABCA1	35	Hartigans' dip test for unimodality / multimodality	0.0586705172255628	0.4566	white	UCS	1
ABCA2	35	Hartigans' dip test for unimodality / multimodality	0.0671117185021605	0.2384	white	UCS	1
ABCA3	35	Hartigans' dip test for unimodality / multimodality	0.0429845401018985	0.9216	white	UCS	1
ABCA4	35	Hartigans' dip test for unimodality / multimodality	0.041536484356638	0.9477	white	UCS	1
ABCA5	35	Hartigans' dip test for unimodality / multimodality	0.0596042017678349	0.4277	white	UCS	1
ABCA6	35	Hartigans' dip test for unimodality / multimodality	0.042643621477122	0.9278	white	UCS	1
ABCA7	35	Hartigans' dip test for unimodality / multimodality	0.0315540513445033	0.9944	white	UCS	1
ABCA8	35	Hartigans' dip test for unimodality / multimodality	0.0495937968854289	0.7547	white	UCS	1
ABCA9	35	Hartigans' dip test for unimodality / multimodality	0.0318752724058525	0.9941	white	UCS	1
ABCA10	35	Hartigans' dip test for unimodality / multimodality	0.0520258414631812	0.6768	white	UCS	1
ABCA12	35	Hartigans' dip test for unimodality / multimodality	0.0571428571428571	0.5042	white	UCS	1
ABCA13	35	Hartigans' dip test for unimodality / multimodality	0.057112033587688	0.5052	white	UCS	1
ABCB1	35	Hartigans' dip test for unimodality / multimodality	0.0392601634898976	0.9731	white	UCS	1
ABCB4	35	Hartigans' dip test for unimodality / multimodality	0.0410274178184357	0.9541	white	UCS	1
ABCB5	35	Hartigans' dip test for unimodality / multimodality	0.0428571428571429	0.9239	white	UCS	1
ABCB6	35	Hartigans' dip test for unimodality / multimodality	0.0612234885971422	0.3806	white	UCS	1
ABCB7	35	Hartigans' dip test for unimodality / multimodality	0.0535160763512813	0.6262	white	UCS	1
ABCB8	35	Hartigans' dip test for unimodality / multimodality	0.0721932095122112	0.1535	white	UCS	1
ABCB9	35	Hartigans' dip test for unimodality / multimodality	0.0385275015983302	0.9805	white	UCS	1
ABCB10	35	Hartigans' dip test for unimodality / multimodality	0.0632393931245959	0.3266	white	UCS	1
ABCB11	35	Hartigans' dip test for unimodality / multimodality	0.11976802728381	2e-04	white	UCS	0.023963157894736842
ABCC1	35	Hartigans' dip test for unimodality / multimodality	0.0432470874534872	0.9169	white	UCS	1
ABCC2	35	Hartigans' dip test for unimodality / multimodality	0.0514849595148821	0.6951	white	UCS	1
ABCC3	35	Hartigans' dip test for unimodality / multimodality	0.0565568795676699	0.5238	white	UCS	1
ABCC4	35	Hartigans' dip test for unimodality / multimodality	0.0637277033692744	0.3135	white	UCS	1
ABCC5	35	Hartigans' dip test for unimodality / multimodality	0.0434638222160243	0.9130	white	UCS	1
ABCC6	35	Hartigans' dip test for unimodality / multimodality	0.0543825851912092	0.5969	white	UCS	1
ABCC8	35	Hartigans' dip test for unimodality / multimodality	0.0542804203217147	0.6003	white	UCS	1
ABCC9	35	Hartigans' dip test for unimodality / multimodality	0.0583377539568506	0.4669	white	UCS	1
ABCC10	35	Hartigans' dip test for unimodality / multimodality	0.0538467610689314	0.6150	white	UCS	1
ABCC11	35	Hartigans' dip test for unimodality / multimodality	0.0547297580495738	0.5852	white	UCS	1
ABCC12	35	Hartigans' dip test for unimodality / multimodality	0.0487576900448884	0.7809	white	UCS	1
ABCD1	35	Hartigans' dip test for unimodality / multimodality	0.0561329660717538	0.5381	white	UCS	1
ABCD2	35	Hartigans' dip test for unimodality / multimodality	0.068299532534121	0.2130	white	UCS	1
ABCD3	35	Hartigans' dip test for unimodality / multimodality	0.0511268089330296	0.7067	white	UCS	1
ABCD4	35	Hartigans' dip test for unimodality / multimodality	0.0478323796977426	0.8080	white	UCS	1
ABCE1	35	Hartigans' dip test for unimodality / multimodality	0.0574279816741603	0.4950	white	UCS	1
ABCF1	35	Hartigans' dip test for unimodality / multimodality	0.0510988574243389	0.7076	white	UCS	1
ABCF2	35	Hartigans' dip test for unimodality / multimodality	0.0442402179659076	0.8986	white	UCS	1
ABCF3	35	Hartigans' dip test for unimodality / multimodality	0.0512311687440051	0.7034	white	UCS	1
ABCG1	35	Hartigans' dip test for unimodality / multimodality	0.0516690770413918	0.6889	white	UCS	1
ABCG2	35	Hartigans' dip test for unimodality / multimodality	0.048091954605128	0.8014	white	UCS	1
ABCG4	35	Hartigans' dip test for unimodality / multimodality	0.0468045812010366	0.8339	white	UCS	1
ABHD1	35	Hartigans' dip test for unimodality / multimodality	0.047291716316653	0.8216	white	UCS	1
ABHD2	35	Hartigans' dip test for unimodality / multimodality	0.0481215842669982	0.8007	white	UCS	1
ABHD3	35	Hartigans' dip test for unimodality / multimodality	0.0386309676054807	0.9799	white	UCS	1
ABHD4	35	Hartigans' dip test for unimodality / multimodality	0.0596582971611743	0.4260	white	UCS	1
ABHD5	35	Hartigans' dip test for unimodality / multimodality	0.0428571428571429	0.9239	white	UCS	1
ABHD6	35	Hartigans' dip test for unimodality / multimodality	0.0489816677094474	0.7739	white	UCS	1
ABHD8	35	Hartigans' dip test for unimodality / multimodality	0.064281114944421	0.2990	white	UCS	1
ABHD10	35	Hartigans' dip test for unimodality / multimodality	0.0499978249245424	0.7421	white	UCS	1
ABHD11	35	Hartigans' dip test for unimodality / multimodality	0.0489798815515792	0.7740	white	UCS	1
ABHD12	35	Hartigans' dip test for unimodality / multimodality	0.0435376351859445	0.9117	white	UCS	1
ABHD12B	35	Hartigans' dip test for unimodality / multimodality	0.0445871764462148	0.8899	white	UCS	1
ABHD13	35	Hartigans' dip test for unimodality / multimodality	0.0418385446312831	0.9423	white	UCS	1
ABHD14A	35	Hartigans' dip test for unimodality / multimodality	0.0445675177515289	0.8904	white	UCS	1
ABHD14A-ACY1	35	Hartigans' dip test for unimodality / multimodality	0.0499470427275837	0.7437	white	UCS	1
ABHD14B	35	Hartigans' dip test for unimodality / multimodality	0.0333882384220329	0.9929	white	UCS	1
ABHD15	35	Hartigans' dip test for unimodality / multimodality	0.0411134623074261	0.9532	white	UCS	1
ABHD16A	35	Hartigans' dip test for unimodality / multimodality	0.0495783875993367	0.7552	white	UCS	1
ABHD16B	35	Hartigans' dip test for unimodality / multimodality	0.0449940505877078	0.8796	white	UCS	1
ABHD17A	35	Hartigans' dip test for unimodality / multimodality	0.051427454778141	0.6971	white	UCS	1
ABHD17B	35	Hartigans' dip test for unimodality / multimodality	0.0437938633166201	0.9071	white	UCS	1
ABHD17C	35	Hartigans' dip test for unimodality / multimodality	0.0536139816795591	0.6229	white	UCS	1
ABI1	35	Hartigans' dip test for unimodality / multimodality	0.0321467687055221	0.9939	white	UCS	1
ABI2	35	Hartigans' dip test for unimodality / multimodality	0.0367978259588245	0.9901	white	UCS	1
ABI3	35	Hartigans' dip test for unimodality / multimodality	0.0493549598365505	0.7622	white	UCS	1
ABI3BP	35	Hartigans' dip test for unimodality / multimodality	0.0571899007803388	0.5026	white	UCS	1
ABL1	35	Hartigans' dip test for unimodality / multimodality	0.0419338493730529	0.9406	white	UCS	1
ABL2	35	Hartigans' dip test for unimodality / multimodality	0.0441399199544004	0.9008	white	UCS	1
ABLIM1	35	Hartigans' dip test for unimodality / multimodality	0.0482510811984519	0.7968	white	UCS	1
ABLIM2	35	Hartigans' dip test for unimodality / multimodality	0.0628976983734628	0.3357	white	UCS	1
