Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	68	Hartigans' dip test for unimodality / multimodality	0.0274697697301581	0.9880	white	Uterus	1
A2M	68	Hartigans' dip test for unimodality / multimodality	0.0318626943031531	0.9192	white	Uterus	1
A2ML1	68	Hartigans' dip test for unimodality / multimodality	0.0478364757920043	0.2891	white	Uterus	1
A4GALT	68	Hartigans' dip test for unimodality / multimodality	0.0312492915690191	0.9339	white	Uterus	1
A4GNT	68	Hartigans' dip test for unimodality / multimodality	0.0419915030935412	0.5135	white	Uterus	1
AAAS	68	Hartigans' dip test for unimodality / multimodality	0.0318321601392029	0.9199	white	Uterus	1
AACS	68	Hartigans' dip test for unimodality / multimodality	0.0465907397948824	0.3313	white	Uterus	1
AADAC	68	Hartigans' dip test for unimodality / multimodality	0.07849231527606	0.0020	white	Uterus	0.039081545064377686
AADAT	68	Hartigans' dip test for unimodality / multimodality	0.0333461124317144	0.8765	white	Uterus	1
AAED1	68	Hartigans' dip test for unimodality / multimodality	0.0284918374150737	0.9799	white	Uterus	1
AAGAB	68	Hartigans' dip test for unimodality / multimodality	0.0402816812883749	0.5908	white	Uterus	1
AAK1	68	Hartigans' dip test for unimodality / multimodality	0.0321608253227471	0.9121	white	Uterus	1
AAMDC	68	Hartigans' dip test for unimodality / multimodality	0.0470793845047306	0.3137	white	Uterus	1
AAMP	68	Hartigans' dip test for unimodality / multimodality	0.0261937554865851	0.9913	white	Uterus	1
AANAT	68	Hartigans' dip test for unimodality / multimodality	0.0882352941176471	2e-04	white	Uterus	0.005024000000000001
AAR2	68	Hartigans' dip test for unimodality / multimodality	0.0220669563435569	0.9964	white	Uterus	1
AARD	68	Hartigans' dip test for unimodality / multimodality	0.0285235014768422	0.9795	white	Uterus	1
AARS	68	Hartigans' dip test for unimodality / multimodality	0.0294124531893878	0.9667	white	Uterus	1
AARS2	68	Hartigans' dip test for unimodality / multimodality	0.0327227841324534	0.8980	white	Uterus	1
AARSD1	68	Hartigans' dip test for unimodality / multimodality	0.0373785677904695	0.7220	white	Uterus	1
AASDH	68	Hartigans' dip test for unimodality / multimodality	0.0288455822884736	0.9748	white	Uterus	1
AASDHPPT	68	Hartigans' dip test for unimodality / multimodality	0.0264724501065442	0.9909	white	Uterus	1
AASS	68	Hartigans' dip test for unimodality / multimodality	0.0286609223942723	0.9775	white	Uterus	1
AATF	68	Hartigans' dip test for unimodality / multimodality	0.0354855642258738	0.8024	white	Uterus	1
AATK	68	Hartigans' dip test for unimodality / multimodality	0.0313155573750429	0.9323	white	Uterus	1
ABAT	68	Hartigans' dip test for unimodality / multimodality	0.0235675301087348	0.9946	white	Uterus	1
ABCA1	68	Hartigans' dip test for unimodality / multimodality	0.0289086582946852	0.9739	white	Uterus	1
ABCA2	68	Hartigans' dip test for unimodality / multimodality	0.029728344811955	0.9622	white	Uterus	1
ABCA3	68	Hartigans' dip test for unimodality / multimodality	0.0412787163149966	0.5457	white	Uterus	1
ABCA4	68	Hartigans' dip test for unimodality / multimodality	0.0364357408943584	0.7623	white	Uterus	1
ABCA5	68	Hartigans' dip test for unimodality / multimodality	0.0441192132282955	0.4237	white	Uterus	1
ABCA6	68	Hartigans' dip test for unimodality / multimodality	0.0301281052695392	0.9564	white	Uterus	1
ABCA7	68	Hartigans' dip test for unimodality / multimodality	0.0300420895734328	0.9576	white	Uterus	1
ABCA8	68	Hartigans' dip test for unimodality / multimodality	0.0425137940638866	0.4907	white	Uterus	1
ABCA9	68	Hartigans' dip test for unimodality / multimodality	0.0356995146994048	0.7938	white	Uterus	1
ABCA10	68	Hartigans' dip test for unimodality / multimodality	0.0317485477379645	0.9219	white	Uterus	1
ABCA12	68	Hartigans' dip test for unimodality / multimodality	0.100539920955443	0.0000	white	Uterus	0
ABCA13	68	Hartigans' dip test for unimodality / multimodality	0.0910173428076081	1e-04	white	Uterus	0.0027889739663093417
ABCB1	68	Hartigans' dip test for unimodality / multimodality	0.0255552689028767	0.9921	white	Uterus	1
ABCB4	68	Hartigans' dip test for unimodality / multimodality	0.0337120823606682	0.8638	white	Uterus	1
ABCB5	68	Hartigans' dip test for unimodality / multimodality	0.0326319746528185	0.9008	white	Uterus	1
ABCB6	68	Hartigans' dip test for unimodality / multimodality	0.0367669686958464	0.7481	white	Uterus	1
ABCB7	68	Hartigans' dip test for unimodality / multimodality	0.0436994030276726	0.4413	white	Uterus	1
ABCB8	68	Hartigans' dip test for unimodality / multimodality	0.049567912337373	0.2393	white	Uterus	1
ABCB9	68	Hartigans' dip test for unimodality / multimodality	0.0340936318483056	0.8506	white	Uterus	1
ABCB10	68	Hartigans' dip test for unimodality / multimodality	0.0332521140602347	0.8797	white	Uterus	1
ABCB11	68	Hartigans' dip test for unimodality / multimodality	0.0715717856704015	0.0083	white	Uterus	0.13448362989323842
ABCC1	68	Hartigans' dip test for unimodality / multimodality	0.0349299928769688	0.8216	white	Uterus	1
ABCC2	68	Hartigans' dip test for unimodality / multimodality	0.0282120210760031	0.9822	white	Uterus	1
ABCC3	68	Hartigans' dip test for unimodality / multimodality	0.037072632410408	0.7351	white	Uterus	1
ABCC4	68	Hartigans' dip test for unimodality / multimodality	0.0422751573141339	0.5007	white	Uterus	1
ABCC5	68	Hartigans' dip test for unimodality / multimodality	0.0372142742245131	0.7290	white	Uterus	1
ABCC6	68	Hartigans' dip test for unimodality / multimodality	0.036343240685529	0.7663	white	Uterus	1
ABCC8	68	Hartigans' dip test for unimodality / multimodality	0.0378112046427527	0.7035	white	Uterus	1
ABCC9	68	Hartigans' dip test for unimodality / multimodality	0.0367679995050878	0.7481	white	Uterus	1
ABCC10	68	Hartigans' dip test for unimodality / multimodality	0.039665717306495	0.6188	white	Uterus	1
ABCC11	68	Hartigans' dip test for unimodality / multimodality	0.0882352941176471	2e-04	white	Uterus	0.005024000000000001
ABCC12	68	Hartigans' dip test for unimodality / multimodality	0.0502496479601247	0.2197	white	Uterus	1
ABCD1	68	Hartigans' dip test for unimodality / multimodality	0.0397685453697716	0.6141	white	Uterus	1
ABCD2	68	Hartigans' dip test for unimodality / multimodality	0.0329287190701463	0.8909	white	Uterus	1
ABCD3	68	Hartigans' dip test for unimodality / multimodality	0.0460723153871434	0.3500	white	Uterus	1
ABCD4	68	Hartigans' dip test for unimodality / multimodality	0.0362773354361197	0.7691	white	Uterus	1
ABCE1	68	Hartigans' dip test for unimodality / multimodality	0.0395407525580958	0.6246	white	Uterus	1
ABCF1	68	Hartigans' dip test for unimodality / multimodality	0.032352805425941	0.9075	white	Uterus	1
ABCF2	68	Hartigans' dip test for unimodality / multimodality	0.0358392342165127	0.7878	white	Uterus	1
ABCF3	68	Hartigans' dip test for unimodality / multimodality	0.0294107671604514	0.9667	white	Uterus	1
ABCG1	68	Hartigans' dip test for unimodality / multimodality	0.0355712836769491	0.7992	white	Uterus	1
ABCG2	68	Hartigans' dip test for unimodality / multimodality	0.0335864632648133	0.8681	white	Uterus	1
ABCG4	68	Hartigans' dip test for unimodality / multimodality	0.0281883492189041	0.9824	white	Uterus	1
ABHD1	68	Hartigans' dip test for unimodality / multimodality	0.0377339708967241	0.7068	white	Uterus	1
ABHD2	68	Hartigans' dip test for unimodality / multimodality	0.0410489771584806	0.5561	white	Uterus	1
ABHD3	68	Hartigans' dip test for unimodality / multimodality	0.0274723150570268	0.9880	white	Uterus	1
ABHD4	68	Hartigans' dip test for unimodality / multimodality	0.0361768566262239	0.7734	white	Uterus	1
ABHD5	68	Hartigans' dip test for unimodality / multimodality	0.0311700290924311	0.9358	white	Uterus	1
ABHD6	68	Hartigans' dip test for unimodality / multimodality	0.0247139130864725	0.9931	white	Uterus	1
ABHD8	68	Hartigans' dip test for unimodality / multimodality	0.0377387586070987	0.7066	white	Uterus	1
ABHD10	68	Hartigans' dip test for unimodality / multimodality	0.0420740243394555	0.5098	white	Uterus	1
ABHD11	68	Hartigans' dip test for unimodality / multimodality	0.056825423060394	0.0934	white	Uterus	0.9351296316657504
ABHD12	68	Hartigans' dip test for unimodality / multimodality	0.0315030925708416	0.9278	white	Uterus	1
ABHD12B	68	Hartigans' dip test for unimodality / multimodality	0.0441176470588235	0.4238	white	Uterus	1
ABHD13	68	Hartigans' dip test for unimodality / multimodality	0.0377315855094629	0.7069	white	Uterus	1
ABHD14A	68	Hartigans' dip test for unimodality / multimodality	0.0288213687368707	0.9752	white	Uterus	1
ABHD14A-ACY1	68	Hartigans' dip test for unimodality / multimodality	0.0257165384800482	0.9919	white	Uterus	1
ABHD14B	68	Hartigans' dip test for unimodality / multimodality	0.0294119101026484	0.9667	white	Uterus	1
ABHD15	68	Hartigans' dip test for unimodality / multimodality	0.0334003867594418	0.8746	white	Uterus	1
ABHD16A	68	Hartigans' dip test for unimodality / multimodality	0.0238983771417099	0.9941	white	Uterus	1
ABHD16B	68	Hartigans' dip test for unimodality / multimodality	0.036885808337867	0.7431	white	Uterus	1
ABHD17A	68	Hartigans' dip test for unimodality / multimodality	0.0302728279150434	0.9543	white	Uterus	1
ABHD17B	68	Hartigans' dip test for unimodality / multimodality	0.0294288282259451	0.9665	white	Uterus	1
ABHD17C	68	Hartigans' dip test for unimodality / multimodality	0.0337543790171306	0.8623	white	Uterus	1
ABI1	68	Hartigans' dip test for unimodality / multimodality	0.0349265635880524	0.8217	white	Uterus	1
ABI2	68	Hartigans' dip test for unimodality / multimodality	0.0431503848240793	0.4642	white	Uterus	1
ABI3	68	Hartigans' dip test for unimodality / multimodality	0.0436761811767024	0.4422	white	Uterus	1
ABI3BP	68	Hartigans' dip test for unimodality / multimodality	0.0376722831209362	0.7095	white	Uterus	1
ABL1	68	Hartigans' dip test for unimodality / multimodality	0.0247817357656215	0.9930	white	Uterus	1
ABL2	68	Hartigans' dip test for unimodality / multimodality	0.0232258879849763	0.9950	white	Uterus	1
ABLIM1	68	Hartigans' dip test for unimodality / multimodality	0.0288832176442533	0.9743	white	Uterus	1
ABLIM2	68	Hartigans' dip test for unimodality / multimodality	0.0262688654718316	0.9912	white	Uterus	1
ABLIM3	68	Hartigans' dip test for unimodality / multimodality	0.0305651352703367	0.9501	white	Uterus	1
ABR	68	Hartigans' dip test for unimodality / multimodality	0.0292336126152854	0.9693	white	Uterus	1
ABRA	68	Hartigans' dip test for unimodality / multimodality	0.0333585602639602	0.8760	white	Uterus	1
ABRACL	68	Hartigans' dip test for unimodality / multimodality	0.0335000949198965	0.8711	white	Uterus	1
ABT1	68	Hartigans' dip test for unimodality / multimodality	0.0317077323538889	0.9229	white	Uterus	1
ABTB1	68	Hartigans' dip test for unimodality / multimodality	0.0322217519451099	0.9106	white	Uterus	1
ABTB2	68	Hartigans' dip test for unimodality / multimodality	0.038898018081943	0.6540	white	Uterus	1
AC002310.13	68	Hartigans' dip test for unimodality / multimodality	0.0201093279559111	0.9989	white	Uterus	1
AC002365.1	68	Hartigans' dip test for unimodality / multimodality	0.0700313080659055	0.0108	white	Uterus	0.16739540425531915
AC002398.9	68	Hartigans' dip test for unimodality / multimodality	0.110294117647059	0.0000	white	Uterus	0
AC002985.3	68	Hartigans' dip test for unimodality / multimodality	0.0605100165238546	0.0540	white	Uterus	0.6377743190661479
AC003002.4	68	Hartigans' dip test for unimodality / multimodality	0.0112578639171026	1.0000	white	Uterus	1
AC003002.6	68	Hartigans' dip test for unimodality / multimodality	0.0808823529411765	0.0012	white	Uterus	0.02472217194570136
