Name	AveExpr	t	logFC	P.Value	Adj pval	B
F8A2	2.3754025186301235	14.45658560622687	2.854039906910729	2.44192677306217e-42	4.447237039100824e-38	85.11039888764859
F8A3	4.459288367726397	11.970269840348516	1.5626818157274274	1.5557431776264601e-30	5.666638950186619e-27	58.42911798101721
NPIPB15	3.3342338976177572	9.683279474657065	1.5275299615302518	4.591074165407326e-21	1.3064475421937221e-18	37.064732827185594
RP11-599B13.6	2.2306783028130197	6.416431964414867	1.41303698156743	2.363447682658173e-10	2.4373221515611916e-9	13.043215569892496
GSTM1	4.788595019491194	4.883942579607084	1.3750454623991315	1.2515408608587868e-6	5.80567044267963e-6	4.805849393197292
MSLN	2.9529560291637353	6.053401410067236	1.1400684999660355	2.161603566638209e-9	1.8200242328069842e-8	10.906311282472256
ART3	2.3798891013827568	6.604229408490221	1.1249090430444189	7.201598125206101e-11	8.41279698885526e-10	14.192727003292887
CCL3L3	2.6038172750659005	7.355174983686553	1.1228932334167538	4.649369266254995e-13	9.654995789855871e-12	19.083426818638788
PCSK1N	3.1283544553253595	6.467101677366156	1.1060098146225998	1.7200952794968306e-10	1.8411896369927789e-9	13.35042406115899
KRT81	4.357414913600747	5.461702909634339	1.104031478173904	6.265130347643545e-8	3.8612708592651184e-7	7.668304413968027
GJB5	2.7615792788882665	7.6489776735690995	1.0568180290452758	5.709789532657005e-14	1.5247314804801961e-12	21.122286994724416
ZACN	4.7811132088141735	6.23381400497489	1.0165241358389219	7.29658690785846e-10	6.7764120737337205e-9	11.954152446210877
SLURP1	1.7597592732079719	6.067836652992119	1.0140083437071172	1.9837130098757462e-9	1.6795621262602086e-8	10.989119266792088
LY6D	2.7101912851421024	4.973946314290251	0.9990316846592582	8.00207655329399e-7	3.8728094123994195e-6	5.232041997328464
ST20-MTHFS	2.8929634742806574	8.391899640059277	0.995125760150934	2.0998582578629306e-16	1.131438419887565e-14	26.58251788956929
CALML5	5.3074952818936225	4.224189522531592	0.9913545512190298	2.668387784031264e-5	9.17437763314657e-5	1.9072896418602223
EN1	3.5206379122447924	6.619068861055583	0.9513195512189805	6.547897338642447e-11	7.743526385153001e-10	14.284829561854249
SCXA	3.181494095260975	10.77384713648943	0.9432279463271409	2.133313639079003e-25	2.988608307300523e-22	46.83229124826446
FABP7	2.7962787271143306	4.312750178970451	0.9428692722854599	1.8098503712999414e-5	6.457875188502064e-5	2.2731328580664325
GJB3	2.6567605690225715	6.229277006775015	0.9302383304091464	7.50114470750119e-10	6.945137133350874e-9	11.927458476792488
CXorf61	0.9692582079885664	4.835423209221906	0.9300638209479877	1.5880780507517124e-6	7.196336765436722e-6	4.5791396349143
CRYBB2	1.6647188474477679	11.699643794398215	0.9289850898409109	2.4384103059946384e-29	7.401388082129059e-26	55.729901793136136
