Name	AveExpr	t	logFC	P.Value	Adj pval	B
F8A2	2.1146398054154494	6.741607571605537	2.3185994175295566	1.1598992604375703e-10	2.6405106663861286e-7	13.789365722876248
NPIPB15	4.470124002053177	7.143281854317003	2.1411094637142565	1.087088260687453e-11	4.949512850909973e-8	16.0115266352002
CRYBB2	1.5615142847653822	10.984959841039204	1.3543670835175847	5.248443323516786e-23	9.558464980788772e-19	40.51080071457902
CTB-134H23.2	1.4789386069256194	7.064206798993035	1.266826078290059	1.7407258506711768e-11	6.340419838484695e-8	15.569356182221917
F8A3	3.890913359431131	4.404114949107958	1.212474073967737	1.601600335612838e-5	0.0014500619035985214	2.768729388023983
CAPN8	5.880484447362594	3.9125163853969664	1.0955690740052972	1.190317262863822e-4	0.005858934592236737	0.9347921156198051
CYP3A5	6.199064904019334	5.585206255720775	1.0630597225718574	6.314894466591127e-8	3.194634945154378e-5	7.896497753455407
GSTM1	3.938243043926456	2.992270947394077	0.9963241933832299	0.0030585598571112355	0.05068470620355762	-1.9771279663890757
COL17A1	5.295602745773868	3.3473954788327376	0.96218578586529	9.470928648100643e-4	0.024909089674218357	-0.9366086930948239
SLC6A7	2.7001930538128556	3.8257316231461793	0.9518754673319689	1.6634646509922755e-4	0.007389028835090567	0.6307535931561299
SPACA4	2.922137624912042	4.3486956324830155	0.9508534094576775	2.0256629434740146e-5	0.0017000632961543204	2.553012753810995
PDZD3	4.080646433192127	3.329811497854645	0.9259009578572668	0.0010061136435801836	0.02613886116530999	-0.990632435579923
AC114494.1	2.117160810450964	5.384737161978829	0.9149334046578641	1.7277689007898885e-7	6.006433209921965e-5	6.959278359159935
ANO9	6.69002222651871	3.725064530618432	0.9127234491267826	2.435425905446198e-4	0.00962125305639613	0.28533754740106776
ABCC3	6.477130019746945	4.571204285155014	0.8998068875380278	7.772124081525629e-6	9.074285731832518e-4	3.433883898686954
CCDC64B	5.237952668211865	4.057745998628915	0.8946401940161	6.708709250712708e-5	0.003928585622957551	1.4571076031341077
EPS8L3	6.939672781829724	3.6160432109524137	0.8909134042933484	3.646638167244732e-4	0.012876875600887414	-0.0793871637659107
TBC1D3H	3.705305007864556	7.00306490093982	0.8876922883663325	2.5035460600028462e-11	7.599096807461972e-8	15.228147333895077
FGF20	1.5633309523289916	4.064724808351613	0.8793585463949762	6.521893470211323e-5	0.003861851891101009	1.4828421356675454
AC008443.1	4.1498227554801	2.663450028581383	0.8729087889272336	0.008258899056854598	0.0938309854169906	-2.844060014800322
UGT1A10	3.0754139650360117	2.7794009182826156	0.8609505544165819	0.005877889312452253	0.07689267411844078	-2.5491031802669593
ATP10B	5.194392915828148	3.2774647496759135	0.8533471209567756	0.0012027186622079026	0.029480366455087916	-1.149927609400712
ANKDD1B	3.1742804354968297	5.08245668011373	0.8477665263136411	7.499761540689362e-7	1.7073207147379335e-4	5.595592370908864
FKSG63	1.8427830805921184	3.505496283630241	0.8273524169018449	5.437755559713609e-4	0.01707455245750073	-0.4392156256619302
AREGB	3.088296490880187	3.3654831542681785	0.8232660142896804	8.896675577093109e-4	0.0238624824167923	-0.880694676285005
SPRR1A	2.546214082688428	2.1177003814495894	0.815406007438503	0.03523066138755431	0.21676616400219778	-4.071952772716332
CCL3L3	2.028025199326204	3.3837074502235684	0.7986626692495831	8.351662805069128e-4	0.022979043630811786	-0.8241322376595708
BTNL3	3.0407000440620187	2.7778038895048383	0.7959732936775539	0.005905933385468289	0.07710312459938959	-2.553245638893388
LRRC36	3.8792035779534393	5.101375974349215	0.7856095768652742	6.853925658211661e-7	1.601980643787934e-4	5.679116254370252
CFTR	5.211490897674885	2.9368677297830676	0.7821281178157902	0.0036384369246226034	0.05687829465341361	-2.1297676149206923
HSD11B2	5.980284965582148	2.7596045647718026	0.7780738817795472	0.00623419633204762	0.07917516290045416	-2.60029470810121
SYTL5	2.67010007636588	3.8592142987800773	0.7762166020246282	1.4627883143686335e-4	0.0068133761588955385	0.7474439268273159
AP001362.1	1.402244609190004	3.443444668665609	0.764303549124335	6.776599487151496e-4	0.01997013428155389	-0.6368649990128166
CLCA1	3.191834799193154	1.6904388080379646	0.7626431562271652	0.09224430640367536	0.3494079260032728	-4.844550714318796
POLR2J2	4.541922543508945	4.03896605203928	0.7589309966356259	7.230938260923392e-5	0.004167400240757494	1.388712277930897
PIGY	3.638814248896308	2.9870450140846883	0.757241664775874	0.003109393220395001	0.05129372221905232	-1.9916385799201812
KLK3	2.132169870830117	2.8797699376325117	0.7563020145957648	0.004339628501810713	0.06363390843395869	-2.2842763873380227
PPBP	3.0999949643573244	2.7895539392675928	0.7532115427546002	0.0057023227387332015	0.07575961483512793	-2.522706757865259
TMC4	6.502553805611955	4.211912553572439	0.7469302524620147	3.586023666110864e-5	0.0024926970613439333	2.0295537308008598
EVX1	2.7222400827663877	3.516581146618382	0.7333018870281762	5.226366725864869e-4	0.016527735280913433	-0.4035691572619564
LEFTY2	2.1594062586785925	3.295271590940814	0.7301581516444684	0.0011319987543839864	0.02816388157765186	-1.095906802410342
CLDN2	6.039155345091243	3.1540403623681907	0.7287767956389848	0.0018160210474630145	0.03739904593068044	-1.516393556303223
SPDYE2	3.196626263888473	7.624973756775475	0.7278136429581852	5.685577631423935e-13	5.177286991174635e-9	18.78439676540326
TBC1D3C	3.6841182675083215	4.806095291317066	0.7269892229750949	2.7159754122823865e-6	4.301160365955376e-4	4.404052335999916
SPINK7	1.026464929681198	3.5916268783953567	0.7244969676093902	3.9858511202438485e-4	0.013879602409537471	-0.15961834038641598
WDR72	3.643659097211298	3.282929390855248	0.7227112704833236	0.001180522775107433	0.029087980912538405	-1.1333382014930384
MUC4	4.533456886337624	2.076290439389975	0.719103279716907	0.0389333787033463	0.22931560336732668	-4.154163887175693
AXDND1	2.609136574485826	2.675748291916121	0.7168666143095219	0.007970299429620726	0.09198675108507773	-2.813320358682288
DEFA6	3.997617620255667	1.870530428170245	0.7156822229119322	0.06262915384513074	0.289430017000195	-4.5393940387414435
MUC17	2.926119720321897	2.2236888530875474	0.7138561194161697	0.02710229911025741	0.1886800731636116	-3.854432472318386
OSBPL7	5.700691664973366	6.22474188717733	0.7135452932483624	2.1374282134985424e-9	2.780488758873961e-6	11.059017716055376
OLFM4	6.54044070067414	1.5669412846387567	0.7134641638297783	0.1184479330446374	0.3925005080542522	-5.036399475554196
NPIPA8	3.3566744789996936	2.5108544454225026	0.7132969128273507	0.012703451452597374	0.12062317927773898	-3.2141888955017293
UGT1A6	3.2963449088180705	3.0326182553214043	0.7122506041737098	0.0026908452070114218	0.04721163093457805	-1.8642606439536342
RETNLB	3.370388740089562	1.894542380171382	0.7107624117351437	0.05935702634313482	0.281733167516594	-4.496442187301101
KM-PA-2	2.909810057354126	1.6124153692032195	0.7054606296620962	0.10818774407268945	0.3775891209898331	-4.967411149977424
C12orf56	1.1710297446329914	3.0740774198794356	0.6958906458935568	0.002355931982969067	0.043194402271787155	-1.7468871519955531
SAP25	3.833766364917595	2.9652514681761915	0.6943721636401254	0.003329784426959591	0.05371305047279723	-2.051886606378904
CYP2C9	1.829512338835074	2.940237320978452	0.6928934782706819	0.003600177620890472	0.05669030334220739	-2.120506639853688
EXOC3L4	4.60821941422133	4.538279754164756	0.6906874079530665	8.973060127044067e-6	9.844419941790756e-4	3.3015197931762987
