Name	AveExpr	t	logFC	P.Value	Adj pval	B
KRT13	8.47796163172312	2.4393068292124434	4.800016243534177	0.01625656614449066	0.2914020597233406	-3.111219061228963
SPRR2A	7.941936099142306	2.5219972247717792	4.723184540213584	0.013048941137748633	0.27378723041552777	-2.936443665850357
GBP6	4.6246452149703305	2.942334716609183	4.698756169752544	0.003945175657024559	0.21545376954878104	-1.9697468427645575
ADH7	2.601298489708384	3.507496472764622	4.576930605474102	6.459646088873131e-4	0.1581646156530487	-0.47437679066794036
SPRR2F	3.717073975294151	2.920330849794563	4.37045834854273	0.004210113417807336	0.21545376954878104	-2.0229871050816453
TMPRSS11D	4.417596742503077	2.8085137184351945	4.331574006063712	0.005853766586631862	0.22223492805148756	-2.291206455552735
TMPRSS11A	3.66028857240834	2.908549973295623	4.325318621793683	0.0043602836556121	0.21545376954878104	-2.0516000335312317
KRT15	7.388651222566884	2.909916827935834	4.3236963940146556	0.004347975055780089	0.21545376954878104	-2.0490583944536427
SPRR2D	7.139139516390114	2.4920652757530126	4.3182819744029	0.014137925509977495	0.2794708857174361	-3.0003041657107814
SPRR3	8.408944928478101	2.2215879829936895	4.236703503234631	0.028285680130612875	0.3393536274958641	-3.54639224724131
LY6D	7.176610050837972	2.38752311246927	4.2147195809909155	0.01860638294359457	0.2985545781222417	-3.218028515055431
SPRR2E	6.601663429251651	2.3475766480415046	4.192334082642868	0.020619951750462256	0.3070527213014776	-3.299021097782742
CAPNS2	4.560458290503535	2.962406371219722	4.183919765551901	0.0037129968776832088	0.21372868986654425	-1.9202152689561163
SPRR1A	7.311870582682892	2.199580734046878	4.119496552390041	0.02985406099853312	0.3453969223454115	-3.5883336907810386
SPRR2B	3.463719925024422	2.744147695399818	4.043127188980325	0.007040849230737844	0.23348195324022067	-2.4409666492835314
A2ML1	5.327316544181315	2.4317505204207057	4.02654319125711	0.016582102822493675	0.2917419827023043	-3.126932056634341
KRT5	8.614336467108812	2.2345058446952666	3.9923533962236135	0.027398973832714803	0.33583745765363954	-3.521596794653214
SPRR1B	8.020801945978787	2.1364374460399804	3.9270361371659988	0.03478151737604485	0.36123320542870113	-3.7065590993819337
CLCA2	4.886833459659676	2.440152169883747	3.8865825702433296	0.016219574752419714	0.2914020597233406	-3.109429047163157
TMPRSS11E	4.686907440317218	2.456590854814855	3.852683347199025	0.015529990055362972	0.28666121810270484	-3.0750058195579433
CALML3	6.256908340125907	2.12710778671708	3.8407348581468934	0.03556623509539053	0.3620431944364103	-3.7237605512879
SBSN	6.29688313024393	2.2723140305794143	3.81756395337577	0.0249419167260949	0.3262969923650265	-3.4482768443903153
C10orf99	5.2102187370048	2.171377816505742	3.774841833911113	0.03197433411348191	0.35053508676275336	-3.6415271234156164
TP53AIP1	3.659799815935716	3.2800022753938904	3.737759446763917	0.0013735414904118728	0.1830671203639062	-1.1015550160165022
KRT6A	8.561637602440955	1.95787375438705	3.717385371557283	0.052687569281138207	0.4064981671720223	-4.023741553360809
IVL	5.10541271898267	2.0951064465534386	3.6852401280202987	0.03837521844145143	0.36822417189447487	-3.7822384901976145
DAPL1	4.811312685484209	2.830700137658758	3.6649371986715353	0.00548762954042049	0.2214159350621678	-2.238750680109309
KRT6C	5.2613613357126114	1.8657000047156964	3.561871571993999	0.064653208325363	0.4404514112476906	-4.177422707374317
FAM83C	3.83550393423342	2.6508168179419465	3.5495376834008656	0.009161455191829076	0.24500502489514114	-2.653350274854126
SERPINB13	4.664980606181963	2.0339464381693846	3.5428358200697225	0.04427634239935544	0.38242815504476385	-3.8917206241154823
DSG3	6.155112683509107	2.248873934091291	3.53760793580871	0.026441352698831796	0.33510780469806867	-3.4938645588629043
CERS3	4.7279819644924785	2.604351236544152	3.520331231553845	0.010425366310714126	0.2528186035295948	-2.7570190049163377
GRHL3	5.163026462152846	2.581295531847017	3.4304636569459293	0.011108198515074701	0.2580646681649844	-2.8078112892095057
FAT2	4.647046493620917	2.780619447128658	3.428587519889631	0.006344184615940644	0.2262369882207735	-2.3565099878303135
S100A8	10.130493627233125	2.311648877152961	3.4191122889402816	0.02259293876157723	0.3160044591922822	-3.370817077035108
CSTA	7.626752799521222	2.1934779625470635	3.383478693137425	0.03030218414023376	0.34665913899673767	-3.5998971012016265
RHCG	7.736184270739836	1.8570158581048477	3.380932412187036	0.06588938878140546	0.4426328102128204	-4.191545401157021
KRT6B	7.318163943748016	1.932633129003718	3.3785690791275993	0.05576141256936233	0.4141626613838608	-4.066510690680639
UGT1A7	3.338369118194867	2.6532322014501615	3.378542662948953	0.009098235408256066	0.24447324654320438	-2.647824611672774
KRT24	2.618562689170811	2.5097015309302537	3.3539420111825162	0.013472634620040828	0.27693411027108755	-2.9621955095377053
GJB6	5.280884996371802	2.133912313496786	3.3532939105069266	0.034992413669657885	0.36130398329514535	-3.7112215818903076
