Name	AveExpr	t	logFC	P.Value	Adj pval	B
F8A2	1.6688081333734006	6.6538181613663285	1.6838365872718775	6.125030450366569e-11	5.577452728103798e-8	14.368097241881976
F8A3	3.6550683615099717	6.686802969061068	1.5244932870543	4.963951045897007e-11	4.758077707782963e-8	14.565816202729042
NPIPB15	4.23933640012992	5.889902243732325	1.4339816247963526	6.235292752999425e-9	3.3209990600175586e-6	10.029508542391806
GSTM1	5.023452167740938	3.985281138521269	1.2606314940915997	7.513320486536232e-5	0.006841629635039893	1.3246777758652488
PIGR	3.3318106612119878	4.4967129917216875	1.2132495926796163	8.189820020478575e-6	0.0011652578297887174	3.35509424152629
BPIFB1	1.886939943940722	3.5846543198949696	1.2046032212647193	3.631343595657207e-4	0.020579086973533174	-0.10308942183117775
BPIFB2	1.4331463494197216	3.608015750660832	1.091257575190875	3.3255207073757667e-4	0.01947407817451044	-0.02380284316580461
MUC5B	2.670295798157393	3.340645128309958	1.0767638180585233	8.842877415927739e-4	0.03773670318639483	-0.9016272044705689
SPINK2	1.364671323962565	6.930979728781346	1.0352849139682618	1.0196997560846468e-11	1.4285209198318144e-8	16.055710168955404
SCGB3A1	3.0679830201629246	3.704008119205535	1.027798533709491	2.304953657652106e-4	0.015025601608908448	0.30716431429908564
DMBT1	1.488819315021163	4.2252565359543635	0.965175797049836	2.7325296093939738e-5	0.002979929894987009	2.248623678707693
AGR3	1.5037716823475724	3.6031799660992467	0.9477265840177198	3.3867708861724685e-4	0.019706029194560062	-0.04025559175199955
FOLR1	2.484186994101133	4.077095626423841	0.9198423172523829	5.132905578924136e-5	0.005108222754282315	1.6721368779541388
ZG16B	3.2700195362497984	3.2835871133255674	0.9079612941021655	0.0010806120682667077	0.04306369143823475	-1.0805297280172246
ERN2	1.9189030140813303	3.7290641583157544	0.8810210846787057	2.0918270752297234e-4	0.013954708679151547	0.3949221093007589
