Name	AveExpr	t	logFC	P.Value	Adj pval	B
F8A2	1.9754046836973411	8.50997923288727	2.8783083672178007	2.5623240911876776e-16	1.1666261587177496e-12	26.168451631229317
GSTM1	5.279025239584397	4.38133605358457	1.7690332201491552	1.4667624952404307e-5	5.707837299854428e-4	2.8043110750766083
PNMA6A	1.6032974886463183	5.3766815860708945	1.4178507763303965	1.2169818596370829e-7	2.172909179187309e-5	7.2650544009688005
NPIPB15	3.262447648033579	5.818252488527989	1.3830941459339834	1.1249917776763152e-8	3.794138936118713e-6	9.499839197573378
RP11-599B13.6	1.5588933364526447	3.9113617954695954	1.3584275429811123	1.0582617957693993e-4	0.0022349605845260515	0.9876321884877397
F8A3	4.4692506901625055	6.329774818703676	1.3548752843021328	5.907199693294619e-10	4.890087309740073e-7	12.275976123658525
TRIM63	1.632813311337781	6.301949416868355	1.2117252080123389	6.96959218127504e-10	5.288758866890877e-7	12.119917533358114
SLC30A2	2.2128243524203173	5.151750290160998	1.202577822096259	3.8569716830357943e-7	4.852887481394261e-5	6.186040023298677
PCP4	2.34249052002183	3.8088973803927275	1.171714471715248	1.5880964632025528e-4	0.0030127513320671764	0.6169912586848225
DAPL1	2.083079350841038	4.374967271716419	1.1669821054185903	1.5084515551247221e-5	5.80801685453096e-4	2.7784257675403303
KRT7	5.518962793358953	5.227954022774722	1.1081212865023442	2.6212124284875007e-7	3.6752678605745195e-5	6.54704352298479
MSLN	3.5812870773752983	3.0579464794650986	1.1008771246412494	0.002360431148411358	0.018862734565540874	-1.8151138332669365
ARHGAP40	0.9928023072714981	5.6253305307191415	1.08212266609682	3.244442534848162e-8	8.206637145090935e-6	8.504691745304038
PRR15L	3.49803898608697	3.9749306327127907	1.0720733342753501	8.189718631830348e-5	0.0018784780317744874	1.2221880221391723
PCSK1N	4.33496000321216	3.818977302019113	1.0525935242283468	1.5265393801571032e-4	0.0029419402318964193	0.6530451042499017
SCEL	0.6955317468513991	6.6563165585661555	1.0357885783705294	8.125980609218233e-11	1.0570739918220176e-7	14.14973758703591
HHATL	1.3632533076356341	3.802680884252221	1.016627005709883	1.6272205862676684e-4	0.0030625078541377812	0.5948005650245403
LCN2	2.7632139055510008	3.962030709490709	1.014086538269917	8.629405116148135e-5	0.0019426294928960427	1.1743052318439648
MAL	5.989355560336275	3.8888121034974836	1.001844965798277	1.1580386793009833e-4	0.002375022570656476	0.9052755984912739
GPR110	1.943630858431752	3.6186441544030865	0.9625777096272927	3.29479490142642e-4	0.004971400558805133	-0.04672717030743989
PLG	3.4974135138391973	2.605196896778792	0.9584597876798	0.0094839302564617	0.04899896108671787	-3.03484955111572
LGALS7B	1.3532594007457261	4.824625663904002	0.9436504840863655	1.9190957571294518e-6	1.49361418499323e-4	4.69001545341607
CDH17	1.5298631572781993	5.058524947001501	0.9356213657064447	6.147379281739049e-7	6.732554336601712e-5	5.750791002590949
KRT17	3.339581032587448	3.5922037260714745	0.9219032223687598	3.63753281141327e-4	0.005325301250921099	-0.13643547266904044
GAL3ST3	1.0086104286159059	5.9429777446480125	0.9200616092325453	5.585885124837062e-9	2.340393321255295e-6	10.158488444230729
NMRK2	0.9894917769038852	3.7249826362004717	0.9155555489881972	2.1995732641876938e-4	0.0037298536580434153	0.32031122964786274
RP11-683L23.1	0.9532585773485852	6.878959113999323	0.8864875762088388	2.0094821047840724e-11	3.326971644757048e-8	15.471389973194649
GPR143	4.117881980666361	3.9560884867539086	0.8825261763638288	8.839386744189768e-5	0.0019680062516526167	1.1522972329653056
BCL2L2-PABPN1	4.1070473642544485	4.51080087341951	0.8748816167667557	8.236401608832308e-6	3.8363515626612277e-4	3.3379665358493273
ACSM1	3.0993352548517414	5.272272114573244	0.8697782380411296	2.0893371258961876e-7	3.136215330011826e-5	6.75915491747771
MAPK4	0.9712099665771952	4.943434209976911	0.8645897742568966	1.082402718393665e-6	9.758771439299716e-5	5.223222840785908
DOK7	2.0272110380766235	5.810452582387746	0.8618107913276774	1.1748150281553777e-8	3.8653580440146e-6	9.459089680515484
PROM1	4.939975128191624	2.7106984809537455	0.8550616352390592	0.006968892989803962	0.03964932181515456	-2.767450585054712
TUBB8	0.8155000706651425	8.27312059562389	0.8505443504162842	1.4655773657076657e-15	5.338218996853602e-12	24.510200352246983
BEX1	3.147146203726918	2.6310735944269883	0.8495403272958701	0.008801443612306564	0.046542360937086864	-2.970215326615694
CKS1B	1.4065212579613227	3.638763298041772	0.8431953876569902	3.0545683397601196e-4	0.004714389712178924	0.021949111124680343
VTCN1	2.155458353242	3.8693294706398227	0.8423078868058105	1.2513502091055393e-4	0.002526562085169632	0.834478486171685
FOXA3	1.1630752971738292	4.979076601438376	0.837596945176815	9.094928644081827e-7	8.537981467320528e-5	5.385447198484714
SH3GL2	1.7530137840971678	3.3221694361320337	0.8362339287999687	9.654668358354535e-4	0.010296547769704619	-1.0169606830918365
INHA	2.5528946456410946	3.6331594938039644	0.8347157560779315	3.1197711797767186e-4	0.004778576343657998	0.0027846181637904976
RAB25	2.4455155481110284	2.968338523670113	0.8333977585909262	0.003152691985622599	0.023031821457798113	-2.0714216802956402
TFCP2L1	3.0419265330777816	3.5251041579012425	0.8265580321327057	4.6633882075864774e-4	0.006333305446425423	-0.36130733559418093
