Name	AveExpr	t	logFC	P.Value	Adj pval	B
F8A2	2.1813084413643256	8.939158574064258	3.189176257047602	1.8721925560762354e-16	3.4096370831260397e-12	25.504375363551866
F8A3	4.486227441444781	6.728639793612642	1.7718458926424736	1.5461606800985005e-10	5.631735661190778e-7	13.170653146202897
CCL3L3	2.3592820790284788	4.434742363210345	1.262831401058125	1.47437735531533e-5	0.0072571244310818345	2.844849356780564
UBD	5.779971804667869	4.0950812629342375	1.1746873567128864	5.987025592284129e-5	0.018964609330728677	1.6004459216373714
PTPN20A	2.654732716111391	4.205642111710977	1.126999335742388	3.8293402987973226e-5	0.014838286281212094	1.9964557190057768
AOC1	6.363199954428699	2.5758865488642986	0.9899796241482486	0.010672566807263296	0.2211062414281986	-2.8879533067791274
NPIPB15	3.5478141249860164	3.566489811639895	0.9879393421012255	4.464650047670643e-4	0.05610840592847137	-0.1673279300603303
FLT3	2.1683577356603694	5.19529333666941	0.979519358201312	4.7583539605741357e-7	7.824993283508132e-4	5.918193740950738
C4BPA	1.8971183063199577	3.7160988761835574	0.9718674061350363	2.583528809177842e-4	0.045219713903334624	0.3115953542858403
RAB25	3.481868315751518	2.454053235093639	0.9457406120107823	0.014925552149074307	0.25941096319904144	-3.166402783064331
KCNJ1	1.8681821617307075	3.201016756587887	0.9403404044611223	0.001578078907541592	0.09491224997826192	-1.2636839259039547
SERPINA5	4.407483631551463	3.967126062671511	0.9303056748302723	9.928384236828403e-5	0.02666426499438468	1.1533242655262121
PNMA6A	1.6999872781778391	3.262261924106417	0.9248391657491166	0.0012865856015779867	0.08710519321910146	-1.0873498503722097
FAM153A	2.4039918165514202	3.18085097385334	0.9209768654307582	0.001686711805636013	0.09939355976306384	-1.32107559215458
TMEM52B	3.101995458039046	4.107612344290958	0.9080482814507449	5.693483207922377e-5	0.018516020746907558	1.6449431061210902
MGAM	3.0590524281311504	3.0623092438264736	0.8856369243786419	0.002478418516575272	0.1163811857083924	-1.651854459889761
NPIPA8	2.586817290891418	3.0499021694193615	0.8553115210906008	0.002578587266107032	0.11997041467162178	-1.6858116115720936
GAL	1.9426230827982596	3.5625070014070674	0.8526448407747969	4.5288467337389036e-4	0.05610840592847137	-0.17980566089531003
BARX2	4.243423884593432	3.2630769503477457	0.833879874327002	0.0012830680505365026	0.08710519321910146	-1.0849830018487792
SLC30A2	3.6834059172553872	3.073844801413733	0.8306674553978266	0.00238852552231981	0.11447322845391679	-1.6201730714907416
DNAJC25-GNG10	2.781623195328678	2.906733885116997	0.8260460109351762	0.004037056801877021	0.14139015091496981	-2.068571718217191
TSPAN8	3.6104369183758935	2.6544353699160705	0.8228606469690658	0.008541799239035084	0.19990438750515196	-2.7017415660612185
PLG	2.003066545322344	3.2093544086575574	0.8098577075521018	0.001535029535651616	0.09383543836511374	-1.2398329453435428
CKS1B	1.3151328766783223	3.1253769732380587	0.8072171337884821	0.002022387397311298	0.10965977621311367	-1.4772889507308076
REG1A	4.568778882051933	1.7980330815472187	0.8039044827098021	0.07358317575196853	0.4700052567646958	-4.444442080368154
CRYBB2	1.4073641092500255	5.1414716205152695	0.7849675455833658	6.145811735765871e-7	8.60980948705908e-4	5.688292330789382
FOLR3	2.0305555126220383	3.2569797558189895	0.7805085158577021	0.0013095550348003952	0.08769125058622872	-1.1026523165706195
USP41	3.7586669371094272	2.6088100037848174	0.7800158014661394	0.009727401313452282	0.21165523622532015	-2.81053915137376
MRAP2	2.288593102326256	3.644639321923966	0.7730597705592408	3.362102105894868e-4	0.050189019305374866	0.08072152596289772
SERPINA3	5.6027332830289405	2.5451454707746604	0.7691002153678559	0.01162846570931611	0.23016491668739858	-2.959405212894014
CCL3L1	3.463986995351356	3.208269552100716	0.7614244831933155	0.0015405664436178895	0.09383543836511374	-1.2429385383452072
PEBP4	2.0078953389806147	4.426087010826585	0.7602808657068327	1.5294639810200466e-5	0.0073301573742992334	2.8121790895204395
FAM3B	2.6105917568390438	3.0829166504033827	0.7457735943997363	0.0023198692780280056	0.11282827482514204	-1.5951580629027067
GSTT2B	3.2129688812741244	3.4830443415958965	0.7443755992500551	6.011564894427343e-4	0.062326876441023325	-0.42688387498934155
CCL4L1	4.522803899598637	3.511182429780346	0.7256226417262095	5.441236786434609e-4	0.06034955219282968	-0.33998832202767293
PPP2R2B	2.525932098694897	3.7006894990854122	0.7198678637758702	2.7353567787822403e-4	0.045287561504711055	0.2615010854400319
CKMT2	2.8975354310463963	2.664413364404136	0.7186631953116689	0.008300450120763898	0.1982111029635897	-2.677708286140204
CRIP3	4.525658445763999	2.9656008509519785	0.7169978525089435	0.003364283216568176	0.13179839251941108	-1.9132368113457359
EMR1	2.615445790256907	5.178456507726758	0.7131833949101871	5.155936712173159e-7	7.824993283508132e-4	5.846078821946277
PM20D1	1.8783777837605466	3.3109648197472454	0.7074034580681825	0.0010913658087171735	0.08014497624337566	-0.9449588907034876
CD1E	2.876516221616251	3.3849976684844654	0.7019538401814751	8.468218749516892e-4	0.0725718205959348	-0.7249354242586614
GSTM1	4.628234431293618	1.7365721755580394	0.7016572965748535	0.08390374383567382	0.4877033656873817	-4.544710276011185
C2orf54	2.1074538173736306	2.5946595062930613	0.7003512479341552	0.010123932266766441	0.2143919237701749	-2.843919412673034
