Name	AveExpr	t	logFC	P.Value	Adj pval	B
RP11-529K1.3	1.7950300382505606	4.082939674804916	3.74498694190508	2.9873896664291464e-4	0.36270893736671744	-0.4507251325283139
F8A2	1.9354249880297618	3.7236181050280903	3.303943904611889	8.006459404435104e-4	0.5439134428902035	-1.0915720642662041
AC104532.2	1.6208830881150305	3.206236419605115	2.980839944522628	0.003160239117830613	0.5439134428902035	-1.9939190512025218
CYP2J2	4.0605710261122026	3.9702978905632627	2.6597558124884113	4.0693689485386554e-4	0.4117297071710333	-0.6507015310232065
SLC17A3	5.961895718447746	2.4245503465153533	2.5421817341070945	0.02148459608911606	0.5466512122461208	-3.255514814521479
UGT1A9	5.727348517822797	2.012786356296963	2.5180212244680025	0.05308024770571945	0.5898696472182623	-3.838809249391322
CYP4A11	6.9779009350793135	2.281829091911857	2.4440444870363063	0.029674448869454216	0.5664912896551227	-3.4654769371111707
SLC17A1	5.968864869973138	2.819385865066119	2.408131079571053	0.008394610021081692	0.5439134428902035	-2.6386252399463404
PIGR	7.983319999039278	2.926310306136794	2.2715210380498707	0.006440503684037566	0.5439134428902035	-2.4638413708875806
G6PC	5.459159483051777	2.761248664941647	2.2560196978633336	0.009678466699514582	0.5439134428902035	-2.7324042117174723
UGT2A3	6.425038394864911	2.7738999119092997	2.193826166269657	0.009384349955430447	0.5439134428902035	-2.7120755966677152
CLEC18A	5.441228293478701	3.0262381186024108	2.1605830002878132	0.005009590580141206	0.5439134428902035	-2.298000455406163
LEFTY1	2.8764208558431528	3.380348091845124	2.1524761373185304	0.0019934095462624942	0.5439134428902035	-1.6901961328666801
UPK1B	4.715865244461002	2.8707764447015802	2.1246170802478472	0.007394569551449237	0.5439134428902035	-2.554980892265322
ACSM1	3.177449142167941	5.078294770105992	2.0761938542021094	1.7674425561867626e-5	0.10729554611091108	1.338975270238751
LBP	3.153448469251976	2.467085095692745	2.073917532849052	0.019477730336325546	0.5465885811966061	-3.1914900112718763
FLT3	2.4186409179740256	5.478848617063214	2.0707450287293203	5.638471063456882e-6	0.05134391750383837	2.035539349804229
CLDN2	7.035663686780975	2.5923260965719654	2.038201538536722	0.014525574710742582	0.5455927789724554	-2.9993715302970188
SLC16A9	6.343378340528939	2.6080372990805967	2.003242733002603	0.01399411919114312	0.5455927789724554	-2.97490761863513
SLC5A12	6.134401227018796	1.8800587812306593	1.9981096316436302	0.06972699817728059	0.6121172691559715	-4.0109748669945064
CTB-186H2.3	1.6897790986095065	3.148427836354308	1.9959858360825362	0.003655729546079407	0.5439134428902035	-2.0901362901257623
SLC5A8	4.334072171119003	2.383375156076205	1.9639193102854664	0.023605594297786636	0.548886621102874	-3.3168730587880573
UGT1A10	1.7463372820977376	2.9469768477131417	1.955215450280008	0.006102829296872555	0.5439134428902035	-2.4284327272320696
MAP7D2	3.5850117679825706	2.9435968661002145	1.950599467892609	0.00615120730424619	0.5439134428902035	-2.433679830460623
CREB3L3	2.738035035485664	2.3888432116087674	1.950478671477092	0.023306693931105436	0.548886621102874	-3.3086217854199873
NAT8	8.456418782952356	1.818129566730513	1.9383922023038807	0.07892501580049321	0.6230526171471965	-4.0883611412487975
UGT1A6	6.733707610700516	2.6835203895530255	1.920982559258979	0.011683103222087467	0.5439134428902035	-2.8563042150809395
AKR1B10	3.2855575955684992	2.0489821783874502	1.915267556053597	0.04919302100999756	0.5872457454905464	-3.790422581422945
GJB2	4.632471938512578	3.023304521610756	1.8912233318075584	0.005046918865730363	0.5439134428902035	-2.3029012252233363
NSG1	3.6130452356413167	3.376399716854745	1.8842480857480517	0.0020137759486234265	0.5439134428902035	-1.696892638831042
UGT1A1	6.540033721736331	1.7332272240663646	1.8725528739933042	0.0932036286183087	0.6399169903449891	-4.191268920998416
LCN2	5.13038311200935	1.699159307786414	1.8616369272943905	0.09951650873076119	0.6471780605798197	-4.231496759072906
RNF186	5.2898259391098845	2.0997825272486867	1.8583565730180087	0.044160973160652574	0.580809431905086	-3.7215146100648147
LRP2	6.793293748402106	2.1352598596855614	1.8463683265068163	0.0409225710506549	0.580809431905086	-3.6727157744226355
REG1A	3.997116340279417	1.7715561740534036	1.8372976917417532	0.08650789331634258	0.6329850021217336	-4.145275366014859
SLC47A2	5.948502365532655	2.37404567512487	1.8349539564164008	0.02411194101096681	0.548886621102874	-3.3306890535648614
ACSM2A	7.344132548002419	1.8958616321189323	1.8301263587316328	0.06753331563636543	0.6089896805605506	-3.990921890346878
HAVCR1	4.581519449838652	2.5137395447388773	1.8198017127576653	0.017475217128885452	0.5465885811966061	-3.120537636329027
SLC16A1	4.857652137544926	4.327090739048069	1.804680348118275	1.493338520004774e-4	0.3399585140790868	-0.003765569702279592
AC007382.1	2.923132477313157	1.838554464056524	1.8039942818880057	0.07578288898423781	0.6205272589738509	-4.0630513805070105
NLRP6	2.6878818132526696	3.3354645138716608	1.7818690550437157	0.002239948990824547	0.5439134428902035	-1.767039956489465
TMEM252	5.903041412584501	2.3584152758246177	1.7792037487105734	0.02498245489525285	0.548886621102874	-3.353763321316035
AOX1	6.778112646697875	2.8546723319263205	1.7657972611922839	0.0076952116826516275	0.5439134428902035	-2.581265747835691
FUT3	4.576740019116563	2.558927190481758	1.7548567173192895	0.015717942418684436	0.5455927789724554	-3.051114124671103
ACSM2B	7.414682141122656	1.8274401433554253	1.7526984165782382	0.07747914874572714	0.6205272589738509	-4.07685005106411
PLA2G12B	3.918432228847975	2.1804871483811303	1.7480920597502632	0.03710142749787424	0.5699479138492696	-3.6097199697312323
CLRN3	5.335906210093321	2.0346062848668898	1.7475504138977342	0.05070586301931977	0.5885986614869497	-3.8097119852603054
UBD	6.139115948233429	3.0977260534486817	1.7309463021689648	0.004176973659360071	0.5439134428902035	-2.178007648499218
CPN1	1.602093705517389	3.6911633266946557	1.723023757164738	8.653923526514844e-4	0.5439134428902035	-1.1420967676023839
SLC2A2	4.417904206930663	2.023699559700099	1.722653277624599	0.05188077520048851	0.5898696472182623	-3.8242836179725197
AGT	6.119842101201852	2.693880444396932	1.7178154068597147	0.011395188429371973	0.5439134428902035	-2.8398914283069687
HNF4A	5.926891294336902	2.1979981192172477	1.7145806720161278	0.03570974820664072	0.5699479138492696	-3.5850973295618367
CLEC18C	5.035909939042916	1.9530419602031917	1.7110405959721655	0.060086874601662614	0.6065595918175933	-3.917346845586028
CGA	3.4784973388358287	3.4135429807948006	1.6983868742675896	0.0018227142399716413	0.5439134428902035	-1.6312429904176313
ANGPTL4	5.53958933393953	1.9305332571729221	1.6977612081240618	0.0629283661738102	0.6083915714772267	-3.94649767570039
DAPL1	3.90461742823667	2.595546268676524	1.697725940881758	0.014396089660351148	0.5455927789724554	-2.9936566219344836
C2orf54	5.168057240336251	2.4423815424155877	1.6923371690220907	0.02062131482582122	0.5465885811966061	-3.228752855306814
SLC30A2	5.269827808727601	2.3744869929727495	1.6808255404651788	0.024087767995086693	0.548886621102874	-3.3300362362529574
SORCS1	2.840294187044425	2.9838561645888495	1.669870407091544	0.005545241696008564	0.5439134428902035	-2.3653580038399094
SAA1	4.192097798389396	1.662783279341666	1.664212283331934	0.10664847608945614	0.6571285264031881	-4.273761039533213
PTPN20A	3.454886709466887	2.845809331199697	1.664121616360831	0.007835607465596337	0.5439134428902035	-2.593482681197041
SLC22A11	6.0934790115152335	1.811885151708741	1.6612568184346372	0.07990758726129907	0.6243387188756881	-4.09605667652572
S100A1	7.887153728269203	2.5488074305183153	1.6496185106549284	0.016096687582850846	0.5455927789724554	-3.0667203402427266
SLC5A10	5.792558203154527	1.9373982921768769	1.6493941340264389	0.062049608115315215	0.607922142704044	-3.93763257733841
SLC34A2	5.714601165689008	1.5770181041255247	1.6421495443953757	0.12515667974888853	0.6680060059036419	-4.370528736856316
TMEM82	4.705834647095929	2.084072910478164	1.6417639136518485	0.045666118289784036	0.5816092293408467	-3.7429467293869907
GGT1	7.7966064453643655	2.6778099617291273	1.6406764334086361	0.011844682220760704	0.5439134428902035	-2.865337267648536
RP11-571M6.15	2.4494101932280787	1.9655876812169142	1.638682140221431	0.05854290272237969	0.6052375283123708	-3.9009384082418004
IGFBP1	3.0034890501066633	2.3774384139956966	1.6305004360619213	0.023888902878218633	0.548886621102874	-3.324905006634909
CDH2	5.657605244935331	2.920298418143286	1.6272616456473807	0.006537884949878456	0.5439134428902035	-2.47374432649287
PDZK1IP1	9.412505257393068	2.117222359945814	1.6098710998915404	0.04254168725606826	0.580809431905086	-3.69759479447465
AL136376.1	2.2115627375276934	1.9715894603455295	1.6014103506936173	0.05782086532588603	0.6034576500372701	-3.8930881036532714
LRRN4	4.396074190724781	2.294770427004753	1.5923173396056969	0.02882952219507245	0.566389706814088	-3.4467595466444134
VSTM2L	2.63515473849418	2.218818112062407	1.58448851142602	0.034075367768323726	0.5683306506770008	-3.555131975331748
GDA	5.39793806301244	1.970406546170561	1.5774073082737523	0.057971720436984085	0.6039936914178228	-3.8946930368437096
SLC22A7	5.315320365502318	1.9070924776704186	1.575095310513353	0.06601076498855166	0.6083915714772267	-3.9765960429271807
ALDH8A1	6.797837399169735	2.335105918746218	1.5743822590594947	0.026333763269783324	0.5534957084044657	-3.38800257621056
SLC7A9	5.651084232051265	2.0204242588022923	1.573202195614611	0.05223823995449582	0.5898696472182623	-3.8286488473365137
CRYM	6.500856740141291	3.143627277991052	1.5697950495181843	0.0037136969230556326	0.5439134428902035	-2.1004111839240798
SLC13A3	6.698642133652765	1.9268033973572096	1.5532326271278896	0.06341031955302398	0.6083915714772267	-3.9513046776018292
NKAIN4	4.908786909875159	2.032051571971366	1.5526626324052195	0.05097894791342391	0.5898529856412175	-3.8131300202897256
CDHR5	6.071510753441101	1.645251622228547	1.5524064081937237	0.11023484758829372	0.659233599218759	-4.293873204550333
AL355490.1	0.3134367132638852	4.42207772449083	1.5474451284977306	1.1396250255785729e-4	0.29649787094052815	0.16924661772808225
APCS	1.8032248718803974	2.431381082925382	1.5437443660349717	0.021115881993647227	0.5465885811966061	-3.244472678755267
