Name	AveExpr	t	logFC	P.Value	Adj pval	B
F8A2	1.9129327252609123	5.589186520564642	2.4041014306277075	4.475890032113354e-8	2.0378727316212102e-4	7.245611894345565
GSTM1	4.659569160907503	2.899893848393462	1.734257810058096	0.003960281712091928	0.4616036742116884	-2.000662897897433
F8A3	4.1268910415955276	5.117465338441513	1.6158860765121643	5.020352644770611e-7	0.0018286132473312473	5.253859288099511
NPIPB15	3.5312855160851186	3.948517655586192	1.308361273332622	9.438623383046702e-5	0.10142273780256424	0.9765802194783335
LBP	1.93610880114727	4.7048189623857715	1.2251632337040697	3.611685879598557e-6	0.010962670539874821	3.634199377193239
SPANXB1	0.7001013215600128	4.548088811715915	1.2169537106158044	7.3791683051208014e-006	0.016798676646607506	3.0496608102867633
SPANXB2	0.7001013215600128	4.548088811715915	1.2169537106158044	7.3791683051208014e-006	0.016798676646607506	3.0496608102867633
MAGEA6	3.7343083300258804	2.2295805783459177	1.2064312336593503	0.02638574088856514	0.6460960978752636	-3.44919850938258
MAGEA3	3.754399167225474	2.2499288733567164	1.2024725069106212	0.025051138256073406	0.6366517400764397	-3.4105966206491485
CCL3L3	2.329703886727933	3.5006726052630244	1.17765792131138	5.215914313637677e-4	0.2209121662324869	-0.3982802274637569
GDPD2	2.2720463718209825	3.376459600172363	0.985339440318997	8.132945639924594e-4	0.2598547473584328	-0.7525520906632961
ARHGAP40	2.7244910071269435	4.175090876120724	0.9726115613789768	3.728800957855938e-5	0.06173538458588395	1.7293937412724008
CRNN	1.5859303163950937	2.5057980760811667	0.9261985412851721	0.01265268633829995	0.560859052588732	-2.8962565967875
SPINK7	1.9022797121489685	2.573286598296065	0.9112889269362294	0.010468338371035078	0.535166647351862	-2.7517218319493746
SPRR2D	6.332719919934707	1.8856832802963825	0.9014470619226218	0.06013665455201121	0.7025074987731608	-4.04995717293298
MAGEA2	2.5280100533191354	1.9128197583244355	0.8972176718146989	0.05655455988819668	0.7020430713826228	-4.006090179101417
MAGEA12	1.9177359361828314	2.0286505559641133	0.8958958361210767	0.04322041917795415	0.6847874517305547	-3.812059660639549
CTAG1B	1.1428904463399512	2.137039284257935	0.8953613717980872	0.03326012722560445	0.6554152520301462	-3.6204399419496607
CRCT1	3.1304098393124677	2.047361467307606	0.8877111965245361	0.04133901496970876	0.6826033433582164	-3.779673619508635
TNNI3	4.112735844704848	2.8991594087014696	0.8861472152808574	0.0039681348018007385	0.4616036742116884	-2.002254305174259
SPRR2A	6.787609438396741	1.7449111286388268	0.8793783025730431	0.0818473726008952	0.7393870782775314	-4.2675556948126845
