Name	AveExpr	t	logFC	P.Value	Adj pval	B
F8A2	1.8219985484217922	5.985154767229949	3.709869425492255	2.7256456213997652e-8	2.1388104854277862e-4	8.120058490773047
GSTM1	6.1378298037929335	3.126182761367723	2.7724053543289373	0.002262908695646429	0.2678811800663525	-1.5123974896288637
HPR	9.628680709623072	5.290835174575688	2.388091587548585	6.220954371785289e-7	0.002265920420379074	5.440908768971541
MS4A8	0.7963244647213619	6.759162239610784	2.09962077675393	6.73253521373299e-10	1.2261293131250521e-5	11.2848324022792
CCL3L3	1.9436014186882598	3.8026939466892378	1.8949867726159142	2.3465766997595724e-4	0.09922986878508612	0.38403751899302385
UGT2B17	5.007669072010587	3.140423065878018	1.8763864039774645	0.0021643802345160546	0.2678811800663525	-1.4755456675808638
SLC6A11	1.3447683367352232	3.7938512234700563	1.8459233496299279	2.4236523026438124e-4	0.09922986878508612	0.35683362265728746
PRR15	1.6139003302046426	4.6779257613973195	1.7448541811862992	8.224884405294253e-6	0.018723949348652368	3.23208189886998
ALG1L	2.869224459411294	4.166607266603713	1.663457582054866	6.14348050934109e-5	0.0403096001252648	1.5189310552383386
PLA2G2A	8.419852176903518	2.158186109654321	1.644740303493208	0.0330763804555821	0.5479570071997705	-3.676927610279695
HSD3B1	2.054359016949769	4.297106381939072	1.6223107477941474	3.7277967995179316e-5	0.03347364305021794	1.9436202539551646
TMEM92	5.123525749962827	3.152115022903264	1.619368770449773	0.0020864796657131712	0.2670085054714342	-1.4451861511618525
CD5L	6.356785103228013	3.1237850660421826	1.524890741988516	0.00227990242204506	0.2678811800663525	-1.5185888709797677
PLA2G2D	1.5500153936812753	3.507460879487234	1.5148562604419695	6.543789396915694e-4	0.1603421699322745	-0.4787367086455365
CCL4L1	4.51065611716117	3.266114442526993	1.5098791815725559	0.0014522786825463504	0.23822124944990236	-1.1443748822801592
LRFN5	0.6914131729654286	5.121185327121488	1.4755385820905773	1.2888877385216982e-6	0.003912203915659529	4.817122349910839
F8A3	4.011458053601288	2.8192555988159027	1.4656884323988733	0.005705333486889212	0.33956056687328867	-2.2726852308761663
UBD	6.647959426327547	3.951988179676197	1.4091887401831906	1.369267832436704e-4	0.07124887361239216	0.8394509378243145
GSTM3	5.780042869942683	4.336176598599481	1.3276432991511626	3.2132395835180304e-5	0.03347364305021794	2.0701765844107536
SERPINA12	2.189883076774822	3.5997350969975574	1.3207836670877424	4.775420790606787e-4	0.1342282680692515	-0.21442090558741
KCNC2	0.9272433829752269	5.405359267132333	1.2863343099738171	3.7381823532736966e-7	0.001701994425445514	5.877174357180943
TRIM9	2.0374306524809995	3.6192003502285477	1.268032996860469	4.4651641064315684e-4	0.1342282680692515	-0.15797909331220605
CPLX2	1.0899962857470307	3.1352378961073777	1.2574710816024264	0.0021984665388399896	0.2678811800663525	-1.4885801462654742
PCSK1N	2.1256739334454826	2.998918094578198	1.2573480402956587	0.0033449993919748315	0.3043309340566269	-1.8351255116136747
MARCO	7.251926115648494	2.8764279211078168	1.2334224248989063	0.004827050398301706	0.33647424339375637	-2.1360664964160643
ARHGAP40	0.7891581576462126	5.04801949412184	1.2295787714867163	1.7602980560849058e-6	0.004579792599631187	4.5502982249441715
HLA-DQA2	3.568642731928343	2.2766752670925854	1.207821631093366	0.024730435782943747	0.5139600087860083	-3.4497169250502244
ACSM1	4.539798887465042	2.5303284681132636	1.1945282753538478	0.012803193853486263	0.44015220379783065	-2.926867738415613
CD1E	2.307139511373031	3.047349348499489	1.1797790908132098	0.002885477443554271	0.2880712855236381	-1.7133614910838153
C1orf61	1.4612840941231888	3.9295427340922564	1.171364812973331	1.4828125279557516e-4	0.07501383821980598	0.771847386829597
HKDC1	4.023706076085937	2.9724890495475327	1.1713346336426467	0.0036250614341762923	0.31141329641140864	-1.9011816160706139
C21orf90	2.4189400398239127	3.3856834219489413	1.1711506114165195	9.824243286947365e-4	0.1966144161998741	-0.8187442621077015
NEK2	1.8983459069268858	3.980700452546298	1.1607799106363803	1.2293376228694088e-4	0.06996467746155523	0.9305361426568357
KRT19	5.596802608516103	1.9932791575418622	1.155241319385933	0.04869363773251225	0.6069873582371753	-3.974663281261594
RNF135	4.8544979486112245	5.927689850825748	1.1502756810394477	3.5231888075353386e-8	2.1388104854277862e-4	7.900474405378638
UTS2	0.8497049081952446	3.3723108403706523	1.1462211093985586	0.0010269794491912316	0.1989718056241565	-0.8557393084483138
CCR6	1.5063069889515526	2.748613086255261	1.1413494064174883	0.006988127112411881	0.3580646672972735	-2.437980364466392
EMR1	2.9855834086176576	4.637464186573823	1.1379419773259198	9.687046347818957e-6	0.019602276454053207	3.0923390720449326
KCNK9	0.6537561218077287	3.250302545070599	1.1273835601051447	0.001526718459881156	0.23822124944990236	-1.1860637900162896
ACE2	3.8117127482841306	2.739988670795039	1.107204407700334	0.007163533248443894	0.3612888915905079	-2.4580797217924557
UGT3A1	6.064127758074548	2.184156821079334	1.1043610713582845	0.031062611741190946	0.5403173687015946	-3.6280696540410164
TREM2	3.0148220283056735	2.5036090655877503	1.0996698858058527	0.013749420010877958	0.45118064154993065	-2.9840731384579113
FAM183A	0.9132498963055438	3.2384625832994103	1.0965052083151543	0.001585592161179897	0.23865127635874617	-1.217529280783074
TUBB4A	2.7000030514392117	2.492487341553951	1.092477613618902	0.014163169963103918	0.4564765832423162	-3.007794630436751
