Name	AveExpr	t	logFC	P.Value	Adj pval	B
GSTM1	4.127461593304639	4.799275351298631	2.255767042061331	2.488835024076317e-6	0.0011622221399609713	4.466722863949339
F8A2	1.5811276854766023	6.195998367678335	2.1705833629074416	1.8576531303642721e-9	4.183910593398277e-6	11.066133805740034
C4BPA	8.20317324002859	4.609585970906337	1.645239865968989	5.923078284046097e-6	0.0021804717492582516	3.6788066546595237
F8A3	4.049892317110824	4.900431658632273	1.53425539792672	1.5499061262528918e-6	8.064825820376476e-4	4.8979727132965705
NPIPB15	3.27188681603292	4.761566973593271	1.4922885901767047	2.963507606218838e-6	0.0013131934119837052	4.307925840994803
CCL3L3	2.3845369102324585	4.101358433315911	1.3263449751207061	5.2640968008234826e-5	0.00887682693857382	1.7046872177258425
LGALS4	4.2734704236147545	4.5537420907730874	1.225701874981862	7.605103015492227e-6	0.0026291118399745174	3.452066120327779
LTK	4.747026463976831	5.8660245401308035	1.1742150082975211	1.1530510752105328e-8	1.6153358601334018e-5	9.3859941599003
GSTM3	6.620027029930561	6.27859217242069	1.1490368652617216	1.1628520582461673e-9	3.165534643022128e-6	11.497727784245146
GSTT2	5.034295620526802	6.117877637285248	1.0719430585658678	2.881176049886826e-9	5.247197822053888e-6	10.661941834377519
CLEC2L	1.3033952989527888	4.2702112229943205	1.0179734581160353	2.6057733083429354e-5	0.005272927054615726	2.3380906621381756
SLC6A4	6.638254832872945	4.330641248073443	0.9944375267673617	2.014885061598895e-5	0.004646770067924161	2.5702556721939116
LBP	1.5468346030084537	4.106812036721225	0.9695666308475266	5.1477221992076084e-5	0.008844369499242355	1.7247902343324508
DAPL1	3.0198219743383357	2.658966777894242	0.9666351110608222	0.00824860874568561	0.12800457763809991	-2.745655824601792
GSTT2B	4.1841892707351755	4.970993995223045	0.9664150415619037	1.108744844645844e-6	5.938959150202974e-4	5.2033017109289785
LYNX1	5.262627801494241	5.278860361955187	0.9625617454440709	2.4616238842347106e-7	1.6697763476895353e-4	6.578106343044165
ACSM1	3.2931649016181335	6.36649767051886	0.9587223361731492	7.024636788724553e-10	2.5586537039250316e-6	11.962309457912443
PF4V1	1.8077097121615828	4.4323347117828105	0.9538988510799578	1.2985993384515944e-5	0.003583347144224309	2.9674066967747956
ANXA8L1	5.2547548540026074	3.0782026651980363	0.9466084896225437	0.0022702448740332657	0.06450187152245529	-1.6345294956433358
PRSS50	1.9848136092755948	4.552386466628074	0.9304958014885614	7.651160087780004e-6	0.0026291118399745174	3.4465916826316834
AL353354.2	0.748711371965212	1.963446121693568	0.9299785848250043	0.050495525526041765	0.2937592398900107	-4.244930343718259
GJB1	4.125784235604269	2.5928519380743222	0.9236204001322053	0.009973448191852613	0.13950571311061427	-2.906799810677143
SLC13A2	1.849201088776972	3.1076906139734133	0.9235699293921404	0.002061761062818077	0.06261696380439175	-1.55062617978101
APOC4-APOC2	1.8062251586272795	3.215741380984418	0.914217050146803	0.001439588266475139	0.052644956981958216	-1.236800805248265
MAGEA10	0.33685569859675185	3.9500002038600757	0.9117884323928936	9.696904823753006e-5	0.012436621876773926	1.1562826033445166
NPIPA8	2.752832733196374	3.277252342547354	0.8952580954823963	0.0011682441189506654	0.0489046732668434	-1.0536856576414992
C12orf56	0.9976733185797387	3.6149556456312055	0.8904228428496106	3.508986714910077e-4	0.027078672055907763	0.00865114198468575
CCL3L1	3.6424866595509098	3.4448527260408484	0.8815962903300623	6.507753877016039e-4	0.03774497248669303	-0.5384456776629838
SNX31	1.208250263685213	4.03264353220883	0.8709392925605756	6.962491369514031e-5	0.010566741068465795	1.4534328538772892
RP11-343C2.9	0.8730099937802683	2.861565119919533	0.8684603768358916	0.004504669171217953	0.09316641263669392	-2.227862452804737
KHDC1L	1.1561314107242386	3.9217213603093826	0.8444899208419397	1.0847040745460727e-4	0.013258141346062466	1.0558722161555094
FCGBP	3.917876405741707	3.846796972406893	0.8413854103549347	1.4551942275210452e-4	0.01606181652825047	0.7929784677898484
AQP5	5.645537607457313	2.47710340344654	0.8386823946903341	0.013782850084783213	0.1641682575173786	-3.179575620957676
CEL	2.705154177056094	3.2607639447521124	0.8316509755690418	0.0012358972576332157	0.05012953420048134	-1.1030872769805882
VGLL1	4.419809911796248	3.396942772610281	0.8296378124368209	7.710898592582388e-4	0.04070460439655375	-0.6881557080571481
TUBB8	1.0283122722313636	5.45058477484877	0.8288017262399383	1.0312632622117176e-7	8.943507872095143e-5	7.374786267555847
AC136297.1	5.014108202017015	2.5104608332443004	0.8230163200125276	0.012570625416371458	0.15715171346014725	-3.1021875692858463
MROH2A	0.924659459125897	3.6535721245143877	0.8098354587005576	3.03976167542115e-4	0.025394559464573387	0.13621223197619514
RP11-345J4.3	2.0048966788036147	2.992991623603747	0.7954875966417749	0.002986589473654156	0.0745948175850827	-1.8727658290054467
SHISA2	4.612080362468929	3.3201092329878175	0.783927486743039	0.0010081490106363968	0.046300810883823665	-0.9241985306351186
PRSS45	1.8268044868603788	5.118617969788261	0.7836084645807107	5.434150484956123e-7	2.9989923827885125e-4	5.854140390579345
ARHGAP40	2.3706413436087477	3.3102989171299626	0.7822772140198104	0.0010428832225848196	0.04671544972283341	-0.9539769920591157
CD1E	4.041497227202528	2.939107239499585	0.7802926793190474	0.00354095590879193	0.08210395671478074	-2.0201717360999085
EPHA7	1.793792340258763	3.497080057624345	0.7744594899443995	5.397287841601909e-4	0.03498057159119358	-0.3730447162337409
EXOC3L4	4.330010220224259	4.328329700933006	0.7688362672410225	2.034911586002399e-5	0.004646770067924161	2.5613222068191996
ESPNL	2.0138082006089046	4.351436216847242	0.7657424730840132	1.842765456534198e-5	0.004490038528964301	2.6509169077715837
GGT2	3.144184260829059	3.8622371655133367	0.7646390093172561	1.3701947867518393e-4	0.015499371090884782	0.846786580727338
UPK3B	7.806457009628936	3.0642352871020173	0.759869316902865	0.0023756219238578384	0.06590012138443829	-1.6740098994860295
CLEC4M	3.559628786466416	4.135391514171001	0.7544927307725846	4.5766205946041804e-5	0.008160704459612528	1.830568999905628
UGT3A2	1.0394329003390954	4.126669824687219	0.7490661190386951	4.744154542038439e-5	0.00830774447303885	1.7982216481580844
SULT1A1	7.58629299022659	5.891844938648063	0.7452178235319327	1.0022337786309136e-8	1.5210567980355165e-5	9.514877623219803
BRINP1	2.8061717292970014	2.707558495689753	0.738979170755024	0.007157250110184492	0.11933080618721319	-2.624758059073237
CCL4L1	5.348192157079734	3.492952952958277	0.738501700274294	5.478129312692611e-4	0.0350810277739483	-0.3861983339376227
FEZF1	0.9938180185625672	3.351624645005973	0.7302870709188475	9.037124907280312e-4	0.04508860075169904	-0.8279835442683599
FGFR3	5.730547126265375	3.370688788111649	0.7283056014847418	8.455235445947591e-4	0.043370494810140034	-0.7693732661937505
VSIG2	7.356519652811495	2.8653082610406373	0.7249874435213552	0.0044531474141484145	0.09289887824338021	-2.2179572035077166
LRRC36	6.019442552706272	3.7770168996592033	0.7242680836688358	1.9053915676554945e-4	0.01933150219983797	0.552256970708795
DDC	3.834266022975948	2.6577774733071444	0.7207591499844899	0.008277102583164367	0.12800457763809991	-2.748588716453311
SULT1C2	4.262143985235529	3.0105731043672863	0.7172926245482039	0.0028237004277125947	0.07212515033590712	-1.824125061567253
AKR7A3	2.30923909945973	3.2627986301928384	0.7167880244077274	0.0012273564322096886	0.0500420284937005	-1.0970035894516865
NHLH2	1.6020177844041859	3.372086837985735	0.7136082381755438	8.413967770425927e-4	0.04328677430367146	-0.7650630382820198
CTB-134H23.2	1.1029400956619229	5.63495659010786	0.7093808928430808	3.958637333853524e-8	4.8063135416093585e-5	8.25290713010574
CHRM1	3.6929571998947512	4.400327083676812	0.7036702248072251	1.4922536673625706e-5	0.003996606439706931	2.841646068394618
PLXNB3	3.6169534341193224	4.20870525013683	0.7001022679275684	3.374963109604286e-5	0.0064896695055430415	2.1048412704321775
SLC22A16	2.0610545833876937	4.5280332627503785	0.6954729321619832	8.524363986357463e-6	0.0027236090687638966	3.3486115044930758
RGL3	6.070101718213077	3.4352861251935103	0.6937335099250683	6.732996621311517e-4	0.038560168071485955	-0.5684941136374766
PLA2G1B	6.8946785724863195	2.307614269316276	0.6926860169309901	0.021684560898709015	0.19910575492732352	-3.5574130516266975
ITLN2	6.851151037463948	2.699881055171172	0.692548906887513	0.007320524541167559	0.1198734535049917	-2.6439983420107307
FAM69B	5.823314175942022	4.157809284378054	0.6921928737444674	4.1718303949444406e-5	0.007522512391359223	1.9139250857934371
UPK3BL	6.286349862596392	4.540324997898609	0.6916164964001368	8.072916987327267e-6	0.0026731629849673488	3.397945882149057
CABP4	3.7521141160628724	3.6206973060673913	0.6880945130286524	3.4351536353980744e-4	0.026873868061313897	0.02753910921252256
OR8G5	0.8442241513164375	4.068291334025803	0.6875689116773398	6.024639617546512e-5	0.009624626027610269	1.5833750454023523
LCNL1	2.6798879401849365	4.78049807584888	0.6871519940781043	2.7147194656539605e-6	0.0012360117727122483	4.387669947529903
POLR2J2	4.634796497495087	3.435779536826913	0.6855750196573593	6.721203481445966e-4	0.038560168071485955	-0.5669462051074312
CSMD1	1.883443610477873	3.285971694955152	0.6820407339616545	0.0011338739817667105	0.04805079981095531	-1.0274676682516244
SPINK2	2.258275057439578	3.044746045871973	0.6814439892372612	0.0025301883722002455	0.0680646833596911	-1.728817112696162
TDRD12	1.166602391932953	3.6358441095794776	0.6779219655978338	3.2473047278582667e-4	0.026168103408741043	0.07750249118860264
POU3F1	1.1777474146239602	3.985203634979873	0.6739167483136104	8.425607205182257e-5	0.011634058921754155	1.2822592052650421
MYOM2	5.185907743444163	4.500344531745592	0.6721886133292685	9.636565474371621e-6	0.003025881558952689	3.237499570986656
GGT6	5.013515819891436	2.904679050367484	0.6648441305568689	0.003942837538917984	0.0868282433600657	-2.1130318774117782
KIF12	3.893954578342067	2.854443380424466	0.6645251159672725	0.004604196125089124	0.0942741172090451	-2.246674482650303
