Name	AveExpr	t	logFC	P.Value	Adj pval	B
F8A2	1.8380553395766823	3.7388113223381367	2.3963993034614948	3.060709753683014e-4	0.06684886391107518	0.1914637696588013
IGJ	6.19911411905713	5.038774047636077	2.058151753010619	2.0454231707837083e-6	0.01824009757283641	4.55506225612664
AC117834.1	0.9699984749248463	2.779327849363661	1.7900067776132602	0.006491427205581761	0.19014431438523713	-2.40505081632749
NLRP2	4.42332411995267	3.435743585010274	1.7267865026484444	8.573823305162693e-4	0.10144209342936873	-0.6935162488302211
IGLL5	3.8836651395995623	3.9606537366306442	1.7179123322862675	1.389680700408605e-4	0.05501927155617721	0.8739869333672461
ANKRD34B	1.0381151771675008	4.322028845064555	1.5974901344865047	3.614333614386046e-5	0.037688303844249614	2.044179472344812
PTPN20A	2.355222008363596	4.651069467321893	1.5770270816266851	9.977552644353477e-6	0.030285198126494255	3.16761323472186
AC006538.4	0.624851802893934	2.5612334036911375	1.5643844558243822	0.01190046046574991	0.2371504119249693	-2.9064841902208705
CCL3L3	1.6364012478631262	3.3881208069693383	1.5600570345323557	0.001002701107886087	0.10410358104660876	-0.8273710490570014
CCL4L1	3.52260000764306	3.343975120931782	1.5545317140955435	0.0011577984468822068	0.11163042592089012	-0.9501520197913971
MUC13	3.101846851548256	3.6013965581841174	1.527786867522972	4.91754759462388e-4	0.07720549723559492	-0.2167803397220096
SPINK2	3.7388443397790554	3.2552986995193085	1.4796933367853358	0.0015396565414534627	0.1185356098966869	-1.1929540545264423
ACSM1	4.9439211144152475	4.1331834008404185	1.4099072304858904	7.3726633094051e-5	0.048290178978336804	1.4239503872472037
NPIPB15	3.851001436696475	2.4410055913854816	1.3685640347111754	0.016377281859461735	0.27238635362969604	-3.1677002804868346
HIST2H4B	4.943490498545336	2.1256703629066243	1.349339508162429	0.03595625897918483	0.3430253475793159	-3.7996730676339108
CRISP3	4.426941322240353	2.0969024166117074	1.329998306903815	0.03848674611292443	0.3487297826613794	-3.8534090625726964
PIGR	5.995180218409564	2.451447906245937	1.2617225355749007	0.015936038275169657	0.2692273924558347	-3.145448791279291
HIST1H4K	1.0420978014198905	2.5965451981565506	1.2582088112517493	0.01081332111916293	0.23006098624088236	-2.8276890656988627
UPK1A	5.375353380335504	3.045074082574085	1.212120917835791	0.002963312626813761	0.1447455846780617	-1.74763026431582
AMPD1	1.535607488119995	3.575297614710787	1.2007710458791951	5.37384808690023e-4	0.08224245492321595	-0.2930223833455896
AC012215.1	2.2062534676418184	2.3232485369608615	1.1967018575804818	0.022159961862090596	0.3005241370814473	-3.412811735034379
F8A3	3.480000971176355	1.8350297659681007	1.17495216199418	0.0694289751237149	0.43287932042214855	-4.311599066523709
TNFRSF17	1.6486563644264995	4.080350491222589	1.1622030537916945	8.965461978369196e-5	0.051980492236139854	1.2540485627349138
CAPNS2	3.9556207541659885	2.8256730721461847	1.1610157777853503	0.0056819480144812045	0.18302744034334031	-2.294012681251679
BPIFB2	3.7076970858073706	2.8705377990502505	1.1547065099095892	0.004987390512390467	0.17705722419425962	-2.1850517471319515
RP4-583P15.14	3.7012741110324514	1.8771439196866968	1.1410829553401718	0.06336920707000548	0.4208898611082932	-4.241718263172743
AL359736.1	0.7994146389415109	2.39503692651627	1.1233925424501439	0.018451885099928275	0.2821542665322366	-3.264659271009254
FCRL5	1.5087766709974724	3.8080452350995153	1.1211012334221993	2.3997887537166506e-4	0.06409897529432874	0.4014125660975525
CXCL17	5.523488140091939	2.2642721743355514	1.118318361130445	0.02568335834153497	0.31205580327923405	-3.5315170099475077
UGT2B17	1.0421903893890878	3.8390559213579953	1.1089035106410292	2.1500365810676094e-4	0.06215312097524334	0.4963596343650636
TGIF2-C20orf24	2.4200434088470977	1.6447500898363234	1.0655032895725307	0.1031141684373317	0.48739040632771474	-4.608825176535386
SNTN	1.2124871685360659	2.577325044478874	1.061123896810946	0.011393402030264376	0.2337809823241781	-2.870693058316956
CRYBA4	0.8435522017125431	3.265300949761233	1.0575840700011072	0.0014913297366821736	0.1185356098966869	-1.165825396523343
CD79A	3.673801316888713	3.229606738152745	1.050987169809038	0.0016705803121316518	0.12180060175424774	-1.2623339264148106
COL2A1	2.2077237886516574	2.0665105133921444	1.0483438079522145	0.0413254895059641	0.3567659117917006	-3.909454274269269
SNX31	3.398807912719868	3.7867821631148413	1.0404923265138453	2.5860736360502093e-4	0.06488780798445454	0.3368289983878734
ELF5	4.434705589134804	2.9656469122798814	1.032879354951139	0.0037653684951579696	0.1605969345054261	-1.9493364775929227
POLR2J2	4.6352448732651546	2.921132370148865	1.012660104237761	0.0042981389276549025	0.16698271831387967	-2.0604550080159454
HPGD	5.678363475164226	2.7251236377830725	1.0022198010005692	0.007570928715645486	0.19925108926204566	-2.532943439528693
CLEC3A	2.671584466989565	1.7504085627427515	0.9922707908460895	0.08306863052318225	0.45566405614210137	-4.447541740815106
AC040977.1	0.85121307137641	1.7298137230673793	0.9785958973248383	0.0867024060433959	0.46197916103257136	-4.479718584548855
GJB2	3.453833820158543	3.8679739650011764	0.9730801078553539	1.9390727926800244e-4	0.06040419746315226	0.5856128708143569
CCL4L2	3.626616936759961	2.7877058834323774	0.9524403517418749	0.006337715127666929	0.19014431438523713	-2.385092782360404
ANXA8L1	3.807693708767434	2.317495993469819	0.947471234780938	0.02248378671239574	0.3015299472781292	-3.4245100439945753
MZB1	5.150284536634981	3.2692496568535168	0.9407182942594154	0.0014726446024743859	0.1185356098966869	-1.1550973253332701
OLFM4	6.737667026841442	1.489389016673701	0.9360793283775104	0.13948483576962975	0.5331183552079641	-4.828710747269298
PCDHA4	2.360090545598254	2.786109045779852	0.9347494856182323	0.0063667534544243525	0.19014431438523713	-2.388900664588102
SLAMF7	3.716607120251085	3.963970991827954	0.9332121178846702	1.3726510413428658e-4	0.05501927155617721	0.8846397587552941
FAM3D	6.675005014291929	2.4241530863120326	0.9300646824665355	0.01711239248432141	0.27676058967648015	-3.2034349041654533
