Name	AveExpr	t	logFC	P.Value	Adj pval	B
F8A2	1.923969017095238	4.355853031489978	2.7304052612832805	1.9466933871229082e-5	0.030263090597555633	2.5578695022731583
CXCL5	5.1039445928539156	3.3119296326946706	2.242422316785018	0.0010661189038709978	0.07053141224697887	-0.910371592345097
TTR	3.449314848963644	2.839230845915142	1.8043972459601978	0.00490004321466869	0.10498259648261998	-2.198916654811777
AC010327.2	2.1375533092581382	2.722896029789143	1.758237495165246	0.006934384577483226	0.12038990650631506	-2.4879003376853857
NPIPB15	3.945281831208039	2.99396937288042	1.6712391476796329	0.0030344315667724703	0.09035098025995691	-1.7971301254735446
CSAG1	2.765891261852997	2.5235194797801155	1.6180012735656053	0.012249317336490059	0.14976343602800363	-2.9567461889920144
MAGEA2	1.990089219902656	2.4738022606838754	1.578745668569584	0.014043993318277487	0.15972534849829234	-3.068417244218356
ELF5	1.8375243816843927	3.417304970799866	1.53660673603273	7.398443159869275e-4	0.06932531644461964	-0.5981665322857852
AL590714.1	1.048514947017331	2.8005050358733805	1.4779417021253356	0.005507341103980851	0.11070606643013162	-2.2963673623928416
NLRP2	3.9881007573620337	2.7014674829125114	1.464920196685473	0.007383371061532574	0.12223617709709873	-2.5398964979562773
MAGEA2B	1.6849268076555795	2.3050824676729587	1.4637576055525203	0.021994645080917124	0.19102236496867625	-3.431639481613005
ARHGAP40	1.8244813042700125	3.1570705904107528	1.4468947189554822	0.0017924472886747915	0.08101724173651803	-1.3523516319793432
PRAP1	4.89632119458283	2.3659565248443033	1.4389230902637524	0.018761365426962107	0.1793606231789154	-3.3034594639703534
FGB	2.7037454575293287	2.3236223366664013	1.4382926914661187	0.020961068247346847	0.1880507265619117	-3.3929210146207853
ORM1	3.562351076058429	2.1381460256028624	1.4363757508465747	0.03349083776076795	0.2274180228557442	-3.7669033174381688
MAGEA12	1.9368674182530707	2.1978215330004756	1.414190939938246	0.028893750280837693	0.21390771549374638	-3.649821033042974
RP13-512J5.1	1.1745616508215189	2.568533715416023	1.382713459644402	0.01080383675547285	0.1435538522662635	-2.8538273825047455
FGA	2.7455206778836536	2.2071069879882868	1.3409056329172535	0.028230056579453423	0.2120106352268065	-3.631326676054961
NOTUM	3.3952869757109747	2.4291146502537972	1.3373229417842647	0.015852507826678	0.16659311744919775	-3.1669938017564068
F8A3	4.473408890359413	3.1024297675928962	1.3371890753454387	0.0021433691265248006	0.08333636791896562	-1.503775821943246
PRSS1	4.644747781691693	1.8366058655914532	1.3267766134367074	0.06747748586939148	0.3097832193635885	-4.310910583738648
RBP2	1.8122676966196276	2.349280838998066	1.295917235831736	0.01960098469802332	0.1826883998569093	-3.3388483251606105
RP11-599B13.6	1.9622340186204816	2.155310400861651	1.2890751802941345	0.03210766814714981	0.22365182205810827	-3.7335379481037667
GOLT1A	5.172968305693083	2.798703278043208	1.2829089549902504	0.005537678521941907	0.11109193490132954	-2.300924015170871
ORM2	3.5415637011258227	1.9362580441787147	1.275121171074224	0.05398177434169348	0.28137266007753914	-4.13994822601712
APOA1	3.638979164600143	1.9736595367334004	1.2568506833973032	0.0495392416150616	0.2703651987694042	-4.0735278383589035
S100A7	2.563241648240707	1.6816387274471298	1.2390799325279858	0.09390818400858597	0.3592234986920845	-4.559297322384996
FAM155B	2.2239280023135173	2.70959881176525	1.2006313889677538	0.007209774226676457	0.1218507411190868	-2.5201931888188422
MAGEA6	2.276471930259791	1.6178235752650354	1.1998733012038907	0.10698243486179798	0.3812214981344911	-4.655383734265538
C6orf100	1.5635762128474755	3.4393661793309307	1.1931900419496677	6.845878096307154e-4	0.06817978763163163	-0.531684805041996
PLA2G4F	4.114184410587041	2.6871099541475894	1.180987393047046	0.0076987085980762355	0.12342133987245119	-2.5745193737891325
RP11-500M8.7	5.601359204693672	1.9040734336265213	1.176925745576697	0.05807013791195877	0.29083263045820923	-4.196130762745504
FGG	1.8566880757433197	1.9050569490728322	1.172632583513344	0.05793832360142177	0.29083263045820923	-4.194410268656651
SERPINA10	1.5545957317640455	2.5580198682391915	1.1726280930075192	0.011127074014175018	0.14429453130707706	-2.8780196178982207
NOX1	2.8892505149458	2.297467753654929	1.1690357610109734	0.02243191463055968	0.19252122019404003	-3.4474562243653284
FAM3B	5.49259022890644	1.9756054164053685	1.1663196415377266	0.04931976595402771	0.2699764284805388	-4.070059376033528
CTB-134H23.2	1.464657458860746	3.863500906588779	1.164591465462329	1.4297030948393885e-4	0.04428295191585638	0.8191605997523892
F7	2.008230179312053	3.098249181950313	1.1582774147885497	0.0021724717741784506	0.08333636791896562	-1.5151999528155615
WDR72	4.197137072191218	2.2146527984766546	1.1511782258243275	0.02770048129521387	0.2103572525512071	-3.6162422524263937
GABRR1	1.2936182147696638	2.9515301757356807	1.1497856844743866	0.00346727635359277	0.09382769235012114	-1.9092584979223792
C1orf194	2.18978135163409	3.6712131049523244	1.1416714171040607	2.96006350607542e-4	0.05724534038901811	0.18946552118003535
GLDC	2.565666434008321	2.954616164067213	1.1242467573640509	0.0034338911027441948	0.09368562915926494	-1.9011364337101964
GSTA2	2.603601521350535	1.913840060718161	1.1153961940235657	0.05680057215944777	0.2888913088139802	-4.179164694693334
DCDC2	3.1951329481043627	2.4571063321386206	1.1107494377618843	0.014697038976229596	0.16092252602045695	-3.105445855193297
CT45A5	0.7769779529604461	2.3678530580124586	1.0992355155365403	0.01866551112406486	0.1792951694435532	-3.2993564136911613
