Name	AveExpr	t	logFC	P.Value	Adj pval	B
GAST	0.8909144017615006	3.170136282681515	1.8848490004141023	0.0017817773596022107	0.24108677914726326	-1.3304796089442856
F8A2	1.8103134283754478	3.798901505088323	1.6082440576520702	1.9659568098744396e-4	0.09945557061509248	0.5092678017993748
F8A3	3.8653603087463617	3.2081544619212057	1.479248242913382	0.0015727342854144188	0.2304227799945834	-1.2273880698294448
SPINK2	2.8751502267941196	4.47356016491848	1.4582195082625926	1.334809378703865e-5	0.013505304669419328	2.7891150561058344
LGALS9C	5.522642339836492	2.8873854027842665	1.2903122817045496	0.004344442193597437	0.36372765551746605	-2.061895923543224
NPIPB15	3.768440810915094	3.448042106047125	1.2844307782090074	6.979900654217958e-4	0.17579552835076118	-0.5527012857350089
GKN1	9.004378434652061	1.75385239216842	1.2594618759915672	0.08110124274474087	0.9058192282527582	-4.353945843443627
UPK1B	3.5004620090278222	2.7829297126264785	1.2457413953746181	0.005941687047015446	0.3878494784955029	-2.3164125431433855
CEACAM5	6.0718579124076735	2.514698763793394	1.2280918956407643	0.012760198133188173	0.5141343548708474	-2.9308224381763632
MUC17	1.924440271623364	2.3212280891865134	1.2193240661680163	0.021356256098103245	0.6314018494691437	-3.338035052808009
AREGB	2.109774835290299	3.6306125289393325	1.1881459197421127	3.651357923118166e-4	0.13652752396469287	-0.010925500865626603
GATS	0.8625246169107513	3.1691468318693006	1.101095829821886	0.0017871027446123731	0.24108677914726326	-1.3329803725926022
ATP10B	4.142169198765017	3.4112684074491546	1.098304363148705	7.928003210426966e-4	0.18096863238471336	-0.6588515463222464
CCL15	1.9603770906268707	2.7718257768001893	1.0580926924630232	0.006139561803943933	0.39371020976558774	-2.342960761284915
CCL4L1	3.7792448402446626	3.4979511973536996	1.0550681348840567	5.861178398762383e-4	0.1679251513267095	-0.40693610886923803
SLC6A20	3.481097303403132	3.375947459894782	1.0492590823801309	8.950315871684234e-4	0.181120387373436	-0.759826035822913
NKX6-2	4.1817684887364726	2.299333584075539	1.0431404649125802	0.022595348058766482	0.6384777177224341	-3.382214640829779
GSTM1	5.649808965053304	2.042315249630794	1.0185643683513623	0.04253034147686913	0.7631158413563947	-3.8711024968485694
KRT20	5.632413914912371	1.7278243092404402	1.0167439193785848	0.08567788849793698	0.9167836106489002	-4.39404196491183
UTS2	1.127632932706648	3.6289302060927167	1.012336387553552	3.6733190612068693e-4	0.13652752396469287	-0.015961334793679782
ACSM1	3.2934690024238056	5.724177048529502	0.9883692473710401	4.083209314960496e-8	1.487268160881211e-4	7.751411092778855
CD1E	2.8639782369404707	3.1783537305270224	0.980163248261336	0.0017339318257880308	0.24108677914726326	-1.3080581691420035
LGALS9B	5.04561043686042	2.0787176108720424	0.9621984066250802	0.039014146399638266	0.7390443175080119	-3.805195346520231
GKN2	7.791577825816489	1.4054108684353785	0.9357944817396584	0.16156560182210025	0.9985502479924093	-4.84245423710067
