Name	AveExpr	t	logFC	P.Value	Adj pval	B
F8A2	2.136424762012357	23.885836604587947	2.743845518846368	2.375380920687251e-115	4.326043732755622e-111	250.68851593403343
NPIPB15	3.6554450100839544	16.16313933947193	1.4946671290481892	2.3529371444287025e-56	6.121670182047933e-53	116.86299429695218
F8A3	4.30578002021818	17.89763694111249	1.4730166101812454	4.59089328160073e-68	1.67218696889025e-64	143.41371849263368
GSTM1	4.679895853361051	9.1180926335826	1.323767023794793	1.383927608923841e-19	2.6530620646022098e-17	33.69750563310911
CCL3L3	2.3755351665898927	10.508940015367232	0.9178004623957277	2.2111355896773792e-25	1.4381857628287298e-22	46.762188451303224
CRYBB2	1.830797234666694	18.95276674905283	0.872786670777562	1.1875092968531122e-75	5.40672982857222e-72	160.62249149707512
CTB-134H23.2	1.0731326578072273	15.750349425203595	0.8013174170777805	1.031539379194964e-53	2.3482993967373354e-50	110.87475461571788
PNMA6A	0.8944274856198574	10.834366578417676	0.7241032546146354	7.591905989628892e-27	5.760991328463391e-24	50.06737645114439
TUBB8	1.7275571138924166	14.06560513219637	0.6380985337280454	1.5656110299074481e-43	2.5920825524249496e-40	87.80767633440603
ZACN	4.545039623157962	7.070629443525002	0.6083996130890554	1.9208319886487426e-12	6.269210067611272e-11	17.672162762393057
ARHGAP40	2.6962540735990843	7.011670412668655	0.6013269246227466	2.912201881551611e-12	9.113788660350396e-11	17.2684265265786
ACSM1	3.0269429230345546	10.175275015955812	0.5657371865794731	6.36351249194643e-24	3.219230263981344e-21	43.47040440300367
C4BPA	2.5963535486521896	6.705029569094532	0.5627457599523737	2.4070026780978584e-11	5.972252421460245e-10	15.221391636835035
TBC1D3C	3.5505703372082404	9.746590399976501	0.5531898741651875	4.1216872663183544e-22	1.3404315802533907e-19	39.38654147318988
C6orf100	1.4154557259892802	9.748616857292209	0.5530359652552082	4.0427831887713004e-22	1.3386757715255076e-19	39.405459887127485
ST20-MTHFS	3.1491703536858515	8.661286368804104	0.5518526083116493	7.577661317488114e-18	9.787543823694577e-16	29.787377368496202
MSLN	4.2707303919613135	5.206037854049628	0.5483046168418175	2.0626231891375046e-7	1.728692752902542e-6	6.499137828175094
KM-PA-2	2.5524823219361035	4.352499857548281	0.5380398724858826	1.3920525569287208e-5	7.177820262396904e-5	2.495782497661711
GJB5	2.8985982511878947	7.463977544783261	0.5343853493297126	1.1009394038768088e-13	4.8665797144185544e-12	20.449134734965277
RP11-683L23.1	1.961955506357487	10.277015474254098	0.5279013520462086	2.3085796674855267e-024	1.3562533194918198e-21	44.46367507911138
NPIPA8	2.859615636413922	5.707597862207706	0.5236745633211988	1.260562311907458e-8	1.4330437468451075e-7	9.178851905583313
TNNI3	3.204665320207805	5.880167486111058	0.5233822053152855	4.5619066342656e-9	5.8508058889609226e-8	10.156551343673334
RP11-599B13.6	2.363973573428827	4.521376405246059	0.5190682410203338	6.3878925838565334e-6	3.611806884110375e-5	3.2319697136219343
P2RX5	3.509990775569272	8.21094070459659	0.5125647259775739	3.2533453225404996e-16	2.9924204552579584e-14	26.119534244914455
NOTCH2NL	6.130384948834459	19.0514631465309	0.4966200254589914	2.226560511734822e-76	1.351670667990486e-72	162.27157000063764
GOLGA6L10	1.2513301829697965	9.718218505549041	0.49369743220268203	5.400498883674678e-22	1.7255067661312846e-19	39.12206413542403
LY6D	2.956586851672021	4.740196283755714	0.4917677717076314	2.2371052664836295e-6	1.4200822974276703e-5	4.2269499823013685
SCXA	3.9174166711532483	10.61172843252712	0.4909231432590899	7.70008152623366e-26	5.1938475835469405e-23	47.79609827860088
GSTT2B	3.723392121279823	7.435551152544042	0.49049533807326906	1.3601723312205536e-13	5.814896360607681e-12	20.243595218215432
CXorf61	1.0059142005420045	5.223298447991852	0.4892649427446346	1.8808559645276238e-7	1.5933988327362532e-6	6.587344554621602
SLC22A16	1.4704940784558032	9.65902209735769	0.4882128095004086	9.468758670577105e-22	2.8740838818091707e-19	38.57255693022969
GSTT2	4.657922374728269	7.7833633943706495	0.48430381244377063	9.719315550814807e-15	5.980005905791867e-13	22.81027258389647
KRT16	3.806606125504963	5.180588640516338	0.4832074772996586	2.361940541921933e-7	1.950823634897154e-6	6.369607577102343
UPK3B	3.0681331206457134	7.848380930247466	0.4830309885107851	5.861696104252582e-15	3.81261462323743e-13	23.30255757540784
PRSS45	1.7547126135534998	9.918524675062926	0.4805295885931631	7.891284975418338e-23	3.057788978134442e-20	41.00476237307636
KRT81	2.9642241806380167	5.838747050341031	0.47467810448829084	5.837212148621177e-9	7.26639150038885e-8	9.919287778609776
GAL	2.9911829661007445	6.147418868830948	0.4686423641854631	8.944381607316956e-10	1.3816376406484851e-8	11.72674500802456
RIPPLY2	0.8578838846605201	7.135689716241967	0.4671960501831219	1.2089875747014798e-12	4.1309721783233306e-11	18.12146835647851
SERPINC1	1.4166949785335394	10.918476931665406	0.46619659510560996	3.128269327970664e-27	2.8486020500500867e-24	50.936775861266035
CCL3L1	3.3728378593450077	6.409284498184096	0.46340102960319873	1.6981246778779905e-10	3.2657071418705345e-9	13.331199063924737
CALML5	2.579535540400932	4.49014328971032	0.45908489789086193	7.392685351621974e-6	4.114779511727976e-5	3.093731470088075
SYT5	1.9790588544448275	6.34977819790044	0.4578044947364215	2.491114865413841e-10	4.582644841304734e-9	12.960887171394498
TBC1D3H	3.4698953393589562	8.979021220467988	0.45336039873061607	4.776310037217465e-19	7.766621285518257e-17	32.48696880421863
CALML6	1.9159325722475788	9.495609051784772	0.4513389987171106	4.389018172497447e-21	1.1418971279646216e-18	37.07198179568243
RP11-514P8.6	2.009460059834779	5.127076936224051	0.43817100767249806	3.1343391456540363e-7	2.5080221669881945e-6	6.09927892017318
ANXA8L1	2.1190275482331358	5.726371168137649	0.4378032292479821	1.1301432975446036e-8	1.306804427611576e-7	9.2838330960687
PCSK1N	4.291620215245467	4.897958369923675	0.43223541547427136	1.0209877901615688e-6	7.102455933698431e-6	4.9730127882942305
DNAH10	2.1452162367500085	9.11203129481698	0.4306228232508338	1.4612254191000904e-19	2.7720663888177965e-17	33.644384491500915
UPK3BL	6.79076863119992	10.060524227307306	0.4238179950056091	1.974969639643821e-23	8.525664113551053e-21	42.36115159548505
CAPS	6.275702063107362	8.129119396841851	0.4187586374220933	6.314026038397961e-16	5.5551228121402734e-14	25.47318507362712
RNF112	2.3404431608370935	10.817995992145	0.41791561776859854	9.015156885884991e-27	6.567361488229499e-24	49.89889769592368
COL9A3	4.285950262653611	6.110593907202138	0.41709108071646384	1.1240399683634255e-9	1.682088406231282e-8	11.506344599308731
TREML4	0.7016276610578088	11.107911849425399	0.4165712815845887	4.151846900139325e-28	3.9796545129124937e-25	52.91747584394438
AREGB	1.6799797990730685	4.840613850091069	0.4161217793858629	1.361524547091422e-6	9.159987089630209e-6	4.699048182847438
HPR	0.9846335951637869	7.150235211959783	0.41572914922998216	1.08951960809818e-12	3.7580172542962223e-11	18.222462869013235
IZUMO1	1.4585463232639444	9.064638029785382	0.41421843400553904	2.2325239313445384e-19	4.1069420038027004e-17	33.230137695678074
CKS1B	1.8647969648448948	4.773561161080096	0.4083066424609665	1.8988380754195361e-6	1.2289139669346337e-5	4.38272937687587
CCL4L1	4.546106487476176	6.887431237188391	0.4078365622017488	6.925527314231492e-12	1.949423546318144e-10	16.428371367354778
NTN5	2.1902300058913498	9.33151966551536	0.40757353684082753	1.9983869285656903e-20	4.493163301609673e-18	35.5894140215441
EXOC3L4	3.69606638120572	6.870774953891271	0.40720753190694925	7.769931866010283e-12	2.1440302900572617e-10	16.316852896843372
LCN2	6.120297386514946	4.256522900321819	0.40628422783983886	2.1415710022241414e-5	1.0504252920147069e-4	2.089713658453821
GSDMC	2.6376566823585006	6.4921565619299555	0.4057846402991556	9.903670597740075e-11	2.044962005964198e-9	13.85251024898018
ESPNL	2.1203477677843985	6.841061257163358	0.405231716629892	9.533907623755585e-12	2.58765313925241e-10	16.11856043742398
NBPF16	4.214371275393568	11.615358387762846	0.4006559960812943	1.5917192216399206e-30	1.610466136917013e-27	58.37689939002556
C2orf54	3.505882343891822	4.915371032762989	0.39854429726432183	9.349678087298815e-7	6.571838569119491e-6	5.056830257512631
NPIPB6	2.2878382037589717	7.703534947116981	0.39715901966989575	1.79867386955081e-14	9.896510124549654e-13	22.21122103425543
WNT6	2.0845263595982053	6.339295908513567	0.3946267732598101	2.664162687301123e-10	4.842288509094616e-9	12.89600310747708
SPRR1B	2.4220690678124717	3.722942487791331	0.3930098105622126	2.0062434854142025e-4	7.61202215757572e-4	-0.0045518118501863825
