Name	AveExpr	t	logFC	P.Value	Adj pval	B
F8A2	2.7440998179662963	6.940923210566391	2.698763180866611	1.9985934832796435e-10	1.2132794839162956e-6	12.823345204536684
IHH	2.9441055058966232	4.981862076120699	2.014216011259096	2.0910510457687433e-6	0.005440317377934337	4.580190867122312
GSTM1	4.630615185168496	3.210269112544265	1.5390102151972798	0.0016935110315539057	0.10100535604316987	-1.2933041715669171
MS4A8	2.927026943574361	3.6091177266814585	1.4578274860829072	4.460298867343839e-4	0.05849747415028824	-0.14123556978442764
F8A3	4.509391686612538	4.9129040664212384	1.4145575934935137	2.808606543343555e-6	0.0062075902128144	4.318372500907662
PGR	4.1978258921927685	4.104869704155263	1.4113641770052565	7.328840327941025e-5	0.030334736375559536	1.437013640287704
TEKT1	2.7905633411998987	3.6689640654683893	1.3869570763280046	3.617126613011046e-4	0.053550998436732486	0.040935721222890464
TMEM190	3.0721047179967753	3.4725633959027213	1.3653893725481958	7.129988898820082e-4	0.07025654452938902	-0.5479588451527615
FAM150B	4.33958101685632	4.3571288914245825	1.346256069183346	2.7563082066741678e-5	0.018338921199821175	2.297711706171654
C1orf64	1.3537393844938324	4.375907205067642	1.3093351754687719	2.5588997948874345e-5	0.017924108870957675	2.3632520064918676
SCGB1D2	5.79909336421998	3.548266306937696	1.293221422269137	5.505851542185081e-4	0.06469197953953207	-0.3240280614772475
TUBA3E	1.2879884190852622	4.723501777193356	1.2836852482008934	6.234592413762567e-6	0.011354439703944386	3.611474325072784
C20orf85	3.4410493794835832	2.6995467895046192	1.2702683963562453	0.007924984682687305	0.18647263700400674	-2.601932489268514
ALPPL2	3.6959017660532663	3.2153667896152105	1.2686956039709534	0.0016660408718409791	0.10013840382167627	-1.2792787901389806
NPIPB15	4.286092151720167	4.351389516209087	1.1651272271010842	2.8195134724082632e-5	0.018338921199821175	2.277719937445637
SLC47A1	4.751460275376938	4.075073404114536	1.1528204583260653	8.205247631611259e-5	0.0308157390750135	1.3378314627472347
UPK1B	4.025430134580247	2.965571794119343	1.1508480731362436	0.0036326006621651133	0.13927773317758113	-1.9444637031234708
