Name	AveExpr	t	logFC	P.Value	Adj pval	B
F8A2	1.9196819183997407	3.5739364013130044	2.7502773692732876	8.627674457102823e-4	0.5068619587508278	-1.0699398006514942
NPB	2.917067042339916	3.998552852104006	2.079502931599184	2.372036828684641e-4	0.39272304294549715	-0.18613279805851146
EBF3	4.321758106744191	2.274669273867362	1.6784936129830155	0.02781599238432301	0.845598689645438	-3.4309204146988943
TMEM151A	1.8024757067745478	3.1370083092071788	1.6641401026247333	0.0030244812583983057	0.6124055967700234	-1.929714554071165
DIO3	3.0995017205128836	2.1347478786231955	1.65191445686808	0.038346245622517705	0.8571140407540822	-3.64256876548244
UPK3B	3.659262146236731	2.6762826695558575	1.6326229112020996	0.010394374930440705	0.7790220421118771	-2.7707787040182086
CCL3L3	2.3899078354978913	2.809481039720453	1.6313178071004033	0.00734712938509809	0.7617908113612285	-2.5354972337102373
KCNQ2	2.5613034397411942	2.031410856622386	1.6264175029951793	0.048234223754163585	0.8657794863469216	-3.792250192744816
AC007382.1	1.6345429919560746	2.199628740117114	1.6257867383081321	0.033090907150293156	0.845598689645438	-3.5456852385640807
SPESP1	1.6709408118337064	2.86937143310382	1.621434864771206	0.0062729662421655945	0.7573197077932536	-2.4279058822597865
PCDHA10	1.3285614437244793	3.3093124110283605	1.609174191338194	0.001859496924311574	0.5721669815110678	-1.5964825569029752
ZNF98	2.305238942977555	2.4995819292325248	1.5997759489468155	0.016199321705019677	0.8289027725420111	-3.070108997532324
F8A3	4.169366395046178	2.721438972097326	1.586948446082042	0.009254275877590534	0.7641763862350383	-2.6920722054726576
ZNF208	1.9656129660459978	2.771355061918422	1.5790863845723704	0.008120299400559208	0.7617908113612285	-2.603477569289801
GCGR	2.652689800839277	2.5180342148943153	1.569399256626242	0.01547550535707292	0.8289027725420111	-3.039405774851395
CCL3L1	3.1460664141767594	3.375004917323247	1.5329359200405817	0.0015396797748106043	0.5721669815110678	-1.4670877358904972
DOC2A	3.934160345712327	4.007042330197056	1.5292913970049407	2.3103676818434418e-4	0.39272304294549715	-0.16814850485347232
P2RX2	2.5055738276454305	2.3541811650391864	1.5272108109574722	0.023049859220205714	0.8323105953500737	-3.306080753870531
MEIOB	1.6643170617084728	2.5137417151112014	1.5255762831634805	0.015646304910019237	0.8289027725420111	-3.0467329774015997
MZB1	3.805188405549639	2.4553241207534993	1.5176988720972506	0.01806573599807247	0.8289027725420111	-3.143204215646872
TMEM145	3.343756327955275	3.0935153453514244	1.4988460044755691	0.003412618216483732	0.6162880183258318	-2.012332956388065
MPPED1	2.2698853969346624	2.375139112504296	1.4876056092372036	0.021920788971620368	0.8289027725420111	-3.272622998206019
KLK11	2.9849815723992115	2.013631296235784	1.476826015705205	0.05014242218419507	0.8661374349222986	-3.817417231271487
IGLL5	3.8329328839468935	1.8459846362373713	1.4727302856591225	0.07157791828564845	0.889976919067651	-4.045969798353389
ELAVL3	2.004413154716025	2.8767753120666733	1.4711389467630873	0.00614809400224879	0.751470389053389	-2.4142440489778147
PCDHB6	3.7404495161068527	2.769741758003373	1.4644080580289445	0.008156666385648999	0.7617908113612285	-2.6064865716549166
CCL19	3.244549093888868	2.264178344330937	1.4570490369994045	0.028505291011377554	0.845598689645438	-3.4471368234478454
CCL4L1	3.8915638664574828	3.580544713761483	1.4522774246173609	8.437786653881488e-4	0.5068619587508278	-1.0546660461702357
LMX1B	1.9576917231757904	2.3570086358925932	1.3980098764823228	0.02289128324174669	0.8304702199177106	-3.3015103784484223
TERT	2.40617813045112	3.2793984021670037	1.397091771687312	0.0020251845940409715	0.5721669815110678	-1.654988292340581
KRT14	3.5973590657269914	1.487473127645189	1.3619796368919244	0.14396823066823727	0.9317917283962498	-4.478447748875922
C2orf74	4.366189504158623	2.3816187521738077	1.3535219713245699	0.021593167598180547	0.8289027725420111	-3.262491351517316
CKS1B	2.9965052921404083	2.2741445192160343	1.3530102380464033	0.027838133213362766	0.845598689645438	-3.431534361682486
RIPPLY2	2.5939853267073203	1.761380669566546	1.3460958923809887	0.08506939100176737	0.9004550182362052	-4.155120341841833
DLK1	6.759291927690433	1.06687812987251	1.3404299020892445	0.29180226082243105	0.9609590254571457	-4.8792040248933315
FEV	1.5434531024652436	2.963015854876617	1.3401081049286532	0.004877205724362843	0.6939349269695008	-2.2563463744775882
GALNT9	2.3073221557095467	2.4274475725284765	1.3400649307607273	0.01931846393210418	0.8289027725420111	-3.1882308712115015
C5orf38	2.1703911608720357	1.950068866877351	1.3328659965598635	0.05750867274968467	0.871337727219016	-3.9059516054768197
GPRIN2	3.451698966633142	2.441849033636902	1.321500253608571	0.01865686501897224	0.8289027725420111	-3.1648786667378896
TNFRSF17	1.3057876534163255	2.7640578542754684	1.3183573791856276	0.008275409048075142	0.7641763862350383	-2.6163384915963572
LILRA3	2.1044973367321624	2.553761982982235	1.2923631783013245	0.014155945852522714	0.8289027725420111	-2.9794732255916694
APOC4-APOC2	1.7340935527590586	1.9441775875692564	1.2664265696269164	0.05823633741724548	0.872576205909504	-3.914042423514297
WBSCR27	4.1737038620098845	2.945372705058741	1.2646327417190988	0.005115311950418262	0.7035705425158922	-2.2888727064773255
TSPYL5	3.6981879458888716	1.6329898565625602	1.262415785377767	0.10955420783187393	0.9169172559677496	-4.312510615747381
PENK	2.856653366794714	1.3032084640630768	1.2597552021491172	0.19923133814355165	0.9538152143285281	-4.668814445442289
EMX1	1.5379796612447887	2.0632178329255195	1.2510570952920923	0.04497482570816704	0.8657794863469216	-3.7467701250416914
LY6H	4.626835612135595	2.0531125332714857	1.248283513624668	0.04599082972249174	0.8657794863469216	-3.7612958421290825
FXYD7	4.510261330329661	2.6138892870853185	1.2164452478636303	0.012182821531612929	0.8278085457381634	-2.878116059957688
NPIPB15	3.2386411177556123	1.896044007446849	1.2154023617014023	0.06448322894986239	0.8805660435724557	-3.979406435876726
HIST1H4K	2.1424878952599937	1.7699464363125048	1.2129182632711752	0.08361301260000492	0.898062054560908	-4.144263178508831
C2CD4C	2.6857016406085825	2.238794080910247	1.211125196345896	0.030218298609464688	0.845598689645438	-3.485873945253487
IGJ	4.557886131422668	1.7323124390744475	1.2109629470000094	0.09017062530803087	0.900860711282433	-4.191635170498921
C19orf33	5.905612389852088	1.9253413717255128	1.206690898558712	0.060616202338539676	0.8747561624322382	-3.9397790354636237
TDRD12	2.7344582224568517	1.6868886253755746	1.2014528546051375	0.09864994046699843	0.914259055936388	-4.247668388285636
CACNG7	1.6920384116557188	1.6996151903220418	1.1968771004116563	0.09621033117184262	0.9106608904759971	-4.232096425476016
TSPAN8	4.405512248856989	1.989813984825699	1.196146338254498	0.05280092358597777	0.869727622765066	-3.8508563513704273
DDX25	3.5378404943769297	1.5954718522969473	1.1891839134416542	0.11771145970398991	0.9202159627337745	-4.356578267526211
RP11-434D12.1	1.6643028969179716	2.035050284109801	1.1884181920210588	0.04783968401097514	0.8657794863469216	-3.7869824256192723
COL22A1	4.487642892657651	1.6032042280617305	1.1868020446970613	0.11599109391846607	0.9186519051097415	-4.347568293120702
CCL4L2	3.252296865983989	2.0469762610957236	1.1848474302047403	0.04660138799971247	0.8657794863469216	-3.769954900512568
KIRREL2	3.259936307840892	1.9821621218522394	1.1841195148886783	0.05366829901952758	0.869727622765066	-3.8614496427410394
ZNF626	3.104993682293698	1.960256922832558	1.1828122897498448	0.05625509802197641	0.8700774293320291	-3.8918272759383186
LRRC3DN	4.239813791410144	3.527008976036944	1.1760841288591122	9.883992116294946e-4	0.5501398738810526	-1.1631354858378442
RBM46	0.7964664521249655	2.771130798412607	1.1757536236715658	0.008124065890796594	0.7617908113612285	-2.603804679751966
CACNA1H	4.285287058589068	1.9427818626731415	1.1743807927467742	0.0584098855816241	0.872576205909504	-3.9159563682132026
TMEM151B	2.835719996201989	2.2953919859373957	1.166825154980971	0.02648071932687131	0.837516057694542	-3.3984220723959933
FOXL1	2.2249972651945793	2.5380331286202784	1.1581554517767043	0.014721878208886194	0.8289027725420111	-3.0058643310480617
PDZD4	4.2022522159025995	2.2506246641216547	1.150870160901594	0.029418327063304155	0.845598689645438	-3.468005331871975
PNLDC1	2.445226468536396	1.414663048697619	1.1499097658599449	0.16415259782904826	0.9480905489720011	-4.5563549876280325
FAM217A	0.40922667926827117	3.3788474201174505	1.1488195855389438	0.0015226939661554214	0.5721669815110678	-1.4594811370773177
BARX1	5.418345386816514	1.9423361375149442	1.1450160169396213	0.058465401738368214	0.872576205909504	-3.916567354309839
JAKMIP1	2.7754724226192375	2.965512774999723	1.139961678093949	0.0048443575813257415	0.6939349269695008	-2.25173399822257
IGF2BP1	4.451563162026371	1.723769232948699	1.1384751397177588	0.09171742915975434	0.903538608878487	-4.202269764044108
PTPRR	2.9233288227993426	2.2459766755687625	1.1318177722953453	0.029719336367776288	0.845598689645438	-3.4748655357713707
RND1	3.803271712312436	3.161998454379454	1.1239894420221446	0.002820697664037904	0.6124055967700234	-1.8819626251280015
KIAA0125	1.486120550487952	2.09459613107087	1.1219529264489774	0.04193766180609468	0.865100341327976	-3.701250559330533
FGF8	2.7018099817092676	2.3423717746673414	1.1202012710471814	0.02369790244747381	0.8323804610634414	-3.324617104278441
BCAN	2.663357504736636	2.462634867043752	1.1148956210182503	0.017731519904165046	0.8289027725420111	-3.13081623492337
NPHS1	1.7605889924460485	1.711548034752829	1.1116569759005548	0.09396843012140924	0.9078796017883846	-4.217405598118937
IRX2	1.397295247841179	2.5061893437411307	1.111084949365196	0.015931201989421603	0.8289027725420111	-3.058953241211974
HBG2	1.9479539362139977	2.163618875904656	1.1062302532656654	0.035903847434461005	0.8485352139930729	-3.5994989220931837
C6orf100	1.0602517569488346	3.0804778129622816	1.1010324543733971	0.00353780832402021	0.6162880183258318	-2.03697573239787
KRT16	4.0795763810964845	1.441419220121206	1.0966238690725238	0.15649279550456915	0.9456188438740536	-4.528129087334911
MSLN	4.9095522406660566	1.667370871042178	1.0927875568810226	0.1024904146295494	0.9156601815860412	-4.2713565070214745
SLC5A2	3.2245609724971893	3.127332663450543	1.0857286487003055	0.0031070481151427146	0.6124055967700234	-1.9481483523506165
AL353354.2	3.228293224439993	1.1226250532926703	1.084695248423459	0.26763972773049416	0.9568619398169924	-4.833084213370802
CD79A	3.3537031185751873	2.359459688179217	1.0798719001908017	0.022752655816652673	0.8289027725420111	-3.2975032957682373
EPHA8	2.069611224746559	2.136060696943371	1.077937493323363	0.03821324260217142	0.8571140407540822	-3.6404137823142095
CDH22	2.07842889675057	2.1626853408398583	1.0775047773511515	0.03598001897434038	0.8485352139930729	-3.600891461200825
SLC39A5	2.85276879256462	1.816876410072294	1.07609913384468	0.07598224984588242	0.898062054560908	-4.08393353521142
AL109927.1	0.9233262774294478	1.5719780452604355	1.074559432877821	0.12306588784426628	0.9239381155389356	-4.383722409483318
FGFR3	5.304992593723739	2.1658702660375724	1.0694582619695954	0.035740049535277325	0.8485352139930729	-3.5963701751463955
SST	4.576557181598288	1.2057936424578553	1.0691149716505848	0.234293001929375	0.9538152143285281	-4.760226369384117
PRAC1	3.064051488651864	1.0603835442610638	1.060915378828505	0.29471292704495594	0.9624341380394287	-4.884433976764293
GAST	0.5955070097827543	2.6992494254984187	1.058718329521958	0.009788571215352974	0.7695921149046191	-2.730236454947245
PAGE2B	2.6131282741307302	1.1757965803448402	1.0584021533292134	0.24595168372347512	0.955263216667219	-4.787060048478564
PPBP	2.1243613305995868	2.0947872432607317	1.0579264881331796	0.041916118537289423	0.865100341327976	-3.700936828734144
TLX2	1.6125639798736808	2.201266180641275	1.050050072272699	0.032948188223968784	0.845598689645438	-3.5429616645605027
DMC1	3.4306389115005054	1.7984752378838336	1.0499148655081383	0.0789012659730948	0.898062054560908	-4.107746137120878
VIT	2.106783283064166	1.707704919340481	1.041401023321294	0.0946690118305972	0.9092523425925186	-4.222102985069058
SYNDIG1L	1.7330721764125827	2.7240301738585937	1.0395481500473	0.00918215237965161	0.7641763862350383	-2.6868887545811075
DLX6	4.945070056011444	2.0535900182667395	1.029843039455005	0.04594250892877192	0.8657794863469216	-3.7606118801926747
PRRT2	4.510456830550406	3.0245226643199645	1.0286953974729647	0.00412576545968593	0.6464042031830379	-2.142079684168548
IGLON5	4.659439090039202	1.4895523717211483	1.0270614894846943	0.14342207454932523	0.9317917283962498	-4.476172173916022
DLK2	4.543026196890789	2.273207210318398	1.0223959874029154	0.027911156499282823	0.845598689645438	-3.433183725162377
PRKCG	2.017164524379617	1.7577561138510516	1.0205675815729542	0.08567227385392069	0.9004550182362052	-4.159638969642788
KIAA1841	5.144599956522206	4.43612395788433	1.020498386382891	5.950377448140656e-5	0.19161896604889372	0.7541796316299463
DNAH8	0.7612440852691016	3.1250006773058305	1.0202121536807938	0.0031272633702839983	0.6124055967700234	-1.9525865913409746
SFRP5	3.129013476835879	1.6674803122365967	1.0168621911007318	0.10245485622245816	0.9156601815860412	-4.2711939929049905
ZYG11A	2.569773169653957	2.526632201202968	1.0164894585361388	0.015144894095254834	0.8289027725420111	-3.0249242744857243
CD70	2.3424461981420563	1.8791833133661218	1.012657073267992	0.0667796121902835	0.8837798718616515	-4.001876262588107
AL807752.1	2.3697175956684875	1.630967854528757	1.0094361949484463	0.10996488057358722	0.9169172559677496	-4.3148760602033525
TOX2	5.228577743426225	2.6109844432172418	1.0080515397565701	0.012272584414084346	0.8278085457381634	-2.8830726983808588
