Gene	MeanAA	MeanEA	logFC	Std Error	t	pvalue	padj
A1BG	5.792182546362128	5.459311834134209	0.3328707122279191	0.47272722387325816	0.7041496563294275	0.4827630164220382	0.999920447499998
A2M	8.165899275026751	8.235251562058567	-0.06935228703181551	0.5265876759249135	-0.1317013105367557	0.8954506883807538	0.999920447499998
A2ML1	9.248108588039313	5.221565396782193	4.026543191257121	2.7376672991025477	1.4707934717184545	0.14407792593545773	0.999920447499998
A4GALT	7.022539213860733	6.404671517620899	0.6178676962398342	0.5071832868698881	1.2182335503463482	0.22562865849382194	0.999920447499998
A4GNT	0.38939113876989634	0.6041861164109057	-0.21479497764100935	0.7289281013766054	-0.2946723788469148	0.7687754398667292	0.999920447499998
AAAS	7.270888573176512	7.424044233351039	-0.15315566017452742	0.29865854027063915	-0.5128119223905013	0.6090665271898368	0.999920447499998
AACS	6.608272680543908	6.054463733399341	0.5538089471445664	0.4633229049418395	1.1952980118996828	0.23442970651142103	0.999920447499998
AADAC	2.21690860435043	1.726818388909488	0.4900902154409419	0.9178803135505468	0.5339369503908127	0.5944157599238669	0.999920447499998
AADAT	4.192169030985062	4.597900737224256	-0.40573170623919363	0.5983352948547475	-0.6781009071806294	0.4990698630140207	0.999920447499998
AAED1	4.7042216367559915	4.961077338123234	-0.25685570136724234	0.41728904443052905	-0.6155342556806667	0.5394182230853497	0.999920447499998
AAGAB	6.225637555200776	6.411650061764924	-0.1860125065641478	0.1937593090918923	-0.9600184240744248	0.3390600472219787	0.999920447499998
AAK1	4.3462816007929375	4.227041705567104	0.11923989522583334	0.2920335808664851	0.40830884883868424	0.6838061993237039	0.999920447499998
AAMDC	5.866202748434926	6.293587777483577	-0.4273850290486507	0.48027305946716914	-0.8898792481152407	0.3753885285431102	0.999920447499998
AAMP	7.577089362155017	7.595264361237824	-0.018174999082806842	0.1361904681542456	-0.1334527983428498	0.8940685440498614	0.999920447499998
AANAT	1.6589790486304943	1.3151899458710623	0.343789102759432	0.6076868617728236	0.5657339731790242	0.5726768383956022	0.999920447499998
AAR2	6.023741203006727	6.464859570216536	-0.4411183672098087	0.29074333844334266	-1.5172088535943178	0.13195816312986194	0.999920447499998
AARD	3.8772909512959437	3.209283944352767	0.6680070069431765	1.1248326590126252	0.5938723432244144	0.5537638862772121	0.999920447499998
AARS	7.42384580831912	7.195702082546147	0.22814372577297348	0.29178720057024954	0.7818839391416228	0.43588964310324196	0.999920447499998
AARS2	5.6066002308163	5.206291677584333	0.4003085532319668	0.35359137064022306	1.1321219533925735	0.25993825951354144	0.999920447499998
