Gene	MeanAA	MeanEA	logFC	Std Error	t	pvalue	padj
A1BG	6.051997402882191	6.193024832550791	-0.1410274296686005	0.08439579136527113	-1.6710244360198425	0.09487939747040355	0.7211784585688604
A2M	9.15231583238531	9.268407222261438	-0.11609138987612688	0.0807381007417603	-1.4378761552422887	0.1506317337117672	0.813554310308038
A2ML1	1.773550873105713	1.8142246139989318	-0.040673740893218735	0.26534313296398465	-0.15328733191199423	0.8781877564083411	0.9959457542592974
A4GALT	5.8047582776643605	5.79955410697894	0.005204170685420451	0.08275960967292526	0.06288297765042494	0.9498662183221784	0.9971199519653021
A4GNT	1.7705301001453673	1.541198741186692	0.22933135895867518	0.11913653323284633	1.924945713423259	0.05438335245062156	0.5996487585822666
AAAS	6.724363487072925	6.759502917900985	-0.03513943082805948	0.038181342425032315	-0.9203298940327853	0.3575157060790388	0.9363065917617853
AACS	5.773972646289758	5.722741832088206	0.051230814201551844	0.06371825431616143	0.8040209944759537	0.42148412588070394	0.9509124612828347
AADAC	3.613012378146382	3.543157594870545	0.06985478327583694	0.16974035022448627	0.411539054700029	0.6807231243109602	0.988053401980102
AADAT	4.909876282037173	4.805453592261968	0.10442268977520452	0.0799847253268514	1.3055328920426903	0.19186746090800882	0.8584672769452737
AAED1	5.116723484715522	5.198638271473392	-0.08191478675786978	0.057975157165707135	-1.4129291020934596	0.15783823234246885	0.8255456310801387
AAGAB	6.307252884732284	6.3130839068021745	-0.005831022069890501	0.03427891969347067	-0.1701051877373246	0.8649452886288356	0.9959457542592974
AAK1	4.770891487120389	4.687016191483724	0.08387529563666529	0.05378985807591073	1.5593143138302503	0.11908638220440375	0.7684595159676104
AAMDC	7.218656245356356	7.149406364550152	0.06924988080620409	0.06318892814573047	1.095917953323966	0.2732517676496356	0.9060801609326997
AAMP	7.724563191626244	7.696833939962843	0.027729251663400234	0.024165588806541734	1.1474684885763595	0.2513306371456878	0.8996142127669625
AANAT	1.2670700278978009	1.2712815531528563	-0.004211525255055415	0.08669299382579757	-0.04857976485987009	0.9612592357278207	0.9971199519653021
AAR2	6.458249147850527	6.411238737530376	0.04701041032015052	0.03768936662853	1.247312293238823	0.21243473548638636	0.8744896697065428
AARD	2.761914503810152	2.703242505968842	0.05867199784130994	0.14334605622971602	0.40930318827388207	0.6823627116796303	0.988053401980102
AARS	7.260470326758748	7.1943326693814384	0.06613765737730937	0.04443938407049075	1.4882667426803289	0.1368443524572927	0.7936972442522977
AARS2	4.924910573077141	4.896437765796216	0.028472807280924606	0.04502503570604444	0.6323772282339853	0.5272155112855612	0.9735571596051841
