Gene	MeanAA	MeanEA	logFC	Std Error	t	pvalue	padj
A1BG	4.102545419103544	4.157957334296978	-0.05541191519343425	1.1682097756541077	-0.04743318909688787	0.962342972424814	0.9999992885450044
A2M	7.435164152599908	8.00703444774447	-0.5718702951445618	0.6091637986875101	-0.9387791861182492	0.3520243751738493	0.9999992885450044
A2ML1	0.15397156830649147	0.2985188212518344	-0.1445472529453429	0.7294396720280247	-0.1981620392862173	0.8436624182014851	0.9999992885450044
A4GALT	4.78661047438761	5.36971201654861	-0.5831015421610006	1.095505929471916	-0.5322668973978828	0.5967245130899443	0.9999992885450044
A4GNT	-0.030256888054932613	0.13789522473744872	-0.16815211279238135	0.3504323048421062	-0.47984192800987746	0.6332777209016165	0.9999992885450044
AAAS	6.768928443303884	6.791399141322754	-0.022470698018869584	0.2501837384146755	-0.08981678090374029	0.9287651251590243	0.9999992885450044
AACS	6.123593372813228	5.984604883759664	0.1389884890535642	0.4586684754337229	0.3030260340480886	0.7630343558877618	0.9999992885450044
AADAC	-0.007850988797445235	0.06551082719156098	-0.07336181598900622	0.1654712993011133	-0.44335069766695573	0.6592833397652733	0.9999992885450044
AADAT	3.834583242450653	4.1568888869116325	-0.3223056444609793	0.878425963433208	-0.36691270280911514	0.7151180579303891	0.9999992885450044
AAED1	4.104595780903586	4.473527444853812	-0.36893166395022625	0.6252723407753862	-0.5900335580056562	0.5576292179760811	0.9999992885450044
AAGAB	6.766990486725926	6.83335641305269	-0.06636592632676397	0.23143422163816924	-0.2867593472434786	0.775394015733792	0.9999992885450044
AAK1	5.014020299712232	4.751985329409537	0.26203497030269496	0.6438068502847297	0.4070086706701047	0.6856104678077379	0.9999992885450044
AAMDC	6.562149171086265	6.883066525174528	-0.3209173540882633	0.38031147930915377	-0.8438276821704631	0.40248838467432746	0.9999992885450044
AAMP	6.963200261925136	7.159335253278273	-0.19613499135313628	0.2358500860948402	-0.8316087333301474	0.4092922035975206	0.9999992885450044
AANAT	0.9899997572062115	1.1574890831853626	-0.16748932597915112	0.7271231641350696	-0.23034519355243438	0.8186939631778762	0.9999992885450044
AAR2	6.390625705722222	6.514066278800277	-0.12344057307805478	0.306254619939623	-0.40306517858372437	0.6884917216340376	0.9999992885450044
AARD	0.08837380022104407	0.5571153638518617	-0.4687415636308176	0.6987825110083049	-0.6707975031522314	0.5052086526028203	0.9999992885450044
AARS	7.329535130354916	7.484485853828218	-0.15495072347330208	0.3656907541935878	-0.4237206483795183	0.673452630820895	0.9999992885450044
AARS2	5.268704287712353	5.1714065871632515	0.09729770054910158	0.24232879606636754	0.4015110961986304	0.6896284694176517	0.9999992885450044
AARSD1	5.974384243600325	6.1733578654323935	-0.19897362183206813	0.26422018834451944	-0.7530598743371735	0.45468462927765574	0.9999992885450044
AASDH	5.067703331393009	4.9345103359560545	0.1331929954369544	0.2952595867726038	0.45110472751400926	0.6537204380971158	0.9999992885450044
AASDHPPT	6.410729179903333	6.257310443221398	0.15341873668193529	0.3841766337064518	0.39934426829082503	0.69121461767393	0.9999992885450044
AASS	3.3835916095357392	4.080705031032005	-0.6971134214962662	0.9097985085142848	-0.7662283626235696	0.4468770927747596	0.9999992885450044
AATF	5.697424344648964	6.0652276521845785	-0.3678033075356142	0.42348606038821124	-0.8685133749112014	0.3889570673003999	0.9999992885450044
AATK	2.301175864850259	2.8096894025467667	-0.5085135376965075	0.7102002117713747	-0.7160143425305068	0.4770675302774777	0.9999992885450044
