Gene	Difference of means	Std Error	t	pvalue	padj
A1BG	-0.3291096235890638	0.6572497774051506	-0.5007375200466438	0.620209967024693	0.999963033988593
A2M	-0.0943260697436763	0.6381316673864548	-0.14781599874207793	0.8834770090621071	0.999963033988593
A2ML1	0.008422897805194451	0.48984818390081514	0.017194914836920018	0.9863949693190034	0.999963033988593
A4GALT	0.1821507317390232	0.5077449198821302	0.3587445676094767	0.7222986354861919	0.999963033988593
A4GNT	-0.046625094787697385	0.8538984874485658	-0.05460262018616801	0.9568170658226232	0.999963033988593
AAAS	-0.2036359153358358	0.1911598798377987	-1.0652649264512155	0.29525498753555357	0.999963033988593
AACS	6.52425354448205e-4	0.30635948935684726	0.0021296071351269963	0.9983149190684881	0.999963033988593
AADAC	-0.28712088677916964	0.41199525240769225	-0.6969033868745835	0.49122865233878343	0.999963033988593
AADAT	0.07759729809845606	0.38755040610421676	0.20022504653907974	0.8426557297755699	0.999963033988593
AAED1	0.10661903121462668	0.37162708417654616	0.286897903178596	0.7761627521375516	0.999963033988593
AAGAB	0.405766131701518	0.2299585797105452	1.7645183415738013	0.08782555398331976	0.999963033988593
AAK1	0.1273045862926736	0.4082662521993738	0.31181755926890903	0.7573360230765751	0.999963033988593
AAMDC	-0.08120197988368005	0.25702143354222157	-0.3159346625865768	0.7542397214890313	0.999963033988593
AAMP	0.09522548994089153	0.19249128763710352	0.494700259475725	0.6244153310021469	0.999963033988593
AANAT	0.05620441358104422	0.4349402586591405	0.12922329552641207	0.8980434603270051	0.999963033988593
AAR2	0.13973621400780178	0.14567950433969878	0.9592029753338651	0.34512380836624557	0.999963033988593
AARD	1.2458907709442175	0.8168803344892507	1.525181496410001	0.13768808311677022	0.999963033988593
AARS	0.1303339809196693	0.20197466851263488	0.6452986499716227	0.5236386619509632	0.999963033988593
AARS2	-0.09088447996781657	0.24360032283413832	-0.37308850378534864	0.7117058675367401	0.999963033988593
AARSD1	-0.17136526524248108	0.23294581003392706	-0.735644333836796	0.46766013433655307	0.999963033988593
AASDH	0.012570061929006116	0.23213965184720137	0.05414870673313478	0.9571756831338436	0.999963033988593
AASDHPPT	0.21484715681696187	0.21926665221879285	0.9798441972041374	0.33499923084673877	0.999963033988593
AASS	0.3521378576976	0.49892481280967604	0.7057934355169652	0.4857616750794538	0.999963033988593
AATF	0.2559772030011791	0.23082149328488252	1.1089833938698643	0.2762486742074759	0.999963033988593
AATK	-1.0347501068823668	0.5553095341980893	-1.8633753666351642	0.07222516494964798	0.999963033988593
ABAT	0.6015692679088787	0.7695712820019047	0.7816940184462208	0.4405204179145116	0.999963033988593
ABCA1	0.3442041337045909	0.48494019859200765	0.7097867627884124	0.48331726009915543	0.999963033988593
ABCA2	-0.4478452361474625	0.3704907889983644	-1.2087891236330834	0.23618527420653895	0.999963033988593
ABCA3	0.20591171892225013	0.40424222010284727	0.509377073156441	0.6142145836163131	0.999963033988593
ABCA4	-0.811707149127157	0.8364243234841163	-0.9704490009879194	0.33958242963343044	0.999963033988593
ABCA5	-0.12134068139307796	0.4135185828252259	-0.29343465186995654	0.7712103412217824	0.999963033988593
ABCA6	0.19408140981498523	0.7953127792267775	0.24403154945363248	0.808867611343786	0.999963033988593
ABCA7	-0.3186256027256702	0.47446576028446763	-0.6715460406134198	0.5070113679903194	0.999963033988593
ABCA8	0.2903260836053869	0.8665698615747014	0.33502905706623143	0.7399345746363081	0.999963033988593
ABCA9	0.24716561037575557	0.6597262269449511	0.374648756227755	0.7105571184345263	0.999963033988593
ABCA10	0.04443817909962089	0.6132538619584886	0.07246294211291722	0.9427144620704102	0.999963033988593
ABCA12	0.5958529181985881	0.8360325044811338	0.7127150140751906	0.4815292718213363	0.999963033988593
ABCA13	-0.3571849630917301	1.1391187601458173	-0.31356253236142584	0.7560231986055166	0.999963033988593
ABCB1	0.5113130870888334	1.0163123257708007	0.5031062539766392	0.6185635289469484	0.999963033988593
ABCB4	0.2374284450234101	0.8378509739013001	0.2833778946605121	0.77883358332004	0.999963033988593
ABCB5	0.4827466454455809	0.8343058427672898	0.5786207176068306	0.5671641883253428	0.999963033988593
ABCB6	0.43433796134024405	0.5847185839110256	0.7428153872501778	0.46337080197829617	0.999963033988593
ABCB7	-0.0996723653628031	0.22128632865417255	-0.4504226084322254	0.6556441642005109	0.999963033988593
ABCB8	0.18878526186043043	0.31129679750677014	0.6064478124171023	0.5487794681976585	0.999963033988593
ABCB9	-0.1284690450400774	0.4666844981359061	-0.2752802922600294	0.7849880730151564	0.999963033988593
ABCB10	0.18244260767238085	0.2864748848712428	0.6368537603370724	0.5290502303675345	0.999963033988593
ABCB11	-0.04709343101023211	0.2461414261204163	-0.19132671713372318	0.8495586661582332	0.999963033988593
ABCC1	-0.06477272270416545	0.38668467291071273	-0.1675078616811941	0.8680945395378914	0.999963033988593
ABCC2	1.4088970357840962	1.319731931275213	1.0675630424602411	0.2942335036516754	0.999963033988593
ABCC3	1.0381643088109769	0.9568857594831665	1.0849407032368321	0.28658992915527154	0.999963033988593
ABCC4	0.6967863326467993	0.4124827493899862	1.6892496320810142	0.1015402790935753	0.999963033988593
ABCC5	-0.2361221542980152	0.45999575908914747	-0.5133137635128818	0.6114916574380154	0.999963033988593
ABCC6	0.7694313387420912	0.8811189667179405	0.8732434186590354	0.389466861614549	0.999963033988593
ABCC8	-0.9230490659036699	0.6906603274774952	-1.3364732693926842	0.19144324135706423	0.999963033988593
ABCC9	-0.4334695843495573	0.8323662283970834	-0.5207678658278877	0.6063512602523378	0.999963033988593
ABCC10	-0.15188211077631397	0.34348287555968937	-0.442182482980641	0.661528639312666	0.999963033988593
ABCC11	0.14774514382509962	0.5268147904707686	0.2804498782068602	0.7810573305607578	0.999963033988593
ABCC12	0.11287518857722177	0.16866522749047586	0.6692261959187502	0.5084691264804128	0.999963033988593
ABCD1	0.27548140391236586	0.27481883078046976	1.0024109451670922	0.32416242092959535	0.999963033988593
ABCD2	0.1881018415462945	0.6747334928693615	0.27877946409088933	0.7823268083251206	0.999963033988593
ABCD3	0.5311549364993358	0.23996654489232028	2.213454116021381	0.03461417883577424	0.999963033988593
ABCD4	-0.18508092081852823	0.2585814335202636	-0.7157548718749155	0.4796771437810149	0.999963033988593
ABCE1	0.03631842483470926	0.24875455345964984	0.14600104532599212	0.8848971977880036	0.999963033988593
ABCF1	0.29523770091969315	0.19398086515583268	1.521993938332612	0.13848255516823876	0.999963033988593
ABCF2	0.11000588574192882	0.1983514007812518	0.5546010026077244	0.5832790569980689	0.999963033988593
ABCF3	-0.07080168466712244	0.17893211428263753	-0.39569020324258586	0.695133597568707	0.999963033988593
ABCG1	-0.2159668902619476	0.4943795169026111	-0.4368443329024317	0.665352534027079	0.999963033988593
ABCG2	-0.05148928152478316	0.813909625658255	-0.06326166923402687	0.949977773476096	0.999963033988593
