Gene	MeanAA	MeanEA	logFC	Std Error	t	pvalue	padj
A1BG	9.629510791005517	9.596103413842735	0.033407377162781415	0.5318116239346501	0.06281806500507513	0.9499851788226044	0.9998763635719183
A2M	9.584470910220418	9.931577721496762	-0.347106811276344	0.4453190513555359	-0.7794564598567315	0.4367946331712065	0.9998763635719183
A2ML1	0.3272183829981928	0.28492528196250144	0.04229310103569134	0.29513939883581486	0.14329873003237653	0.8862239720487219	0.9998763635719183
A4GALT	4.358996064831064	4.7141986768826145	-0.3552026120515501	0.3590007394124111	-0.9894202798382045	0.3238637181172356	0.9998763635719183
A4GNT	0.5056913949349259	0.7977243531223089	-0.29203295818738306	0.45661466327464767	-0.6395610602888788	0.523318916361631	0.9998763635719183
AAAS	6.801755879657784	6.781147900401661	0.020607979256123343	0.11738556816373498	0.17555803135338027	0.8608501124205051	0.9998763635719183
AACS	5.231090170138986	5.164468721641136	0.06662144849785001	0.260248550050106	0.25599162218203825	0.7982668027265422	0.9998763635719183
AADAC	8.135734243775863	8.179285112438787	-0.04355086866292446	0.4851026741622774	-0.08977659984689292	0.9285704271354258	0.9998763635719183
AADAT	4.187995328811005	4.153432867237695	0.03456246157331044	0.4518942094748342	0.07648352390590925	0.9391243586868513	0.9998763635719183
AAED1	4.682391345009143	4.7825508457571395	-0.10015950074799651	0.19165779470818978	-0.5225954984011749	0.6019361538940022	0.9998763635719183
AAGAB	6.024505594125815	6.043489162308221	-0.01898356818240643	0.1311993561331078	-0.14469254074041893	0.8851250257830405	0.9998763635719183
AAK1	3.87472281016527	3.584992530303985	0.2897302798612853	0.24614724245150124	1.1770608395841415	0.24081660115830555	0.9998763635719183
AAMDC	7.077253602236081	7.009344462207424	0.06790914002865733	0.18194484754984783	0.3732402480375385	0.7094346411860303	0.9998763635719183
AAMP	7.702997149314398	7.646492874548358	0.056504274766040474	0.10022199715120164	0.5637911473745063	0.5736392524134233	0.9998763635719183
AANAT	0.5422526802875957	0.6990474845342829	-0.15679480424668724	0.2808850002156895	-0.5582170786132604	0.57743059544680575	0.9998763635719183
AAR2	6.382745380179636	6.3012628052469015	0.08148257493273459	0.09321164168131464	0.8741673621769148	0.3832603639420098	0.9998763635719183
AARD	0.7677528146288509	0.4527835740785075	0.3149692405503434	0.24043209548273636	1.3100132905216018	0.19195874202569907	0.9998763635719183
AARS	7.584204320605289	7.410401931088283	0.17380238951700555	0.15723972549261692	1.1053338396038241	0.2705768270603465	0.9998763635719183
AARS2	5.351680309099402	5.167726541939385	0.1839537671600171	0.1498875770609793	1.2272782759386291	0.2214148342702612	0.9998763635719183
AARSD1	7.165895777468918	6.887274179006669	0.2786215984622489	0.13049550247528563	2.1351049896529317	0.03418474826037979	0.9998763635719183
AASDH	4.507003950426674	4.465014440533525	0.04198950989314909	0.12647107365358687	0.3320088039116462	0.7402915958255951	0.9998763635719183
AASDHPPT	5.955911582983852	5.958333221155677	-0.002421638171825613	0.12274383262954701	-0.019729204473632137	0.9842825303118947	0.9998763635719183
AASS	5.234159875001927	5.312383778598897	-0.07822390359697007	0.500547794532404	-0.15627659226836546	0.8760004335740575	0.9998763635719183
AATF	6.971423311826541	6.729967439181498	0.24145587264504353	0.13670023806495557	1.7663164019532391	0.07913757136645856	0.9998763635719183
AATK	2.876169890841132	3.1379523229814796	-0.2617824321403477	0.39147507209644655	-0.6687077946967033	0.5045889108709749	0.9998763635719183
ABAT	7.277836004265588	7.318628556418272	-0.04079255215268418	0.38425378015246103	-0.10616044463244799	0.9155802210600463	0.9998763635719183
ABCA1	5.486884797830226	5.5473626875990645	-0.06047788976883872	0.2410421687630409	-0.25090169939639134	0.8021931097042998	0.9998763635719183
