Gene	MeanAA	MeanEA	logFC	Std Error	t	pvalue	padj
A1BG	5.6152727931426005	5.829647919090207	-0.21437512594760655	0.31228546103209887	-0.6864716827965667	0.4928539707063695	0.9999365917653287
A2M	8.0550699268446	8.256372156549446	-0.20130222970484546	0.28172915264635473	-0.7145239596753179	0.47536247543868015	0.9999365917653287
A2ML1	5.009232319943334	4.75510371046773	0.2541286094756039	0.6612499829421704	0.3843154873817648	0.7009696642857267	0.9999365917653287
A4GALT	6.9200641731983055	6.693056482563977	0.2270076906343288	0.31483606972444245	0.7210345715248425	0.4713523501688729	0.9999365917653287
A4GNT	0.9674070579730029	0.682711399925013	0.2846956580479899	0.2401320846197393	1.1855794218370241	0.2365639357398842	0.9999365917653287
AAAS	6.842825238091733	6.918326400687512	-0.07550116259577866	0.10901570612571342	-0.692571421852858	0.4890213599347134	0.9999365917653287
AACS	6.107097941005703	6.128619425490687	-0.02152148448498359	0.15819584349491547	-0.136043299302458	0.8918624638656125	0.9999365917653287
AADAC	3.974178933583431	3.5085677671583766	0.4656111664250546	0.5823006496893978	0.7996061255872101	0.42446195960302513	0.9999365917653287
AADAT	3.8956912002890403	4.092432978036803	-0.1967417777477629	0.2912495521032963	-0.6755092886047952	0.49978233380266357	0.9999365917653287
AAED1	4.848851651896182	5.014937398552615	-0.1660857466564325	0.16061645488494358	-1.0340518770346836	0.30180030748458253	0.9999365917653287
AAGAB	6.7190637998110825	6.727994185655943	-0.008930385844860389	0.11327187617768707	-0.07884027479911687	0.937203111316981	0.9999365917653287
AAK1	4.312059861031046	4.469983440063404	-0.15792357903235832	0.20170172976198722	-0.7829559975450476	0.43416344212121905	0.9999365917653287
AAMDC	6.468874794474326	6.5423255158332125	-0.07345072135888664	0.1480478379846877	-0.4961282944671134	0.6201041602081281	0.9999365917653287
AAMP	7.815927113706774	7.782941184695242	0.032985929011531745	0.09876516225838118	0.33398344372924443	0.7385849110622129	0.9999365917653287
AANAT	1.4376175903258575	1.4066186709563326	0.030998919369524813	0.27231051963969843	0.11383665754279468	0.90943021245834	0.9999365917653287
AAR2	6.287318880524439	6.357601690372547	-0.07028280984810831	0.1103416088678726	-0.6369565440383212	0.5245546337396316	0.9999365917653287
AARD	1.4644008098942956	1.718998696624095	-0.25459788672979955	0.4388228212528809	-0.5801837880785196	0.5621506413738342	0.9999365917653287
AARS	7.612593433881319	7.499672183604801	0.11292125027651778	0.1440977591477392	0.7836433470193173	0.43376041729164894	0.9999365917653287
AARS2	5.165652833891553	5.107464468049766	0.05818836584178655	0.16697841785838438	0.3484783637795426	0.7276829775853835	0.9999365917653287
AARSD1	7.007295590255495	6.816683199448202	0.19061239080729298	0.11889563001031069	1.6031908892762752	0.10976223838852374	0.9999365917653287
AASDH	4.7908781869759185	4.7940992824957895	-0.0032210955198710423	0.16076384631604676	-0.0200361934208682	0.9840255086171728	0.9999365917653287
