Gene	MeanAA	MeanEA	logFC	Std Error	t	pvalue	padj
A1BG	11.262354449136225	11.24366163125241	0.018692817883815493	0.6801762836916345	0.027482313529605642	0.9781248434774328	0.9999047987491816
A2M	10.915200199583326	11.139129092028176	-0.22392889244484948	0.5488236128388635	-0.40801614071695524	0.684054910086913	0.9999047987491816
A2ML1	0.3824372458168089	0.5756310642106057	-0.19319381839379685	0.29977332855281996	-0.6444663350353937	0.5206147592645494	0.9999047987491816
A4GALT	4.286463623960397	4.10520076307949	0.18126286088090637	0.4566377639018107	0.3969510960549525	0.6921726350256312	0.9999047987491816
A4GNT	0.977878754144654	0.9064112448199496	0.07146750932470436	0.5119087537377401	0.13960985977067003	0.8892235485343706	0.9999047987491816
AAAS	6.354248358299021	6.394065785730168	-0.03981742743114758	0.14179599204102777	-0.280807848360246	0.7793852644097042	0.9999047987491816
AACS	4.54874281148378	4.630031419898029	-0.08128860841424945	0.3453010298487653	-0.23541374449376004	0.8143253332299434	0.9999047987491816
AADAC	9.451675570440061	8.684032752955993	0.7676428174840684	0.7383247570401211	1.0397088952583424	0.3007550948422105	0.9999047987491816
AADAT	6.049048453583644	5.957197775283638	0.09185067830000637	0.4824297554424036	0.19039181821564127	0.849353035086345	0.9999047987491816
AAED1	4.821720259752259	4.801554350711799	0.020165909040460228	0.2587441775776604	0.07793763411123546	0.938019256551027	0.9999047987491816
AAGAB	5.6973227605288965	5.624792803309764	0.07252995721913269	0.18171414238900188	0.39914316115179	0.6905615684663096	0.9999047987491816
AAK1	3.6976680651266363	3.309341610253078	0.3883264548735581	0.3098395040240848	1.2533148608557425	0.2127485786367454	0.9999047987491816
AAMDC	7.214578106376996	7.077195725574516	0.1373823808024799	0.2189708241626327	0.6274003914806663	0.5316970009892684	0.9999047987491816
AAMP	7.624189517298724	7.619339284718737	0.004850232579987512	0.1156383618250681	0.04194311043012439	0.9666200872372406	0.9999047987491816
AANAT	0.5666063478912449	0.5553467518350824	0.011259596056162446	0.34103712060237595	0.03301574924241254	0.9737218620221897	0.9999047987491816
AAR2	6.1639652883095915	6.192846562583788	-0.0288812742741964	0.1242127089777733	-0.23251464775125735	0.8165703730779712	0.9999047987491816
AARD	0.2471801718311042	0.3074625064137506	-0.060282334582646424	0.30250232284047396	-0.19927891467609193	0.8424124679240544	0.9999047987491816
AARS	7.352191886487055	7.3338975343821105	0.018294352104944345	0.1935686422858981	0.09451092846910529	0.9248752466034957	0.9999047987491816
AARS2	4.587960939126358	4.524379138287525	0.06358180083883269	0.1939651995975204	0.32780004336223983	0.7436859379462732	0.9999047987491816
AARSD1	6.686788915272046	6.662462016777291	0.024326898494754445	0.14768718917567397	0.16471908383209588	0.8694674087024591	0.9999047987491816
AASDH	4.450933871798228	4.367977316033374	0.08295655576485395	0.1664615498450369	0.4983526576682737	0.6192304871903751	0.9999047987491816
AASDHPPT	5.850322047212227	5.805102312154337	0.04521973505789045	0.16103990676960608	0.28079831865889415	0.7793925549669751	0.9999047987491816
AASS	5.902298189678748	5.662680013611608	0.23961817606714053	0.571263913925001	0.4194526736701928	0.675703375729013	0.9999047987491816
AATF	6.5142994909794965	6.463952638301948	0.05034685267754835	0.1598226318721349	0.3150170416279218	0.753345509417409	0.9999047987491816
AATK	2.7043836635466936	2.700139518693413	0.004244144853280396	0.5260268814001855	0.008068304117811002	0.993577109070327	0.9999047987491816
ABAT	8.286136529738588	8.217185887140609	0.06895064259797934	0.5064399796469283	0.13614770825567374	0.8919533661946455	0.9999047987491816
ABCA1	6.076484019066441	6.0219117850013735	0.05457223406506717	0.33265903605390706	0.16404855467754015	0.8699939716818859	0.9999047987491816
ABCA2	6.411533102880083	6.212438487710619	0.19909461516946347	0.31144959723106774	0.6392514774124208	0.5239883284501183	0.9999047987491816
ABCA3	3.4706560506906268	3.140467145988093	0.3301889047025339	0.44503237070279983	0.7419435673434185	0.4597027866656642	0.9999047987491816
ABCA4	2.4557538344585015	2.631681859506139	-0.1759280250476376	0.48550010643118724	-0.36236454475952395	0.7177748906957714	0.9999047987491816
ABCA5	5.854012099509614	6.181875662224482	-0.3278635627148683	0.2962558036990393	-1.1066907673070894	0.2708419844912506	0.9999047987491816
ABCA6	6.706069914022769	6.6412371379214585	0.06483277610131033	0.6335622221949315	0.10233055859407425	0.9186806120381208	0.9999047987491816
ABCA7	4.597071391312866	4.471823927974762	0.12524746333810466	0.3620377392333283	0.34595140165037985	0.7300400235247393	0.9999047987491816
ABCA8	5.987035987832325	5.8683129981725255	0.11872298965979944	0.637457895653416	0.18624444134950174	0.8525961074299033	0.9999047987491816
ABCA9	3.7059488321393532	3.901939085711859	-0.19599025357250577	0.498239094731746	-0.393365867200822	0.6948106554239761	0.9999047987491816
ABCA10	4.016312993147539	3.90714633502055	0.10916665812698945	0.4943825210249954	0.22081415398881002	0.8256464831079058	0.9999047987491816
ABCA12	0.0267445982479644	0.28084284029935447	-0.2540982420513901	0.3298838882834445	-0.77026569370694	0.44279343864848353	0.9999047987491816
ABCA13	1.4912266291225427	1.3098623468050195	0.18136428231752322	0.4669217915569856	0.38842539713717467	0.6984520066322419	0.9999047987491816
ABCB1	7.192310190024944	6.716059214559508	0.4762509754654358	0.5359710636904754	0.8885759096511074	0.37617000936449807	0.9999047987491816
ABCB4	7.978921187652407	7.5812359005115635	0.3976852871408436	0.6722447178240757	0.5915781509270507	0.5553469325876281	0.9999047987491816
ABCB5	0.5233407972607675	0.3944013201909439	0.12893947706982362	0.3487188968297429	0.3697519068855523	0.712278248241631	0.9999047987491816
ABCB6	6.776547745745018	6.842976189629343	-0.066428443884325	0.3243288369879199	-0.20481818546033026	0.8380926898401014	0.9999047987491816
ABCB7	5.9404132115090755	5.838887758079166	0.10152545342990926	0.16005926596914502	0.6342991317321207	0.5272025600936556	0.9999047987491816
ABCB8	6.3133454931876285	6.195001839065731	0.1183436541218974	0.1943402240557481	0.60895089885226	0.5438125625274627	0.9999047987491816
ABCB9	2.8170563921525438	2.364719621279525	0.4523367708730186	0.39789199059364355	1.1368330641643352	0.2580785401807095	0.9999047987491816
ABCB10	5.236425903616401	5.153403197157085	0.08302270645931564	0.20171959777977047	0.411574816592469	0.6814519243236097	0.9999047987491816
ABCB11	6.2729307101067695	5.471778203004812	0.8011525071019578	0.8238030075551123	0.9725049553771639	0.3329330762864543	0.9999047987491816
ABCC1	4.330661272218454	4.058652189338443	0.272009082880011	0.5087013912753111	0.5347126773097396	0.593927746671397	0.9999047987491816
ABCC2	6.921024379311355	6.706639997180996	0.21438438213035926	0.5955127713971875	0.3599996380050293	0.7195376742455544	0.9999047987491816
ABCC3	7.225048897559791	7.376998387837334	-0.15194949027754312	0.3665935536054178	-0.41449034982511895	0.6793222231638225	0.9999047987491816
ABCC4	3.6893685862520074	3.063260843834049	0.6261077424179584	0.5892742123500548	1.0625066043888287	0.29033283599642806	0.9999047987491816
ABCC5	4.4173521912666995	4.266229611633107	0.15112257963359266	0.28029167608445094	0.5391618536258634	0.590864781792315	0.9999047987491816
ABCC6	7.19299114737489	7.133288589704937	0.05970255766995347	0.39138774495917455	0.15254069254565192	0.8790399470012373	0.9999047987491816
ABCC8	1.5053904054620628	1.6260057583801408	-0.12061535291807801	0.5366118863982486	-0.22477204843085202	0.8225736218049767	0.9999047987491816
ABCC9	5.156936268735562	5.12927049797389	0.027665770761672093	0.49736647143304785	0.055624519043190615	0.9557418387749335	0.9999047987491816
ABCC10	4.909129612535162	4.779374081560338	0.1297555309748244	0.23740671761200774	0.546553746583039	0.5857923000015686	0.9999047987491816
ABCC11	4.258399297066274	3.9370507259076644	0.32134857115860926	0.5065890611405919	0.6343377617256258	0.5271774485791274	0.9999047987491816
ABCC12	0.6295146246582904	0.33312858670466894	0.2963860379536215	0.259752263345828	1.1410335145338855	0.2563340260445131	0.9999047987491816
ABCD1	5.2280978194042005	5.064664161762351	0.1634336576418498	0.24896600031784322	0.6564497057156468	0.5129057401079886	0.9999047987491816
ABCD2	0.8163637832204069	0.6585687324800668	0.15779505074034017	0.2925244887289418	0.5394250971123165	0.5906837869942663	0.9999047987491816
ABCD3	7.259913358001044	7.192910071617026	0.06700328638401842	0.22114150854150538	0.30298828485852886	0.7624710415240641	0.9999047987491816
ABCD4	6.856942726928667	6.945851571464022	-0.08890884453535541	0.17653758117937948	-0.5036255959857936	0.6155316030665237	0.9999047987491816
ABCE1	6.167891270316124	6.155594934067842	0.012296336248281747	0.1966905620240184	0.06251614780977752	0.950265258165643	0.9999047987491816
ABCF1	6.846986112053907	6.703627648621041	0.1433584634328655	0.14393191729522004	0.9960157977943259	0.3214284479810939	0.9999047987491816
ABCF2	5.667246786831429	5.5664556017778315	0.10079118505359741	0.19159525610315475	0.5260630513697662	0.5999034191731983	0.9999047987491816
ABCF3	6.862118997445273	6.872290087427917	-0.010171089982644155	0.10517542227398338	-0.09670595812915615	0.9231358827164469	0.9999047987491816
ABCG1	4.965134243053117	4.773360360578225	0.1917738824748918	0.45241693750367606	0.4238874953114096	0.6724756297168581	0.9999047987491816
ABCG2	5.165510443504741	5.271627976508071	-0.1061175330033306	0.5896283704020235	-0.17997358731394994	0.8575044318679168	0.9999047987491816
ABCG4	1.489070389429981	1.1542276658251216	0.33484272360485945	0.27874107425517053	1.2012679670536508	0.23222739792618807	0.9999047987491816
ABHD1	3.904969933813936	4.230415011111105	-0.32544507729716887	0.6084242582464563	-0.5348982603605194	0.5937998379095903	0.9999047987491816
ABHD2	6.960706528554291	7.064930287815444	-0.10422375926115279	0.32508571851503615	-0.3206039309793061	0.7491188161051741	0.9999047987491816
ABHD3	6.330238903577807	6.142700359477086	0.1875385441007209	0.26361475813959573	0.7114113998178012	0.4783352595710666	0.9999047987491816
ABHD4	6.182630807866319	6.14247343310606	0.040157374760259046	0.22369382926347908	0.17951936757700834	0.857860178284222	0.9999047987491816
ABHD5	5.700475991235091	5.755301487259332	-0.05482549602424047	0.2249154553459873	-0.24376046519303196	0.8078703813284848	0.9999047987491816
ABHD6	6.4257172795096045	6.322714591694871	0.10300268781473321	0.40464796454592883	0.25454888406597204	0.7995468030812661	0.9999047987491816
ABHD8	5.5879325057362035	5.649699041570178	-0.061766535833974956	0.21612991550786176	-0.2857842963980069	0.7755808083871738	0.9999047987491816
ABHD10	6.096881561019325	6.144985006464338	-0.04810344544501266	0.17467340363184047	-0.27539078328375854	0.783532664031874	0.9999047987491816
ABHD11	5.805725645961977	5.850065768670203	-0.04434012270822585	0.29639290890034	-0.14959913471862074	0.8813548350061756	0.9999047987491816
ABHD12	6.621304428664806	6.482282106580258	0.13902232208454812	0.1831839661679712	0.7589218914338338	0.4495224432401679	0.9999047987491816
ABHD12B	1.9691038661079105	1.2824396899654045	0.6866641761425061	0.5236594094343148	1.3112801255386166	0.19249372714087254	0.9999047987491816
ABHD13	4.668166142580571	4.640340275958473	0.027825866622097628	0.19132726137528555	0.1454359740586973	0.8846328277109146	0.9999047987491816
ABHD14A	6.237218233548169	6.220253802370012	0.016964431178156936	0.21249384651801914	0.07983492913390496	0.9365136056756501	0.9999047987491816
ABHD14A-ACY1	2.7637380267895537	2.747520195118909	0.0162178316706445	0.3510968319081221	0.046191905470934345	0.9632410500069155	0.9999047987491816
ABHD14B	8.149438241566912	8.033940500433923	0.11549774113298916	0.23749064993895494	0.4863254244437704	0.6277039459977263	0.9999047987491816
ABHD15	5.514390520186869	5.476178371182626	0.0382121490042433	0.3602876415445883	0.10606011585749676	0.9157278308812733	0.9999047987491816
ABHD16A	6.940516881387803	6.913644956218507	0.026871925169296595	0.15362599218283365	0.17491782990287041	0.8614657556108573	0.9999047987491816
ABHD16B	4.214506309003277	4.053595309299556	0.16091099970372102	0.26463909093697874	0.608039421288824	0.5444147088118209	0.9999047987491816
ABHD17A	6.382253845893788	6.459449018723737	-0.07719517282994826	0.1749780517628082	-0.4411706042686445	0.659955413944061	0.9999047987491816
ABHD17B	5.282803100613601	5.330882812852395	-0.048079712238793704	0.18416357880243112	-0.2610706880885126	0.7945261481921206	0.9999047987491816
ABHD17C	4.360517172749001	4.3395046116903755	0.021012561058625145	0.3575714559166614	0.0587646488860747	0.9532461887316839	0.9999047987491816
ABI1	5.765455722549814	5.819449266084197	-0.053993543534383015	0.1809915950637593	-0.29832072321017056	0.7660211679328522	0.9999047987491816
ABI2	5.267426106214051	5.239133861562235	0.028292244651816567	0.3062685819993375	0.09237723460605492	0.9265663564614977	0.9999047987491816
ABI3	5.382082964179696	4.840369604006946	0.54171336017275	0.34503841983021566	1.5700088136251982	0.11928521372200854	0.9999047987491816
ABI3BP	4.124785851652495	4.039241890044285	0.08554396160821032	0.5949893602975831	0.1437739349917545	0.8859420479176916	0.9999047987491816
ABL1	5.580226594521913	5.4418204882310555	0.1384061062908577	0.2007241433380242	0.6895339244655714	0.4919393810008974	0.9999047987491816
ABL2	3.826122880814616	3.8134174582367097	0.012705422577906411	0.23724323486509902	0.05355441467121688	0.9573873173498908	0.9999047987491816
ABLIM1	5.719736664329177	5.761277619634237	-0.0415409553050603	0.31723362887509327	-0.13094751477756014	0.8960560151294497	0.9999047987491816
ABLIM2	3.2410271223935885	3.4923206326809777	-0.2512935102873892	0.5201216475632291	-0.4831437250587431	0.6299539357905835	0.9999047987491816
ABLIM3	7.214467330518727	7.133793577951624	0.08067375256710285	0.3748280224953319	0.21522871217054632	0.8299875523572557	0.9999047987491816
ABR	5.085170936224762	4.9021953401292535	0.18297559609550884	0.44970474408899813	0.40687939920708804	0.6848871815983923	0.9999047987491816
ABRA	0.18737152474466245	0.24172419490000868	-0.05435267015534623	0.16545769054916906	-0.32849890491608336	0.7431589990131571	0.9999047987491816
ABRACL	6.917789583081257	6.5242970319417575	0.39349255113949955	0.4344686255174612	0.9056869196730644	0.36708111291176326	0.9999047987491816
ABT1	5.945086489121516	5.978794507604246	-0.03370801848273075	0.14845113179856154	-0.22706474564619908	0.8207948571573638	0.9999047987491816
ABTB1	6.108789998513397	6.065635319403616	0.04315467910978121	0.22452063382005877	0.19220807627136566	0.8479336083531864	0.9999047987491816
ABTB2	5.298084620309828	5.124714351155363	0.17337026915446518	0.27398780626613517	0.6327663683910948	0.5281994353896327	0.9999047987491816
AC002310.13	0.0947484921738504	0.14313243076699134	-0.04838393859314094	0.3390268933913257	-0.14271416084178673	0.8867770174807735	0.9999047987491816
AC002365.1	0.4443248183168454	0.5249044202263381	-0.0805796019094927	0.37427602507169916	-0.21529458611209806	0.8299363234278884	0.9999047987491816
AC002398.9	2.288122906135073	2.260975022163675	0.027147883971398112	0.9008677164004039	0.03013526123443837	0.976013787522348	0.9999047987491816
AC002985.3	0.3570429563595885	0.12608639406350583	0.23095656229608266	0.311767974679189	0.7407963006262535	0.4603953855791304	0.9999047987491816
AC003002.4	-0.04277590505016283	0.046008791587611474	-0.0887846966377743	0.20086800632529292	-0.4420051667859597	0.6593532411762169	0.9999047987491816
AC003002.6	1.460416904888866	1.3846953574063208	0.07572154748254523	0.6467977086161278	0.11707145290380999	0.9070169177890268	0.9999047987491816
AC003005.4	0.6130733900255501	0.3635469222933969	0.24952646773215315	0.41247819110335365	0.6049446325021094	0.5464617116911357	0.9999047987491816
AC003006.7	0.9265514208044344	0.5976373634994877	0.3289140573049467	0.4611764543043155	0.7132065269921758	0.4772283167151805	0.9999047987491816
AC003101.1	0.14348459437305416	0.08517171292152875	0.05831288145152541	0.2229529028226336	0.26154798037285587	0.7941590519586279	0.9999047987491816
AC003102.1	1.024041088286908	1.4789927267788943	-0.4549516384919863	0.4731988093571982	-0.9614386796746187	0.33844032051019224	0.9999047987491816
