Gene	MeanAA	MeanEA	logFC	Std Error	t	pvalue	padj
A1BG	4.271943092611291	4.529114195401133	-0.257171102789842	0.3604424345489794	-0.7134873093165056	0.47622334876889616	0.9999513487134678
A2M	8.230224640473724	8.725830166475436	-0.4956055260017127	0.36254918057349494	-1.3670021959992955	0.17287759027257965	0.9999513487134678
A2ML1	0.8729232407221936	1.385523451173105	-0.5126002104509113	0.7431946702820602	-0.6897253585744462	0.49101968500564774	0.9999513487134678
A4GALT	5.418159746044354	5.606558302780781	-0.18839855673642703	0.36102196813098414	-0.5218479022530652	0.602247689612684	0.9999513487134678
A4GNT	3.0766155309313454	2.8729142864417665	0.20370124448957894	1.0638042464047397	0.19148376703515982	0.8483051940092717	0.9999513487134678
AAAS	6.97877498281538	6.935473234966739	0.04330174784864038	0.14345836459246752	0.30184191749049116	0.7630286329608501	0.9999513487134678
AACS	6.08439753950462	5.92359826055169	0.16079927895293	0.2430153716900479	0.6616835710212613	0.5087958698669324	0.9999513487134678
AADAC	4.098558627980721	3.7260168856535207	0.3725417423272006	0.9738324526894999	0.3825521949882924	0.7023834800309047	0.9999513487134678
AADAT	4.42313946970497	4.40959453066911	0.013544939035860182	0.40754167371704386	0.03323571528850429	0.9735136776560027	0.9999513487134678
AAED1	4.941009489850549	5.3337482017630276	-0.3927387119124788	0.23995454191795892	-1.6367213088500618	0.10297255943388132	0.9999513487134678
AAGAB	6.670704245606036	6.567392711119075	0.10331153448696107	0.1621594464400034	0.637098465461183	0.5246555741772484	0.9999513487134678
AAK1	5.240373706718999	5.507220125497041	-0.2668464187780426	0.22556127722347205	-1.18303293039819	0.23794280912976473	0.9999513487134678
AAMDC	6.0861103360161914	6.5232379237690115	-0.43712758775282	0.2260476511729435	-1.9337851354995255	0.054291412938448365	0.9999513487134678
AAMP	7.630218286371315	7.565518238815733	0.0647000475555819	0.13539605660551504	0.4778576952509745	0.6331775614784481	0.9999513487134678
AANAT	1.2292509545886092	1.5050617277995266	-0.2758107732109174	0.41248971233378445	-0.668648853447605	0.5043490037302201	0.9999513487134678
AAR2	6.556111926023602	6.502634146983966	0.05347777903963635	0.15524651217012186	0.34447008368880105	0.7307882871771616	0.9999513487134678
AARD	1.110786751164039	2.171418348843932	-1.060631597679893	0.6952776376780848	-1.5254792333346523	0.1284294472848361	0.9999513487134678
AARS	7.296123494858398	7.186477003296243	0.10964649156215511	0.17632315990893763	0.6218496289357689	0.5346189791556235	0.9999513487134678
AARS2	5.161143008754537	5.150704725590625	0.0104382831639116	0.20516785229683798	0.05087679695944486	0.9594651493595472	0.9999513487134678
AARSD1	6.753199718418176	6.556017773208402	0.19718194520977406	0.14298007817627711	1.3790868470967865	0.16912562543620674	0.9999513487134678
AASDH	4.650625178062148	4.7428100723802435	-0.09218489431809562	0.15940823957142752	-0.5782944129233012	0.5635965449145319	0.9999513487134678
AASDHPPT	6.244293704095007	6.087898274522244	0.15639542957276298	0.150134998012046	1.0416986821434846	0.2985782361374266	0.9999513487134678
AASS	3.7227604474076257	4.27436434914474	-0.5516039017371144	0.38277250922052397	-1.4410750209318788	0.15084032289241078	0.9999513487134678
AATF	7.240185364078785	7.122738065734089	0.11744729834469592	0.16015813581717406	0.7333208378422061	0.46406385992221666	0.9999513487134678
AATK	4.694610548575704	4.940027847891312	-0.24541729931560852	0.4499617511392981	-0.5454181354175431	0.5859621741945822	0.9999513487134678
ABAT	4.623386791950717	4.575722732207276	0.04766405974344057	0.35188684338322795	0.13545280433099702	0.8923650983436817	0.9999513487134678
ABCA1	4.524470018470532	5.2122241719266045	-0.6877541534560727	0.33657479401083557	-2.043391738461352	0.04208357968662375	0.9999513487134678
ABCA2	6.59927939336391	6.672589031033336	-0.07330963766942666	0.26599377523203144	-0.27560659118987757	0.7830825573346792	0.9999513487134678
ABCA3	4.319759442183129	4.616170335939644	-0.29641089375651575	0.45001843266914826	-0.6586638951619029	0.510730135585652	0.9999513487134678
ABCA4	1.1284466078722961	1.4267838490429021	-0.298337241170606	0.4083032941268518	-0.7306755675547366	0.46567549765966143	0.9999513487134678
ABCA5	5.409363671765315	5.211900659255405	0.19746301250991039	0.29948816153501584	0.6593349516649366	0.5102999536731228	0.9999513487134678
ABCA6	2.947049137809632	3.995482207949547	-1.048433070139915	0.49582103394349675	-2.11453931633605	0.03547955820736392	0.9999513487134678
ABCA7	5.467237802760626	5.732559254663708	-0.2653214519030822	0.3273579272406991	-0.8104934379914898	0.4184432063313469	0.9999513487134678
ABCA8	2.721221655563087	4.008282830576121	-1.2870611750130343	0.6677336168636903	-1.927506931668789	0.05507260419006525	0.9999513487134678
ABCA9	2.218916700318016	3.2251567127251795	-1.0062400124071633	0.5514023838595556	-1.82487425129351	0.0692377037402613	0.9999513487134678
ABCA10	3.15158576567673	3.5916197032050117	-0.4400339375282818	0.4540249344311901	-0.9691845186422714	0.3334089293515894	0.9999513487134678
ABCA12	2.0158402628391414	1.7525165158589613	0.26332374698018013	0.6814337575187008	0.38642603785732416	0.6995165566661476	0.9999513487134678
ABCA13	2.0014935705954384	1.7823180026021497	0.21917556799328874	0.5574972986414107	0.393141937238812	0.6945565246229937	0.9999513487134678
ABCB1	3.7332074942342297	4.2891006887254	-0.55589319449117	0.36946262417156495	-1.5045992696490824	0.13371517359132418	0.9999513487134678
ABCB4	2.8312903063211357	2.8114515010567698	0.019838805264365877	0.4514552277070767	0.04394412567803542	0.964984736052906	0.9999513487134678
ABCB5	0.33114979809900746	1.1511550913050985	-0.8200052932060911	0.4794114826188237	-1.7104414953241134	0.08845014060871575	0.9999513487134678
ABCB6	6.251125557817644	5.842976831037421	0.4081487267802224	0.3015004998654063	1.3537248759535234	0.17707166155594434	0.9999513487134678
ABCB7	5.921514973160796	5.8356085544893785	0.08590641867141713	0.1529271941412583	0.5617471709581338	0.5748018026838726	0.9999513487134678
ABCB8	6.383247398982272	6.264647059473369	0.11860033950890259	0.1733350995887771	0.6842257557198276	0.49447931112235366	0.9999513487134678
ABCB9	4.70290940443331	4.528807687393889	0.174101717039421	0.2879352274345194	0.604655840796744	0.5459672632008113	0.9999513487134678
ABCB10	5.564666341256584	5.383849394311554	0.18081694694503003	0.18353734084013004	0.9851779813162401	0.32550856127729577	0.9999513487134678
ABCB11	0.42471196427743	0.7110620559645819	-0.2863500916871519	0.37716978993406836	-0.7592073896936647	0.4484583308732628	0.9999513487134678
ABCC1	6.218262458541731	6.362555762013702	-0.14429330347197133	0.21828029843813096	-0.6610459327041355	0.5092039897314191	0.9999513487134678
ABCC2	3.581636391447782	2.7707596306169355	0.8108767608308463	0.6087463804366705	1.3320436669359448	0.1840836151740528	0.9999513487134678
ABCC3	7.377834901255583	7.456092898110433	-0.07825799685485002	0.4505398257075257	-0.17369828900686862	0.8622460121934317	0.9999513487134678
ABCC4	5.1463107252405935	5.1166243811141525	0.029686344126441	0.3746407602442805	0.07923949360738095	0.9369068144929807	0.9999513487134678
ABCC5	5.620578750996739	5.917896777310672	-0.297318026313933	0.2799394933927316	-1.0620796040979497	0.28924532854246376	0.9999513487134678
ABCC6	5.074004252434152	5.001278849579032	0.07272540285512008	0.41991882053567414	0.1731891958601596	0.8626457134456701	0.9999513487134678
ABCC8	2.7039559549229324	2.9172636664494527	-0.21330771152652028	0.7323343584435247	-0.29127093255582914	0.7710905594551682	0.9999513487134678
ABCC9	3.2948744594983728	4.310812651797597	-1.0159381922992239	0.598436462858673	-1.6976542295671382	0.09084280311740163	0.9999513487134678
ABCC10	6.2537943734963966	6.14196663443133	0.11182773906506682	0.19103857912430852	0.5853673094600472	0.5588395325405866	0.9999513487134678
ABCC11	2.153897725601059	1.6514891916264396	0.5024085339746194	0.337214075953354	1.4898800785650368	0.13754198135914003	0.9999513487134678
ABCC12	0.7351988312592842	0.597356765616302	0.13784206564298218	0.46613477267790776	0.29571290047959803	0.7676998199187551	0.9999513487134678
ABCD1	6.075972398323601	5.829467326740627	0.2465050715829742	0.2701351780526019	0.9125248823941532	0.36238952683705106	0.9999513487134678
ABCD2	1.2067112386140275	1.8027279309315851	-0.5960166923175576	0.4240262436275718	-1.405612745141896	0.16110599344682655	0.9999513487134678
ABCD3	6.616588959875635	6.486242228328778	0.13034673154685716	0.19369083020219724	0.6729628419207349	0.5016051886186859	0.9999513487134678
ABCD4	6.339138269509036	6.463038163329001	-0.12389989381996536	0.16640644769174637	-0.7445618576599824	0.45725020305350417	0.9999513487134678
ABCE1	6.818016335567542	6.781091006326126	0.03692532924141556	0.18179039367867275	0.20312035467992695	0.8392095547318111	0.9999513487134678
ABCF1	7.223442063176249	7.137677378822143	0.085764684354106	0.1506141812551782	0.5694329952157634	0.569584033031579	0.9999513487134678
ABCF2	6.6424888898412044	6.544028765507646	0.09846012433355877	0.16495927499491875	0.596875345970038	0.5511417682293386	0.9999513487134678
ABCF3	6.851896984999935	6.827645543048985	0.02425144195095008	0.1343228534777784	0.18054591101254489	0.8568732688296028	0.9999513487134678
ABCG1	5.288335172768561	5.5824506490321	-0.2941154762635385	0.30428565594666324	-0.9665768678727747	0.3347087502362489	0.9999513487134678
ABCG2	3.00928382479594	3.305488461616069	-0.296204636820129	0.49500176548015995	-0.5983910714597261	0.5501318177331826	0.9999513487134678
ABCG4	1.2025537320208595	1.5487995552537002	-0.3462458232328407	0.3231590999859201	-1.0714407338302605	0.2850256183691936	0.9999513487134678
ABHD1	2.729264129124813	2.6620328452275395	0.06723128389727373	0.42720562670093337	0.1573745280849009	0.8750793059794745	0.9999513487134678
ABHD2	7.159576927860739	7.40249667981215	-0.24291975195141102	0.33138796769054446	-0.7330373327804511	0.46423643649159685	0.9999513487134678
ABHD3	6.558669509271329	6.492332145502862	0.06633736376846677	0.2766760449103884	0.23976547658816125	0.8107125470963286	0.9999513487134678
ABHD4	6.559353803821321	6.44330760581521	0.11604619800611093	0.2007870127540101	0.5779566935849703	0.5638241748229993	0.9999513487134678
ABHD5	5.401082450909167	5.702975337814878	-0.30189288690571114	0.19204751483319601	-1.5719697657526157	0.11724806505015878	0.9999513487134678
ABHD6	5.1299096180031745	5.020466530635017	0.10944308736815778	0.20691245254811128	0.5289342715741581	0.597329912469808	0.9999513487134678
ABHD8	4.881425907086408	5.00931430791304	-0.1278884008266319	0.30199909402976666	-0.4234727962926489	0.6723218567187814	0.9999513487134678
ABHD10	5.956743846933819	6.003196238953562	-0.04645239201974238	0.15620926154248135	-0.29737284179600054	0.7664338608316552	0.9999513487134678
ABHD11	7.299165941794511	6.990919570014662	0.30824637177984915	0.2873914137561148	1.07256639212413	0.2845210419453287	0.9999513487134678
ABHD12	7.3167083136453055	7.179858883470364	0.13684943017494167	0.19837172206334758	0.6898635992646194	0.4909328910539378	0.9999513487134678
ABHD12B	2.0246605356560696	1.7824788980488637	0.2421816376072059	0.6492753581087077	0.3730029710547826	0.709468739675769	0.9999513487134678
ABHD13	5.052429160819009	5.08566699407157	-0.03323783325256091	0.14766183970320468	-0.2250942648376035	0.8220935759730117	0.9999513487134678
ABHD14A	6.161577003363903	6.077452165217933	0.08412483814597049	0.223829814372271	0.375842862497554	0.7073589430827396	0.9999513487134678
ABHD14A-ACY1	2.9544527734593746	2.6468924126074547	0.30756036085191996	0.30183605031936994	1.0189649663335216	0.3092247430078934	0.9999513487134678
ABHD14B	7.2101698751241425	7.175987354271383	0.034182520852759524	0.19326880991530795	0.17686516964500684	0.8597604190104797	0.9999513487134678
ABHD15	5.537774728415741	5.420070949471021	0.11770377894471995	0.2035570942312412	0.5782347178281503	0.5636367774166222	0.9999513487134678
ABHD16A	7.3423290186131265	7.136053722400749	0.20627529621237706	0.14727236245878841	1.4006381969332473	0.16258752367968243	0.9999513487134678
ABHD16B	4.907126321049764	4.730035569180363	0.17709075186940115	0.27247258298602395	0.6499397111029139	0.5163400969259819	0.9999513487134678
ABHD17A	7.017908077769634	7.0661188084892625	-0.04821073071962889	0.14810833005841278	-0.3255099203442166	0.7450729975252247	0.9999513487134678
ABHD17B	5.410882448612027	5.471297673081647	-0.060415224469620554	0.19130753814140283	-0.3158015886700989	0.7524219670169594	0.9999513487134678
ABHD17C	6.998234557760861	6.8319432815727925	0.16629127618806816	0.3900911744331114	0.4262882297445619	0.670272128039113	0.9999513487134678
ABI1	6.50851052708857	6.706474454195698	-0.19796392710712762	0.1246480331756748	-1.5881833195725106	0.11353454828120743	0.9999513487134678
ABI2	6.160565024731525	6.3061352562657484	-0.1455702315342231	0.21815724557032087	-0.6672720456919224	0.5052263648328612	0.9999513487134678
ABI3	5.1045449169329835	5.425970107780489	-0.3214251908475054	0.3001305452233105	-1.0709512775793972	0.2852452070034818	0.9999513487134678
ABI3BP	4.382213217804355	5.607370628739909	-1.2251574109355543	0.7006608646498904	-1.7485740573618977	0.08161712160113654	0.9999513487134678
ABL1	6.565148122961131	6.872198798401867	-0.3070506754407365	0.22718513475023736	-1.351543866539955	0.17776783615376962	0.9999513487134678
ABL2	4.922393025767051	5.102097434677855	-0.17970440891080397	0.20152549952420862	-0.8917204489510105	0.3734177164908663	0.9999513487134678
ABLIM1	6.662182040066383	7.052683395453582	-0.3905013553871992	0.2844602142332714	-1.3727802196864298	0.17107592702861965	0.9999513487134678
ABLIM2	4.3984675572994485	4.609933421735392	-0.21146586443594373	0.3980584100066178	-0.5312433027917387	0.5957314751923879	0.9999513487134678
ABLIM3	4.428627308590242	4.682464296825353	-0.25383698823511125	0.41613028992436507	-0.6099940196164237	0.5424311195587623	0.9999513487134678
ABR	7.365648936826191	7.266074059671091	0.09957487715510016	0.17743920189435278	0.5611774404530234	0.575189486502726	0.9999513487134678
ABRA	0.7649295368559405	0.9952283967908996	-0.23029885993495913	0.4125975775152127	-0.5581682309476669	0.5772392199351961	0.9999513487134678
ABRACL	7.145564196350461	7.0262877411202735	0.11927645523018704	0.32736454149793104	0.3643536183986526	0.7159082320248435	0.9999513487134678
ABT1	6.089287643400444	6.0076181264718205	0.08166951692862323	0.13211242070890183	0.6181819732799755	0.5370296317466697	0.9999513487134678
ABTB1	6.123173662769195	6.410188788037135	-0.28701512526794026	0.2365154012054104	-1.213515584207861	0.22610135487396923	0.9999513487134678
ABTB2	4.738115108171636	4.809899198405452	-0.07178409023381604	0.29589139017313726	-0.24260283542489172	0.8085160553837456	0.9999513487134678
