Gene	MeanAA	MeanEA	logFC	Std Error	t	pvalue	padj
A1BG	4.955553397658829	5.18408355770012	-0.22853016004129145	0.1769821767263271	-1.291260873091614	0.19821567917304295	0.9999213515830352
A2M	8.385898741391456	8.632184551283578	-0.24628580989212168	0.17994836314976356	-1.3686471251041512	0.17276035293424608	0.9999213515830352
A2ML1	2.5971953017978473	2.560837740013284	0.03635756178456351	0.37330979532251257	0.09739246663258116	0.922519593596819	0.9999213515830352
A4GALT	6.075883192155176	6.169346224140235	-0.0934630319850589	0.17204475102969577	-0.5432483782601814	0.5876092501065253	0.9999213515830352
A4GNT	3.555566718714057	3.517492447249531	0.03807427146452591	0.5113607690351135	0.07445677058169371	0.9407269531049678	0.9999213515830352
AAAS	6.7388281056891	6.80368391155053	-0.0648558058614297	0.07139085034100563	-0.9084610359960607	0.3648102674726873	0.9999213515830352
AACS	5.9902301742771025	5.930676322445219	0.05955385183188344	0.12194817307255751	0.4883537844921195	0.6258745089995772	0.9999213515830352
AADAC	5.105513427746664	4.955856547966132	0.14965687978053221	0.5330373977933239	0.28076243880839125	0.7792046682987799	0.9999213515830352
AADAT	4.535579344355814	4.425436888589576	0.11014245576623871	0.2007873222494046	0.5485528395534212	0.5839701842573424	0.9999213515830352
AAED1	5.011684072290063	5.131423468170082	-0.11973939588001947	0.12397243782207684	-0.965854975376603	0.33537087981412406	0.9999213515830352
AAGAB	6.237244560152962	6.205683674440274	0.03156088571268789	0.0796896202172395	0.3960476361494847	0.6925238273225831	0.9999213515830352
AAK1	5.4293685987207985	5.497085612162889	-0.06771701344209013	0.1133941331470886	-0.5971826898156307	0.5511116806628269	0.9999213515830352
AAMDC	7.165715878530199	6.96638443560761	0.1993314429225892	0.11366999327681473	1.7535977365386792	0.08114663691323434	0.9999213515830352
AAMP	7.659900641959164	7.653027007473678	0.006873634485486058	0.06951115745034886	0.09888534067924028	0.921335797577693	0.9999213515830352
AANAT	1.3554346349953788	1.4444190063835851	-0.08898437138820636	0.1826954205464429	-0.48706404967378863	0.6267864391613747	0.9999213515830352
AAR2	6.460172961954413	6.395854876358643	0.06431808559576968	0.06870262245803221	0.9361809388725899	0.3503939473489346	0.9999213515830352
AARD	3.0316675811763663	3.2236175152513646	-0.19194993407499839	0.3663268278662293	-0.5239854672753924	0.6009124628084004	0.9999213515830352
AARS	7.037506956939201	6.952045615090665	0.0854613418485366	0.08442663182647002	1.0122557302083697	0.3127307725691381	0.9999213515830352
AARS2	4.871949275456265	4.908518328377421	-0.03656905292115642	0.10079836998077182	-0.3627940901041583	0.717170634408552	0.9999213515830352
AARSD1	6.426715609668493	6.4474687667297985	-0.020753157061305316	0.06753995679811298	-0.3072722880670416	0.7589798866312469	0.9999213515830352
AASDH	4.679670684522945	4.594242648095175	0.08542803642776953	0.0828530026443299	1.0310795469235279	0.3038423749377466	0.9999213515830352
AASDHPPT	5.7096946839313825	5.700906769509464	0.008787914421918508	0.07580351528608324	0.11593017010824404	0.9078329527077216	0.9999213515830352
AASS	4.969819592244915	4.820836000655551	0.14898359158936358	0.19645639414309832	0.7583545052793972	0.4491986154366866	0.9999213515830352
AATF	6.665104208257866	6.7146110419847105	-0.04950683372684406	0.08262811194617305	-0.5991524259817846	0.5498003101310567	0.9999213515830352
AATK	4.873782583670599	5.30417064897876	-0.43038806530816043	0.21680066748130628	-1.985178691136967	0.04859426137693169	0.9999213515830352
ABAT	5.59323999583764	5.262227193598262	0.33101280223937835	0.1808461846369433	1.8303554642521276	0.06879723428992243	0.9999213515830352
ABCA1	4.658443050218335	4.7239534764422855	-0.06551042622395009	0.17013215649761262	-0.38505610915987754	0.7006357994172183	0.9999213515830352
ABCA2	6.131790052200478	6.224959706432495	-0.09316965423201662	0.1382233359934227	-0.6740515526007131	0.5011153665652078	0.9999213515830352
ABCA3	4.765688363616406	4.940355404371132	-0.17466704075472617	0.21050416228003802	-0.8297557580945265	0.4077405550807033	0.9999213515830352
ABCA4	1.704137785685131	2.082440625878888	-0.37830284019375693	0.21509702456549135	-1.758754408425458	0.08026369542848945	0.9999213515830352
ABCA5	5.634428954112926	5.461774843345693	0.17265411076723325	0.1464085422196276	1.1792625495050326	0.23979986821846555	0.9999213515830352
ABCA6	4.399851897761309	4.461808288688461	-0.06195639092715233	0.25324512483154576	-0.24464988602787374	0.8069972172740152	0.9999213515830352
ABCA7	4.988815453228586	5.166234540386284	-0.17741908715769839	0.15762215872407867	-1.1255973690112613	0.26178627331881776	0.9999213515830352
ABCA8	5.755551820623604	5.460772109449387	0.2947797111742174	0.3178300726553552	0.9274758323258704	0.35488148183997614	0.9999213515830352
ABCA9	3.757810390500781	3.9568338911209358	-0.19902350062015461	0.28345382864375274	-0.7021372813075991	0.4834712625891444	0.9999213515830352
ABCA10	3.8966981647397727	3.963623365426932	-0.06692520068715924	0.2310008818679507	-0.2897183774623698	0.7723544020626643	0.9999213515830352
ABCA12	1.4580932843257832	1.4918395252164374	-0.033746240890654144	0.35645838255009976	-0.0946709140327515	0.9246781314405209	0.9999213515830352
ABCA13	1.0186769270186458	0.9610582656209713	0.057618661397674464	0.26328741639172093	0.21884320256289425	0.8270121373847062	0.9999213515830352
ABCB1	4.444881722151605	4.672065138261706	-0.22718341611010118	0.19699636010433502	-1.1532366181272498	0.25029310455969483	0.9999213515830352
ABCB4	2.4070421820400796	2.3990555811959138	0.007986600844165803	0.21821072900083413	0.036600404025666736	0.9708428722547997	0.9999213515830352
ABCB5	0.9490568558024017	1.2163444478437189	-0.26728759204131713	0.27108528283684197	-0.985990789482251	0.32541849131759704	0.9999213515830352
ABCB6	5.8022733237598	5.994503076796394	-0.19222975303659418	0.13884547267091477	-1.3844870080294833	0.16786805461939944	0.9999213515830352
ABCB7	5.919818724539897	5.812859740854757	0.10695898368514012	0.07207821124268017	1.48392949604451	0.13952022328004116	0.9999213515830352
ABCB8	6.303488472083527	6.2762947298802585	0.0271937422032682	0.07905356793859883	0.3439913328692472	0.7312413722582161	0.9999213515830352
ABCB9	4.259207592610446	4.353090482042005	-0.09388288943155931	0.1402028846592967	-0.6696216676261806	0.5039293949314507	0.9999213515830352
ABCB10	5.166931494532327	5.119532377796311	0.047399116736015934	0.09046196525444823	0.5239673558129471	0.6009250351296141	0.9999213515830352
ABCB11	0.5683657866571007	0.49670707450207086	0.07165871215502984	0.1593281228312015	0.44975557912615277	0.6534103844291377	0.9999213515830352
ABCC1	6.094151257622758	6.033024024576859	0.061127233045898954	0.10410150861567648	0.5871887339459162	0.5577890472850002	0.9999213515830352
