Gene	Difference of means	Std Error	t	pvalue	padj
A1BG	-0.3621027204780125	0.15717565403504566	-2.3038092171531477	0.021898877999175257	0.999920908992172
A2M	-0.04219494050384931	0.10171191460183993	-0.4148475689305923	0.6785423009624885	0.999920908992172
A2ML1	0.09875204185639985	0.1773282840546847	0.556888272972554	0.5780081909979307	0.999920908992172
A4GALT	-0.009545396365887804	0.11793106881421962	-0.08094047193725476	0.9355418626961269	0.999920908992172
A4GNT	0.1375000866469862	0.1587685329699213	0.8660411737446463	0.38714169115001884	0.999920908992172
AAAS	-0.06652139029823623	0.05198613161015372	-1.2795987744786061	0.20164933247686395	0.999920908992172
AACS	0.040810486188006756	0.0609217376700957	0.6698838173166417	0.5034337570418657	0.999920908992172
AADAC	-0.07103141342968078	0.20389046656930357	-0.3483802584047586	0.7277926291261259	0.999920908992172
AADAT	0.002737509919486847	0.11004945032046114	0.024875271175960344	0.9801705603457703	0.999920908992172
AAED1	-0.08344819950668647	0.05755998442964753	-1.449760633772942	0.14814275685757686	0.999920908992172
AAGAB	0.03190209816988876	0.054693881396949924	0.5832845897030783	0.5601285807222864	0.999920908992172
AAK1	0.10656951892637423	0.12354527904977597	0.8625948295720611	0.38903141182759404	0.999920908992172
AAMDC	-0.008145832328874114	0.07237094480128567	-0.11255666692262671	0.9104553641504897	0.999920908992172
AAMP	0.06419589242461132	0.038298344867456535	1.6762053986087753	0.09471267556159656	0.999920908992172
AANAT	-0.03561826867298601	0.16573665923386666	-0.21490881279757185	0.8299806402314832	0.999920908992172
AAR2	0.05739979654132643	0.04550342386309173	1.2614390669596176	0.2081052399588665	0.999920908992172
AARD	-0.016351661127831152	0.18301588701418178	-0.08934558302342394	0.9288653378517584	0.999920908992172
AARS	0.034718009440839026	0.09224792789808584	0.3763554394326881	0.7069117897779842	0.999920908992172
AARS2	0.041400673474464966	0.04773869074959396	0.867235209520636	0.38648828449884576	0.999920908992172
AARSD1	0.06904835498294748	0.040757503937483605	1.6941261930283598	0.09125219249946528	0.999920908992172
AASDH	0.05684487244505476	0.05930674329475918	0.9584891917354368	0.33856791412140763	0.999920908992172
AASDHPPT	0.016750848488130465	0.04274940281536739	0.39183818685085664	0.6954487513413605	0.999920908992172
AASS	0.06969020653248226	0.09842356471939252	0.7080642398105614	0.4794408506326646	0.999920908992172
AATF	5.00431722905148e-4	0.03446353906772266	0.014520613275432144	0.9884240351761009	0.999920908992172
AATK	0.3023754419151814	0.15783357270016501	1.915786589267679	0.056317897438607684	0.999920908992172
ABAT	0.19688609924337364	0.1423198699255369	1.3834055592264543	0.16754242434090097	0.999920908992172
ABCA1	0.04624305995278011	0.12445594862779327	0.37156166870800095	0.710474707680286	0.999920908992172
ABCA2	-0.015088153871857912	0.10819323831558485	-0.13945560837959056	0.8891812764384304	0.999920908992172
ABCA3	-0.06455925076263469	0.10898363713687981	-0.5923756304953415	0.5540337060329992	0.999920908992172
ABCA4	-0.03774610063490602	0.15910913834212037	-0.23723402079988284	0.812632962241176	0.999920908992172
ABCA5	0.05389521074773551	0.07803498081441053	0.6906545011642115	0.4903028361308166	0.999920908992172
ABCA6	-0.14566307442606252	0.19135978726906164	-0.7612000227678598	0.44712000427226606	0.999920908992172
ABCA7	-0.021839034373927646	0.10269199668137137	-0.2126653982752807	0.8317286377309463	0.999920908992172
ABCA8	-0.003995819116273225	0.2019744454763307	-0.019783785551927623	0.9842286625353319	0.999920908992172
ABCA9	-0.07679364846902104	0.19116764677517356	-0.40170839451372076	0.6881772373890109	0.999920908992172
ABCA10	-0.18098374829401465	0.1688542851535279	-1.0718339077356445	0.28463376409195895	0.999920908992172
ABCA12	0.09310019192002247	0.11760263654097279	0.7916505501778129	0.4291737054871029	0.999920908992172
ABCA13	0.4069895890474018	0.2648911943807394	1.5364406129047021	0.12545696818362587	0.999920908992172
ABCB1	-0.1164689385603852	0.1427657636518489	-0.815804402828737	0.4152424612983032	0.999920908992172
ABCB4	-0.30786941588929917	0.17418163664266506	-1.7675193655511205	0.07813141715567212	0.999920908992172
ABCB5	0.06291979569863843	0.11647083718118639	0.5402193134471768	0.5894361936988771	0.999920908992172
ABCB6	-0.01813721135820412	0.10171696173203122	-0.1783105890046715	0.858596286740257	0.999920908992172
ABCB7	-0.07543859633838945	0.05382520169731289	-1.4015478615875872	0.16205717992443436	0.999920908992172
ABCB8	0.060512577773881304	0.06340066753539694	0.9544470133551323	0.34060589611470105	0.999920908992172
ABCB9	0.09665396908465596	0.09314990206410198	1.0376175062228474	0.30026207601806176	0.999920908992172
ABCB10	-0.03270907005463375	0.06117369687589831	-0.5346917339488227	0.5932488107000787	0.999920908992172
ABCB11	0.002998913259820879	0.08625944579135575	0.034766201339557025	0.9722886919199066	0.999920908992172
ABCC1	0.003605301454095766	0.08826026837495159	0.04084852131629091	0.9674431233152945	0.999920908992172
ABCC2	-0.0940073562406869	0.10000212558059829	-0.9400535808103417	0.34792673058128276	0.999920908992172
ABCC3	-0.38261821544534946	0.24613598760737262	-1.5544992797058528	0.12109227825864152	0.999920908992172
ABCC4	-0.32082190995225446	0.16301107923177685	-1.9680988032481812	0.04995341176335695	0.999920908992172
ABCC5	-0.01086763701961857	0.1016403062975335	-0.1069225134741875	0.914920062862068	0.999920908992172
ABCC6	-0.16078629487896023	0.11243806117789071	-1.4299988206358052	0.15373096153296442	0.999920908992172
ABCC8	-0.46159394658685127	0.32833937913909145	-1.4058440014023124	0.16077843011458962	0.999920908992172
ABCC9	-0.1674520547038778	0.1535538636862489	-1.090510200681284	0.2763408598250946	0.999920908992172
ABCC10	0.0216953012362211	0.06254519940374836	0.34687396383807656	0.7289228838098751	0.999920908992172
