Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	236	Hartigans' dip test for unimodality / multimodality	0.0166834536913834	0.9605	white	STAD	1
A2M	236	Hartigans' dip test for unimodality / multimodality	0.0158897793205784	0.9805	white	STAD	1
A2ML1	236	Hartigans' dip test for unimodality / multimodality	0.0381994069415921	0.0153	white	STAD	0.14348848484848484
A4GALT	236	Hartigans' dip test for unimodality / multimodality	0.021307020164863	0.6870	white	STAD	1
A4GNT	236	Hartigans' dip test for unimodality / multimodality	0.0381695834479482	0.0154	white	STAD	0.14348848484848484
AAAS	236	Hartigans' dip test for unimodality / multimodality	0.0169498480124805	0.9537	white	STAD	1
AACS	236	Hartigans' dip test for unimodality / multimodality	0.0198423539610761	0.8008	white	STAD	1
AADAC	236	Hartigans' dip test for unimodality / multimodality	0.0170324387761354	0.9515	white	STAD	1
AADAT	236	Hartigans' dip test for unimodality / multimodality	0.0127134901271608	0.9951	white	STAD	1
AAED1	236	Hartigans' dip test for unimodality / multimodality	0.0169458893577402	0.9538	white	STAD	1
AAGAB	236	Hartigans' dip test for unimodality / multimodality	0.0198624295077051	0.7995	white	STAD	1
AAK1	236	Hartigans' dip test for unimodality / multimodality	0.0142399570501166	0.9920	white	STAD	1
AAMDC	236	Hartigans' dip test for unimodality / multimodality	0.0148330126034825	0.9908	white	STAD	1
AAMP	236	Hartigans' dip test for unimodality / multimodality	0.0184616839569402	0.8873	white	STAD	1
AANAT	236	Hartigans' dip test for unimodality / multimodality	0.0296610169491525	0.1577	white	STAD	1
AAR2	236	Hartigans' dip test for unimodality / multimodality	0.0181472022415042	0.9048	white	STAD	1
AARD	236	Hartigans' dip test for unimodality / multimodality	0.0182532057707668	0.9002	white	STAD	1
AARS	236	Hartigans' dip test for unimodality / multimodality	0.0207866842541247	0.7280	white	STAD	1
AARS2	236	Hartigans' dip test for unimodality / multimodality	0.0189427230610304	0.8572	white	STAD	1
AARSD1	236	Hartigans' dip test for unimodality / multimodality	0.0176495396807623	0.9261	white	STAD	1
AASDH	236	Hartigans' dip test for unimodality / multimodality	0.0169801749279596	0.9529	white	STAD	1
AASDHPPT	236	Hartigans' dip test for unimodality / multimodality	0.0194887981583404	0.8230	white	STAD	1
AASS	236	Hartigans' dip test for unimodality / multimodality	0.0221925996437828	0.6141	white	STAD	1
AATF	236	Hartigans' dip test for unimodality / multimodality	0.0261676746837201	0.3194	white	STAD	1
AATK	236	Hartigans' dip test for unimodality / multimodality	0.0150963011534322	0.9903	white	STAD	1
ABAT	236	Hartigans' dip test for unimodality / multimodality	0.0255214492100468	0.3615	white	STAD	1
ABCA1	236	Hartigans' dip test for unimodality / multimodality	0.0163855682066469	0.9682	white	STAD	1
ABCA2	236	Hartigans' dip test for unimodality / multimodality	0.0223425811961587	0.6018	white	STAD	1
ABCA3	236	Hartigans' dip test for unimodality / multimodality	0.0171707922859323	0.9467	white	STAD	1
ABCA4	236	Hartigans' dip test for unimodality / multimodality	0.013879628310479	0.9928	white	STAD	1
ABCA5	236	Hartigans' dip test for unimodality / multimodality	0.0159601946803718	0.9791	white	STAD	1
ABCA6	236	Hartigans' dip test for unimodality / multimodality	0.0173117486008744	0.9406	white	STAD	1
ABCA7	236	Hartigans' dip test for unimodality / multimodality	0.0142630823343693	0.9920	white	STAD	1
ABCA8	236	Hartigans' dip test for unimodality / multimodality	0.0168392843018109	0.9565	white	STAD	1
ABCA9	236	Hartigans' dip test for unimodality / multimodality	0.0164076635337069	0.9676	white	STAD	1
ABCA10	236	Hartigans' dip test for unimodality / multimodality	0.0191798715899476	0.8423	white	STAD	1
ABCA12	236	Hartigans' dip test for unimodality / multimodality	0.0258954347744079	0.3371	white	STAD	1
ABCA13	236	Hartigans' dip test for unimodality / multimodality	0.0296795220481596	0.1571	white	STAD	1
ABCB1	236	Hartigans' dip test for unimodality / multimodality	0.0282722032679126	0.2072	white	STAD	1
ABCB4	236	Hartigans' dip test for unimodality / multimodality	0.0277447600931781	0.2343	white	STAD	1
ABCB5	236	Hartigans' dip test for unimodality / multimodality	0.0381450882579762	0.0155	white	STAD	0.14348848484848484
ABCB6	236	Hartigans' dip test for unimodality / multimodality	0.0197929731461532	0.8039	white	STAD	1
ABCB7	236	Hartigans' dip test for unimodality / multimodality	0.0138711189621573	0.9928	white	STAD	1
ABCB8	236	Hartigans' dip test for unimodality / multimodality	0.018335070209758	0.8952	white	STAD	1
ABCB9	236	Hartigans' dip test for unimodality / multimodality	0.0160579339283912	0.9766	white	STAD	1
ABCB10	236	Hartigans' dip test for unimodality / multimodality	0.0191594797438136	0.8436	white	STAD	1
ABCB11	236	Hartigans' dip test for unimodality / multimodality	0.0815087188886479	0.0000	white	STAD	0
ABCC1	236	Hartigans' dip test for unimodality / multimodality	0.0293515164494843	0.1682	white	STAD	1
ABCC2	236	Hartigans' dip test for unimodality / multimodality	0.017528506229156	0.9313	white	STAD	1
ABCC3	236	Hartigans' dip test for unimodality / multimodality	0.015383891744352	0.9877	white	STAD	1
ABCC4	236	Hartigans' dip test for unimodality / multimodality	0.026557740492575	0.2953	white	STAD	1
ABCC5	236	Hartigans' dip test for unimodality / multimodality	0.0148316987209924	0.9908	white	STAD	1
ABCC6	236	Hartigans' dip test for unimodality / multimodality	0.0147719107381094	0.9909	white	STAD	1
ABCC8	236	Hartigans' dip test for unimodality / multimodality	0.0275423728813559	0.2447	white	STAD	1
ABCC9	236	Hartigans' dip test for unimodality / multimodality	0.0185283418159662	0.8831	white	STAD	1
ABCC10	236	Hartigans' dip test for unimodality / multimodality	0.0151625075840102	0.9901	white	STAD	1
ABCC11	236	Hartigans' dip test for unimodality / multimodality	0.0129875960839305	0.9946	white	STAD	1
ABCC12	236	Hartigans' dip test for unimodality / multimodality	0.0560910945409167	0.0000	white	STAD	0
ABCD1	236	Hartigans' dip test for unimodality / multimodality	0.0172558218855129	0.9430	white	STAD	1
ABCD2	236	Hartigans' dip test for unimodality / multimodality	0.0206390432582706	0.7395	white	STAD	1
ABCD3	236	Hartigans' dip test for unimodality / multimodality	0.0205615722914225	0.7454	white	STAD	1
ABCD4	236	Hartigans' dip test for unimodality / multimodality	0.0239099965867247	0.4767	white	STAD	1
ABCE1	236	Hartigans' dip test for unimodality / multimodality	0.0173712986452561	0.9381	white	STAD	1
ABCF1	236	Hartigans' dip test for unimodality / multimodality	0.0156790417047466	0.9835	white	STAD	1
ABCF2	236	Hartigans' dip test for unimodality / multimodality	0.0172538317246061	0.9431	white	STAD	1
ABCF3	236	Hartigans' dip test for unimodality / multimodality	0.0169481363779227	0.9537	white	STAD	1
ABCG1	236	Hartigans' dip test for unimodality / multimodality	0.0162198017011044	0.9724	white	STAD	1
