Up_MW	Up_limma	Up_Intersection_All	Up_Only_MW	Up_Only_Limma	Dwn_MW	Dwn_limma	Dwn_Intersection_All	Dwn_Only_MW	Dwn_Only_Limma	Dwn_Limma
F8A2	F8A2	F8A2		VGF	DNAJC12		DNAJC12	ABAT	FSIP1	SCNN1A
F8A3	F8A3	F8A3		IVL	SCNN1A		SCNN1A	GATA3	DCDC2	AKR7A3
NPIPB15	NPIPB15	NPIPB15		C6orf100	ABAT		HEPACAM2	CYP4B1	NEFH	DHRS4-AS1
GSTM1	RP11-599B13.6	GSTM1		AC026740.1	HEPACAM2		DHRS4-AS1	FAIM2	NKAIN1	FSIP1
RP11-599B13.6	GSTM1	RP11-599B13.6		TPGS1	GATA3		AKR7A3			CLEC3A
ART3	MSLN	ART3		PGLYRP4	CYP4B1		ROBO2			DNAJC12
MSLN	ART3	MSLN		AURKB	DHRS4-AS1		NOVA1			DCDC2
PCSK1N	CCL3L3	PCSK1N		UPK3B	AKR7A3		DCLK1			ABCA12
KRT81	PCSK1N	KRT81		A2ML1	ROBO2		GRIK3			NEFH
CCL3L3	KRT81	CCL3L3		SBSN	FAIM2		MAPT			ROBO2
GJB5	GJB5	GJB5		EXOC3L4	NOVA1		AK5			NOVA1
LY6D	ZACN	LY6D		TCAP	DCLK1		TBC1D9			HEPACAM2
ZACN	SLURP1	ZACN		CLDN23	GRIK3		CEACAM6			NKAIN1
ST20-MTHFS	LY6D	ST20-MTHFS		ENHO	MAPT		BCAS1			AK5
SLURP1	ST20-MTHFS	SLURP1		BAIAP2L2	AK5		BIVM-ERCC5			MAPT
FABP7	CALML5	FABP7		CTC-360G5.1	TBC1D9		NEK10			TBC1D9
CALML5	EN1	CALML5		HPDL	CEACAM6		ABCA12			BIVM-ERCC5
GJB3	SCXA	GJB3			BCAS1		UGT2B11			ACOX2
EN1	FABP7	EN1			BIVM-ERCC5		ABCC8			ABCC8
KRT16	GJB3	KRT16			NEK10		FAM21B			SOWAHA
CXorf61	CXorf61	CXorf61			ABCA12		DEGS2			DEGS2
CRYBB2	CRYBB2	CRYBB2			UGT2B11		THSD4			UGT2B11
SCXA	AC103801.2	SCXA			ABCC8		SOWAHA			BCAS1
WNT6	KRT16	WNT6			FAM21B		NTN4			NEK10
ROPN1	WNT6	ROPN1			DEGS2		CAPN8			F7
AC103801.2	KRT83	AC103801.2			THSD4		ACOX2			CEACAM6
KRT83	KCNG1	KRT83			SOWAHA		F7			DCLK1
KCNG1	ROPN1	KCNG1			NTN4		CHAD			FAM21B
ANXA8L1	ANXA8L1	ANXA8L1			CAPN8		PDZK1			GRIK3
VGLL1	SCN1A	VGLL1			ACOX2		ADIPOQ			THSD4
PRAME	COL9A3	PRAME			F7		CT62			CAPN8
COL9A3	PIF1	COL9A3			CHAD		KCNJ3			NTN4
PIF1	AL807752.1	PIF1			PDZK1		TOX3			CT62
FDCSP	VGLL1	FDCSP			ADIPOQ		SYTL5			PDZK1
SCN1A	PRAME	SCN1A			CT62		BPIFB1			ADIPOQ
P2RX5	PNMA6A	P2RX5			KCNJ3		STMND1			BPIFB1
AL807752.1	P2RX5	AL807752.1			TOX3		FLRT3			STMND1
FZD9	NKX2-5	FZD9			SYTL5		ADH1B			TOX3
MIA	HES4	MIA			BPIFB1		RSC1A1			SYTL5
PNMA6A	FDCSP	PNMA6A			STMND1		SLC40A1			RSC1A1
HES4	FZD9	HES4			FLRT3		RP11-343C2.9			SLC40A1
SLC6A11	SLC6A11	SLC6A11			ADH1B		CLEC3A			CHAD
NKX2-5	LEMD1	NKX2-5			RSC1A1		SCN7A			FLRT3
PPP1R14C	SYCE1L	PPP1R14C			SLC40A1		NCAM2			SLC30A8
ROPN1B	PPP1R14C	ROPN1B			RP11-343C2.9		PTPRT			NCAM2
LEMD1	NRTN	LEMD1			CLEC3A		LONRF2			ADH1B
NRTN	MIA	NRTN			SCN7A		ADAMTS15			RP11-343C2.9
SYCE1L	ZIC1	SYCE1L			NCAM2		KCND3			ADAMTS15
TNNT2	CRABP1	TNNT2			PTPRT		PRSS21			KCNJ3
ZIC1	JSRP1	ZIC1			LONRF2		AFF3			LONRF2
